original	short	short.clean
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	COA-PWY	COAPWY
COA-PWY: coenzyme A biosynthesis I	COA-PWY	COAPWY
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	COA-PWY-1	COAPWY1
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	COA-PWY-1	COAPWY1
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	COBALSYN-PWY	COBALSYNPWY
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	COBALSYN-PWY	COBALSYNPWY
CODH-PWY: reductive acetyl coenzyme A pathway	CODH-PWY	CODHPWY
COLANSYN-PWY: colanic acid building blocks biosynthesis	COLANSYN-PWY	COLANSYNPWY
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	COMPLETE-ARO-PWY	COMPLETEAROPWY
CRNFORCAT-PWY: creatinine degradation I	CRNFORCAT-PWY	CRNFORCATPWY
DAPLYSINESYN-PWY: L-lysine biosynthesis I	DAPLYSINESYN-PWY	DAPLYSINESYNPWY
DARABCATK12-PWY: D-arabinose degradation I	DARABCATK12-PWY	DARABCATK12PWY
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	DENITRIFICATION-PWY	DENITRIFICATIONPWY
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	DENOVOPURINE2-PWY	DENOVOPURINE2PWY
DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative)	DHGLUCONATE-PYR-CAT-PWY	DHGLUCONATEPYRCATPWY
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY	DTDPRHAMSYNPWY
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	DTDPRHAMSYN-PWY	DTDPRHAMSYNPWY
ECASYN-PWY: enterobacterial common antigen biosynthesis	ECASYN-PWY	ECASYNPWY
ENTBACSYN-PWY: enterobactin biosynthesis	ENTBACSYN-PWY	ENTBACSYNPWY
FAO-PWY: fatty acid &beta;-oxidation I (generic)	FAO-PWY	FAOPWY
FAO-PWY: fatty acid &beta;-oxidation I	FAO-PWY	FAOPWY
FASYN-ELONG-PWY: fatty acid elongation -- saturated	FASYN-ELONG-PWY	FASYNELONGPWY
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	FASYN-INITIAL-PWY	FASYNINITIALPWY
FERMENTATION-PWY: mixed acid fermentation	FERMENTATION-PWY	FERMENTATIONPWY
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	FOLSYN-PWY	FOLSYNPWY
FUCCAT-PWY: fucose degradation	FUCCAT-PWY	FUCCATPWY
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	FUC-RHAMCAT-PWY	FUCRHAMCATPWY
GALACTARDEG-PWY: D-galactarate degradation I	GALACTARDEG-PWY	GALACTARDEGPWY
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	GALACT-GLUCUROCAT-PWY	GALACTGLUCUROCATPWY
GALACTITOLCAT-PWY: galactitol degradation	GALACTITOLCAT-PWY	GALACTITOLCATPWY
GALACTUROCAT-PWY: D-galacturonate degradation I	GALACTUROCAT-PWY	GALACTUROCATPWY
GALLATE-DEGRADATION-II-PWY: gallate degradation I	GALLATE-DEGRADATION-II-PWY	GALLATEDEGRADATIONIIPWY
GALLATE-DEGRADATION-I-PWY: gallate degradation II	GALLATE-DEGRADATION-I-PWY	GALLATEDEGRADATIONIPWY
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	GLCMANNANAUT-PWY	GLCMANNANAUTPWY
GLUCARDEG-PWY: D-glucarate degradation I	GLUCARDEG-PWY	GLUCARDEGPWY
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	GLUCARGALACTSUPER-PWY	GLUCARGALACTSUPERPWY
GLUCONEO-PWY: gluconeogenesis I	GLUCONEO-PWY	GLUCONEOPWY
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	GLUCOSE1PMETAB-PWY	GLUCOSE1PMETABPWY
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	GLUCUROCAT-PWY	GLUCUROCATPWY
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	GLUCUROCAT-PWY	GLUCUROCATPWY
GLUDEG-II-PWY: L-glutamate degradation VII (to butanoate)	GLUDEG-II-PWY	GLUDEGIIPWY
GLUDEG-I-PWY: GABA shunt	GLUDEG-I-PWY	GLUDEGIPWY
GLUTORN-PWY: L-ornithine biosynthesis I	GLUTORN-PWY	GLUTORNPWY
GLUTORN-PWY: L-ornithine biosynthesis	GLUTORN-PWY	GLUTORNPWY
GLYCOCAT-PWY: glycogen degradation I	GLYCOCAT-PWY	GLYCOCATPWY
GLYCOCAT-PWY: glycogen degradation I (bacterial)	GLYCOCAT-PWY	GLYCOCATPWY
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	GLYCOGENSYNTH-PWY	GLYCOGENSYNTHPWY
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	GLYCOL-GLYOXDEG-PWY	GLYCOLGLYOXDEGPWY
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	GLYCOLYSIS	GLYCOLYSIS
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	GLYCOLYSIS-E-D	GLYCOLYSISED
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	GLYCOLYSIS-E-D	GLYCOLYSISED
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	GLYCOLYSIS-TCA-GLYOX-BYPASS	GLYCOLYSISTCAGLYOXBYPASS
GLYOXYLATE-BYPASS: glyoxylate cycle	GLYOXYLATE-BYPASS	GLYOXYLATEBYPASS
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	GOLPDLCAT-PWY	GOLPDLCATPWY
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	HCAMHPDEG-PWY	HCAMHPDEGPWY
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	HCAMHPDEG-PWY	HCAMHPDEGPWY
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	HEME-BIOSYNTHESIS-II	HEMEBIOSYNTHESISII
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	HEME-BIOSYNTHESIS-II	HEMEBIOSYNTHESISII
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	HEME-BIOSYNTHESIS-II-1	HEMEBIOSYNTHESISII1
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	HEMESYN2-PWY	HEMESYN2PWY
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	HEMESYN2-PWY	HEMESYN2PWY
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	HEXITOLDEGSUPER-PWY	HEXITOLDEGSUPERPWY
HISDEG-PWY: L-histidine degradation I	HISDEG-PWY	HISDEGPWY
HISTSYN-PWY: L-histidine biosynthesis	HISTSYN-PWY	HISTSYNPWY
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	HOMOSER-METSYN-PWY	HOMOSERMETSYNPWY
HSERMETANA-PWY: L-methionine biosynthesis III	HSERMETANA-PWY	HSERMETANAPWY
ILEUDEG-PWY: L-isoleucine degradation I	ILEUDEG-PWY	ILEUDEGPWY
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	ILEUSYN-PWY	ILEUSYNPWY
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	KDO-NAGLIPASYN-PWY	KDONAGLIPASYNPWY
KETOGLUCONMET-PWY: ketogluconate metabolism	KETOGLUCONMET-PWY	KETOGLUCONMETPWY
LACTOSECAT-PWY: lactose and galactose degradation I	LACTOSECAT-PWY	LACTOSECATPWY
LEU-DEG2-PWY: L-leucine degradation I	LEU-DEG2-PWY	LEUDEG2PWY
LIPASYN-PWY: phospholipases	LIPASYN-PWY	LIPASYNPWY
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	LPSSYN-PWY	LPSSYNPWY
LYSINE-DEG1-PWY: L-lysine degradation XI (mammalian)	LYSINE-DEG1-PWY	LYSINEDEG1PWY
METH-ACETATE-PWY: methanogenesis from acetate	METH-ACETATE-PWY	METHACETATEPWY
METHANOGENESIS-PWY: methanogenesis from H2 and CO2	METHANOGENESIS-PWY	METHANOGENESISPWY
METHGLYUT-PWY: superpathway of methylglyoxal degradation	METHGLYUT-PWY	METHGLYUTPWY
METHYLGALLATE-DEGRADATION-PWY: methylgallate degradation	METHYLGALLATE-DEGRADATION-PWY	METHYLGALLATEDEGRADATIONPWY
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	MET-SAM-PWY	METSAMPWY
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	METSYN-PWY	METSYNPWY
METSYN-PWY: L-homoserine and L-methionine biosynthesis	METSYN-PWY	METSYNPWY
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	NAD-BIOSYNTHESIS-II	NADBIOSYNTHESISII
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	NAD-BIOSYNTHESIS-II	NADBIOSYNTHESISII
NADSYN-PWY: NAD biosynthesis II (from tryptophan)	NADSYN-PWY	NADSYNPWY
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	NAGLIPASYN-PWY	NAGLIPASYNPWY
NAGLIPASYN-PWY: lipid IVA biosynthesis	NAGLIPASYN-PWY	NAGLIPASYNPWY
NONMEVIPP-PWY: methylerythritol phosphate pathway I	NONMEVIPP-PWY	NONMEVIPPPWY
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	NONOXIPENT-PWY	NONOXIPENTPWY
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	NONOXIPENT-PWY	NONOXIPENTPWY
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	OANTIGEN-PWY	OANTIGENPWY
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	ORNARGDEG-PWY	ORNARGDEGPWY
ORNDEG-PWY: superpathway of ornithine degradation	ORNDEG-PWY	ORNDEGPWY
P101-PWY: ectoine biosynthesis	P101-PWY	P101PWY
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	P105-PWY	P105PWY
P108-PWY: pyruvate fermentation to propanoate I	P108-PWY	P108PWY
P122-PWY: heterolactic fermentation	P122-PWY	P122PWY
P124-PWY: Bifidobacterium shunt	P124-PWY	P124PWY
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	P125-PWY	P125PWY
P161-PWY: acetylene degradation (anaerobic)	P161-PWY	P161PWY
P161-PWY: acetylene degradation	P161-PWY	P161PWY
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	P162-PWY	P162PWY
P163-PWY: L-lysine fermentation to acetate and butanoate	P163-PWY	P163PWY
P164-PWY: purine nucleobases degradation I (anaerobic)	P164-PWY	P164PWY
P165-PWY: superpathway of purines degradation in plants	P165-PWY	P165PWY
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	P185-PWY	P185PWY
P221-PWY: octane oxidation	P221-PWY	P221PWY
P23-PWY: reductive TCA cycle I	P23-PWY	P23PWY
P241-PWY: coenzyme B biosynthesis	P241-PWY	P241PWY
P261-PWY: coenzyme M biosynthesis I	P261-PWY	P261PWY
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	P41-PWY	P41PWY
P42-PWY: incomplete reductive TCA cycle	P42-PWY	P42PWY
P441-PWY: superpathway of N-acetylneuraminate degradation	P441-PWY	P441PWY
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	P461-PWY	P461PWY
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	P4-PWY	P4PWY
P562-PWY: myo-inositol degradation I	P562-PWY	P562PWY
P621-PWY: nylon-6 oligomer degradation	P621-PWY	P621PWY
PANTO-PWY: phosphopantothenate biosynthesis I	PANTO-PWY	PANTOPWY
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	PANTOSYN-PWY	PANTOSYNPWY
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	PANTOSYN-PWY	PANTOSYNPWY
PENTOSE-P-PWY: pentose phosphate pathway	PENTOSE-P-PWY	PENTOSEPPWY
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	PEPTIDOGLYCANSYN-PWY	PEPTIDOGLYCANSYNPWY
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	PHOSLIPSYN-PWY	PHOSLIPSYNPWY
PHOTOALL-PWY: oxygenic photosynthesis	PHOTOALL-PWY	PHOTOALLPWY
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	POLYAMINSYN3-PWY	POLYAMINSYN3PWY
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	POLYAMSYN-PWY	POLYAMSYNPWY
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	POLYISOPRENSYN-PWY	POLYISOPRENSYNPWY
PPGPPMET-PWY: ppGpp metabolism	PPGPPMET-PWY	PPGPPMETPWY
PPGPPMET-PWY: ppGpp biosynthesis	PPGPPMET-PWY	PPGPPMETPWY
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	PROPFERM-PWY	PROPFERMPWY
PROPFERM-PWY: L-alanine fermentation to propanoate and acetate	PROPFERM-PWY	PROPFERMPWY
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	PROTOCATECHUATEORTHOCLEAVAGEPWY
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	PRPP-PWY	PRPPPWY
PWY0-1061: superpathway of L-alanine biosynthesis	PWY0-1061	PWY01061
PWY0-1221: putrescine degradation II	PWY0-1221	PWY01221
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	PWY0-1241	PWY01241
PWY0-1261: anhydromuropeptides recycling I	PWY0-1261	PWY01261
PWY0-1261: anhydromuropeptides recycling	PWY0-1261	PWY01261
PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	PWY0-1277	PWY01277
PWY0-1296: purine ribonucleosides degradation	PWY0-1296	PWY01296
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	PWY0-1297	PWY01297
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	PWY0-1298	PWY01298
PWY0-1319: CDP-diacylglycerol biosynthesis II	PWY0-1319	PWY01319
PWY0-1337: oleate &beta;-oxidation	PWY0-1337	PWY01337
PWY0-1338: polymyxin resistance	PWY0-1338	PWY01338
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III	PWY0-1415	PWY01415
PWY0-1415: superpathway of heme biosynthesis from uroporphyrinogen-III	PWY0-1415	PWY01415
PWY0-1477: ethanolamine utilization	PWY0-1477	PWY01477
PWY0-1479: tRNA processing	PWY0-1479	PWY01479
PWY0-1533: methylphosphonate degradation I	PWY0-1533	PWY01533
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	PWY0-1586	PWY01586
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	PWY0-162	PWY0162
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	PWY0-166	PWY0166
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)	PWY0-301	PWY0301
PWY0-321: phenylacetate degradation I (aerobic)	PWY0-321	PWY0321
PWY0-41: allantoin degradation IV (anaerobic)	PWY0-41	PWY041
PWY0-42: 2-methylcitrate cycle I	PWY0-42	PWY042
PWY0-461: L-lysine degradation I	PWY0-461	PWY0461
PWY0-781: aspartate superpathway	PWY0-781	PWY0781
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	PWY0-845	PWY0845
PWY0-862: (5Z)-dodecenoate biosynthesis I	PWY0-862	PWY0862
PWY0-862: (5Z)-dodec-5-enoate biosynthesis	PWY0-862	PWY0862
PWY0-881: superpathway of fatty acid biosynthesis I (E. coli)	PWY0-881	PWY0881
PWY-101: photosynthesis light reactions	PWY-101	PWY101
PWY-1042: glycolysis IV	PWY-1042	PWY1042
PWY-1042: glycolysis IV (plant cytosol)	PWY-1042	PWY1042
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	PWY-1269	PWY1269
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	PWY-1269	PWY1269
PWY-1361: benzoyl-CoA degradation I (aerobic)	PWY-1361	PWY1361
PWY-1501: mandelate degradation I	PWY-1501	PWY1501
PWY-1541: superpathway of taurine degradation	PWY-1541	PWY1541
PWY-1622: formaldehyde assimilation I (serine pathway)	PWY-1622	PWY1622
PWY-181: photorespiration	PWY-181	PWY181
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	PWY-1861	PWY1861
PWY-1861: formaldehyde assimilation II (RuMP Cycle)	PWY-1861	PWY1861
PWY1F-823: leucopelargonidin and leucocyanidin biosynthesis	PWY1F-823	PWY1F823
PWY1F-FLAVSYN: flavonoid biosynthesis	PWY1F-FLAVSYN	PWY1FFLAVSYN
PWY1G-0: mycothiol biosynthesis	PWY1G-0	PWY1G0
PWY1ZNC-1: assimilatory sulfate reduction IV	PWY1ZNC-1	PWY1ZNC1
PWY-2201: folate transformations I	PWY-2201	PWY2201
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)	PWY-2221	PWY2221
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	PWY-241	PWY241
PWY-2723: trehalose degradation V	PWY-2723	PWY2723
PWY-2941: L-lysine biosynthesis II	PWY-2941	PWY2941
PWY-2942: L-lysine biosynthesis III	PWY-2942	PWY2942
PWY-3001: superpathway of L-isoleucine biosynthesis I	PWY-3001	PWY3001
PWY-3502: superpathway of NAD biosynthesis in eukaryotes	PWY-3502	PWY3502
PWY-3781: aerobic respiration I (cytochrome c)	PWY-3781	PWY3781
PWY-3801: sucrose degradation II (sucrose synthase)	PWY-3801	PWY3801
PWY-3841: folate transformations II (plants)	PWY-3841	PWY3841
PWY-3841: folate transformations II	PWY-3841	PWY3841
PWY3DJ-35471: L-ascorbate biosynthesis IV	PWY3DJ-35471	PWY3DJ35471
PWY3O-1109: superpathway of 4-hydroxybenzoate biosynthesis (yeast)	PWY3O-1109	PWY3O1109
PWY3O-19: ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	PWY3O-19	PWY3O19
PWY3O-355: stearate biosynthesis III (fungi)	PWY3O-355	PWY3O355
PWY3O-4107: NAD salvage pathway V (PNC V cycle)	PWY3O-4107	PWY3O4107
PWY-4041: &gamma;-glutamyl cycle	PWY-4041	PWY4041
PWY-4061: glutathione-mediated detoxification I	PWY-4061	PWY4061
PWY-4242: pantothenate and coenzyme A biosynthesis III	PWY-4242	PWY4242
PWY-4321: L-glutamate degradation IV	PWY-4321	PWY4321
PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	PWY-4361	PWY4361
PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	PWY-4361	PWY4361
PWY-4702: phytate degradation I	PWY-4702	PWY4702
PWY-4722: creatinine degradation II	PWY-4722	PWY4722
PWY490-3: nitrate reduction VI (assimilatory)	PWY490-3	PWY4903
PWY-4981: L-proline biosynthesis II (from arginine)	PWY-4981	PWY4981
PWY-4984: urea cycle	PWY-4984	PWY4984
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	PWY4FS-7	PWY4FS7
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	PWY4FS-8	PWY4FS8
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	PWY4LZ-257	PWY4LZ257
PWY-5004: superpathway of L-citrulline metabolism	PWY-5004	PWY5004
PWY-5005: biotin biosynthesis II	PWY-5005	PWY5005
PWY-5022: 4-aminobutanoate degradation V	PWY-5022	PWY5022
PWY-5028: L-histidine degradation II	PWY-5028	PWY5028
PWY-5030: L-histidine degradation III	PWY-5030	PWY5030
PWY-5044: purine nucleotides degradation I (plants)	PWY-5044	PWY5044
PWY-5055: nicotinate degradation III	PWY-5055	PWY5055
PWY-5067: glycogen biosynthesis II (from UDP-D-Glucose)	PWY-5067	PWY5067
PWY-5079: L-phenylalanine degradation III	PWY-5079	PWY5079
PWY-5080: very long chain fatty acid biosynthesis I	PWY-5080	PWY5080
PWY-5083: NAD/NADH phosphorylation and dephosphorylation	PWY-5083	PWY5083
PWY-5088: L-glutamate degradation VIII (to propanoate)	PWY-5088	PWY5088
PWY-5097: L-lysine biosynthesis VI	PWY-5097	PWY5097
PWY-5100: pyruvate fermentation to acetate and lactate II	PWY-5100	PWY5100
PWY-5101: L-isoleucine biosynthesis II	PWY-5101	PWY5101
PWY-5103: L-isoleucine biosynthesis III	PWY-5103	PWY5103
PWY-5104: L-isoleucine biosynthesis IV	PWY-5104	PWY5104
PWY-5109: 2-methylbutanoate biosynthesis	PWY-5109	PWY5109
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	PWY-5121	PWY5121
PWY-5130: 2-oxobutanoate degradation I	PWY-5130	PWY5130
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	PWY-5136	PWY5136
PWY-5136: fatty acid &beta;-oxidation II (peroxisome)	PWY-5136	PWY5136
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	PWY-5138	PWY5138
PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation	PWY-5138	PWY5138
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	PWY-5154	PWY5154
PWY-5156: superpathway of fatty acid biosynthesis II (plant)	PWY-5156	PWY5156
PWY-5173: superpathway of acetyl-CoA biosynthesis	PWY-5173	PWY5173
PWY-5177: glutaryl-CoA degradation	PWY-5177	PWY5177
PWY-5178: toluene degradation IV (aerobic) (via catechol)	PWY-5178	PWY5178
PWY-5180: toluene degradation I (aerobic) (via o-cresol)	PWY-5180	PWY5180
PWY-5181: toluene degradation III (aerobic) (via p-cresol)	PWY-5181	PWY5181
PWY-5182: toluene degradation II (aerobic) (via 4-methylcatechol)	PWY-5182	PWY5182
PWY-5183: superpathway of aerobic toluene degradation	PWY-5183	PWY5183
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	PWY-5188	PWY5188
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	PWY-5189	PWY5189
PWY-5198: factor 420 biosynthesis	PWY-5198	PWY5198
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	PWY-5265	PWY5265
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)	PWY-5304	PWY5304
PWY-5306: superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	PWY-5306	PWY5306
PWY-5328: superpathway of L-methionine salvage and degradation	PWY-5328	PWY5328
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	PWY-5345	PWY5345
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	PWY-5347	PWY5347
PWY-5367: petroselinate biosynthesis	PWY-5367	PWY5367
PWY-5381: pyridine nucleotide cycling (plants)	PWY-5381	PWY5381
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	PWY-5384	PWY5384
PWY-5392: reductive TCA cycle II	PWY-5392	PWY5392
PWY-5415: catechol degradation I (meta-cleavage pathway)	PWY-5415	PWY5415
PWY-5417: catechol degradation III (ortho-cleavage pathway)	PWY-5417	PWY5417
PWY-5419: catechol degradation to 2-oxopent-4-enoate II	PWY-5419	PWY5419
PWY-5420: catechol degradation II (meta-cleavage pathway)	PWY-5420	PWY5420
PWY-5430: meta cleavage pathway of aromatic compounds	PWY-5430	PWY5430
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate	PWY-5431	PWY5431
PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	PWY-5464	PWY5464
PWY-5484: glycolysis II (from fructose 6-phosphate)	PWY-5484	PWY5484
PWY-5494: pyruvate fermentation to propanoate II (acrylate pathway)	PWY-5494	PWY5494
PWY-5497: purine nucleobases degradation II (anaerobic)	PWY-5497	PWY5497
PWY-5499: vitamin B6 degradation	PWY-5499	PWY5499
PWY-5505: L-glutamate and L-glutamine biosynthesis	PWY-5505	PWY5505
PWY-5507: adenosylcobalamin biosynthesis I (early cobalt insertion)	PWY-5507	PWY5507
