MouseID,Generation,Cohort,JobGroup,BWDay,HID,LHID,Diet,EN,Coat,Status,DOB,DOE,COE,SurvDays,Died,AnimalComments,CAST
DO-40-2158,G27,G27W2,G27W2D2,Monday,6306,6306,40,2L,other,Dead,7/18/17,11/29/20,Found Dead (FD),1230,TRUE,"check coat color? 125-B8-2018(observation)-Eye Damage-8/24/18-3/9/20(H)
",FALSE
DO-40-2182,G28,G28W2,G28W2D1,Tuesday,6535,6535,40,2L,other,Dead,10/10/17,11/23/20,Found Dead (FD),1140,TRUE,R eye damage 3/9/20. 106-B8-2020-Right Eye Damage-5/5/20-11/23/20(DIT). Found dead while taking mice out of metabolic cages,FALSE
DO-20-1178,G28,G28W2,G28W2D1,Tuesday,6533,6533,20,R,white,Dead,10/10/17,11/20/20,Found Dead (FD),1137,TRUE,"purple ""bruise"" on tail 5/12/20. Found dead while in metabolic testing",FALSE
DO-40-2152,G27,G27W2,G27W2D1,Monday,6305,6305,40,3L1R,black,Dead,7/18/17,11/19/20,Found Dead (FD),1220,TRUE,"changed EN to 3L1R(used EN sample for genotyping) 4/12/18
24-B8-2018-3/13/2018-Missing Right Eye",FALSE
DO-40-2172,G28,G28W1,G28W1D2,Tuesday,6474,8603,40,B,other,Dead,9/19/17,11/18/20,Euthanized Sick (ES),1156,TRUE,195-B8-2020-Derm at Base of Tail-8/23/20-11/18/20(DIT),FALSE
DO-40-2145,G27,G27W2,G27W2D1,Monday,6305,6305,40,N,other,Dead,7/18/17,11/9/20,Found Dead (FD),1210,TRUE,NA,FALSE
DO-40-2111,G26,G26W1,G26W1D2,Thursday,5841,5841,40,3R,other,Dead,3/21/17,11/3/20,Missing (MSG),1323,TRUE,"SCO-15-2017(observation)-Eye Damage to right eye-11/30/17-2/7/20
(no change to condition- case closed)",FALSE
DO-20-1179,G28,G28W2,G28W2D1,Tuesday,6533,6533,20,L,other,Dead,10/10/17,10/28/20,Euthanized Sick (ES),1114,TRUE,"small right ear 5/12/20. large tumor like mass on dorsal neck 9/15/20. Tumor has become ulcerated 10/6./20 224-B8-2020-Ulcerated Tumor on Dorsal Neck-10/4/20-10/28/20(DIT) Euthanized, unable to right itself",FALSE
DO-20-1190,G28,G28W2,G28W2D1,Tuesday,6534,6534,20,2L,other,Dead,10/10/17,10/28/20,Euthanized Sick (ES),1114,TRUE,NA,FALSE
DO-40-2178,G28,G28W2,G28W2D1,Tuesday,6535,6535,40,R,other,Dead,10/10/17,10/27/20,Found Dead (FD),1113,TRUE,hairloss around ears and top of head. Watch for derm 4/14/20.106-B8-2020-Derm on Ears-5/5/20-10/27/20(DIT),FALSE
DO-2D-4149,G27,G27W2,G27W2D2,Monday,6299,6299,2D,2R,other,Dead,7/18/17,10/25/20,Found Dead (FD),1195,TRUE,NA,FALSE
DO-AL-0118,G26,G26W2,G26W2D1,Thursday,5878,5878,AL,2L,other,Dead,4/11/17,10/25/20,Found Dead (FD),1293,TRUE,"2L, biter.",FALSE
DO-2D-4165,G28,G28W1,G28W1D2,Tuesday,6477,6477,2D,2R,other,Dead,9/19/17,10/14/20,Found Dead (FD),1121,TRUE,right eye damage 8.28.18. Mouse found dead while in metabolic testing,TRUE
DO-1D-3188,G28,G28W2,G28W2D2,Tuesday,6538,6538,1D,B,other,Dead,10/10/17,10/13/20,Found Dead (FD),1099,TRUE,NA,FALSE
DO-40-2176,G28,G28W1,G28W1D2,Tuesday,6474,6474,40,3L,black,Dead,9/19/17,10/13/20,Found Dead (FD),1120,TRUE,Found dead during metabolic testing,FALSE
DO-20-1168,G28,G28W1,G28W1D1,Tuesday,6471,6471,20,3L,other,Dead,9/19/17,10/11/20,Found Dead (FD),1118,TRUE,distended abdomen 10/6/20,FALSE
DO-AL-0180,G28,G28W2,G28W2D1,Tuesday,6531,6531,AL,B,other,Dead,10/10/17,9/29/20,Found Dead (FD),1085,TRUE,"ruffled fur, distended abdomen, start of hunched posture 9/15/20",FALSE
DO-2D-4180,G28,G28W2,G28W2D2,Tuesday,6539,6539,2D,B,other,Dead,10/10/17,9/27/20,Found Dead (FD),1083,TRUE,275-B8-2019-Mild Bite Wounds to Tail-11/27/19-2/10/20(H) distended abdomen 3/3/20,FALSE
DO-20-1101,G26,G26W1,G26W1D1,Thursday,5836,5836,20,2R,other,Dead,3/21/17,9/25/20,Found Dead (FD),1284,TRUE,"2R. piloerection across body and head, distended abdomen, hunched posture, eyes are barely open, tremor. Put food on bottom of pen 9/24/20
SCO-54-11/30/2017-Right Eye damage",FALSE
DO-20-1109,G26,G26W1,G26W1D1,Thursday,5838,5838,20,2R,other,Dead,3/21/17,9/24/20,Found Dead (FD),1283,TRUE,"2R. Piloerection, ruffled fur 9/13/18",FALSE
DO-20-1183,G28,G28W2,G28W2D1,Tuesday,6533,6533,20,3R,black,Dead,10/10/17,9/24/20,Euthanized Sick (ES),1080,TRUE,"hind limb paralysis, daily food will be put on floor added hydrogel to pen. thoracic mass 7/14/20. Found cold, unresponsive to touch, heavy breathing and bleeding from back legs euthanized 9/24/20 hjs",FALSE
DO-40-2116,G26,G26W2,G26W2D1,Thursday,5882,5882,40,B,other,Dead,4/11/17,9/24/20,Found Dead (FD),1262,TRUE,"B. tumor-like mass near back right leg, gait is abnormal due to mass 9/10/20. 213-B8-2020-Non-Ulcerated Tumor on right hip/rump area-9/20/20-9/24/20(DIT)",FALSE
DO-20-1127,G26,G26W2,G26W2D1,Thursday,5881,5881,20,3R,other,Dead,4/11/17,9/21/20,Euthanized Sick (ES),1259,TRUE,"3R. thin and frail, piloerection starting on head 6/5/20.labored breathing, BCS 1, piloerection across body and head, tremor 6/11/20",FALSE
DO-1D-3170,G28,G28W1,G28W1D2,Tuesday,6476,6476,1D,R,white,Dead,9/19/17,9/20/20,Found Dead (FD),1097,TRUE,"extensive hair thinnin across entire body, fur is ruffled, labored breathing, hunched posture and tremor 9/15/20",FALSE
DO-2D-4190,G28,G28W2,G28W2D2,Tuesday,6540,6540,2D,2L,other,Dead,10/10/17,9/20/20,Found Dead (FD),1076,TRUE,NA,FALSE
DO-AL-0176,G28,G28W1,G28W1D1,Tuesday,6470,6470,AL,3L,other,Dead,9/19/17,9/20/20,Found Dead (FD),1097,TRUE,"piloerection across body and head, tumor-like mass across dorsal neck, face looks swollen 9/1/20. tumor like masses across body, labored breathing, abnormal/uneven gait, put food on pen floor 9/15/20",FALSE
DO-40-2151,G27,G27W2,G27W2D1,Monday,6305,6305,40,3R,other,Dead,7/18/17,9/18/20,Found Dead (FD),1158,TRUE,159-B8-2020-mild malo-7/12/20-9/1/20(H),FALSE
DO-1D-3145,G27,G27W2,G27W2D2,Monday,6307,6307,1D,N,white,Dead,7/18/17,9/14/20,Found Dead (FD),1154,TRUE,"191-B8-2019(observation)-Eye Damage-9/13/19-2/10/20(no change to condition- case closed) Distended abdomen-2/10/2020. 93-B8-20-Other(observation) Distended Abdomen/Ascitis-4/6/20-6/15/20(case closed,no change). 203-B8-2020-Distended Abdomen-8/30/20-9/14/20(DIT). Died while in metabolic testing.",FALSE
DO-AL-0141,G27,G27W1,G27W1D1,Monday,6183,6183,AL,2R,other,Dead,6/27/17,9/13/20,Found Dead (FD),1174,TRUE,distended abdomen 7/6/20,FALSE
DO-20-1123,G26,G26W2,G26W2D1,Thursday,5881,5881,20,L,other,Dead,4/11/17,9/11/20,Found Dead (FD),1249,TRUE,"L. mass forming on back right leg. gait is uneven and labored. Piloerection across body and head, breathing is heavy and labored.Nails on back feet are abnormally long 9/10/20",FALSE
DO-2D-4148,G27,G27W2,G27W2D2,Monday,6299,6299,2D,B,other,Dead,7/18/17,9/11/20,Euthanized Sick (ES),1151,TRUE,"found unresponsive to touch, lying on side, unable to right itself and taking slow shallow breaths while in metabolic testing. Euthanized hjs",FALSE
DO-2D-4184,G28,G28W2,G28W2D2,Tuesday,6539,6539,2D,3L,black,Dead,10/10/17,9/11/20,Found Dead (FD),1067,TRUE,tremor 5/29/19. 196-B8-2020-Mild Derm on Ears and Back-8/23/20-9/11/20(DIT),FALSE
DO-40-2174,G28,G28W1,G28W1D2,Tuesday,6474,6474,40,2L,other,Dead,9/19/17,9/9/20,Found Dead (FD),1086,TRUE,small right eye,FALSE
DO-40-2157,G27,G27W2,G27W2D2,Monday,6306,6306,40,2R,other,Dead,7/18/17,9/4/20,Found Dead (FD),1144,TRUE,right eye damage 6/29/18,FALSE
DO-40-2160,G27,G27W2,G27W2D2,Monday,6306,6306,40,3L,black,Dead,7/18/17,9/3/20,Found Dead (FD),1143,TRUE,NA,FALSE
DO-40-2081,G24,G24W2,G24W2D1,Wednesday,5085,5085,40,N,white,Dead,10/4/16,9/2/20,Found Dead (FD),1429,TRUE,"N
S7170557-8",FALSE
DO-40-2149,G27,G27W2,G27W2D1,Monday,6305,6305,40,2R,other,Dead,7/18/17,9/1/20,Found Dead (FD),1141,TRUE,"24-B8-2018-3/13/18-Missing Right Eye ,Very frail,159-B8-2020-Mild Malo, Mild derm to muzzle and tail-7/12/20-9/1/20(DIT)",FALSE
DO-2D-4168,G28,G28W1,G28W1D2,Tuesday,6477,6477,2D,3L,other,Dead,9/19/17,8/31/20,Missing (MSG),1077,TRUE,"ear notches close together, with one hole very low on ear",FALSE
DO-20-1097,G26,G26W1,G26W1D1,Thursday,5836,5836,20,N,white,Dead,3/21/17,8/24/20,Found Dead (FD),1252,TRUE,N. no eyes,FALSE
DO-2D-4151,G27,G27W2,G27W2D2,Monday,6299,6299,2D,3R,other,Dead,7/18/17,8/24/20,Missing (MSG),1133,TRUE,smaller than cage mates,FALSE
DO-40-2150,G27,G27W2,G27W2D1,Monday,6305,6305,40,2L,other,Dead,7/18/17,8/24/20,Euthanized Sick (ES),1133,TRUE,found unresponsive before putting in metabolic testing. Euthanized. 159-B8-2020-Mild Malo/ Derm on tail/Hind limb paralysis-7/12/20-8/24/20(DIT),FALSE
DO-40-2175,G28,G28W1,G28W1D2,Tuesday,6474,6474,40,3R,other,Dead,9/19/17,8/24/20,Euthanized Sick (ES),1070,TRUE,"ear notches close together. 7/3/18. small right eye 8/28/1820. Mouse found lying on side, unresponsive to touch during CBC. Euthanized HJS
",FALSE
DO-1D-3169,G28,G28W1,G28W1D2,Tuesday,6476,6476,1D,N,white,Dead,9/19/17,8/20/20,Found Dead (FD),1066,TRUE,5-B8-2020- Moderate Derm to Dorsal Neck-1/9/20-1/21/20(H) 92-B8-2020- Derm to Dorsal Neck(severity not noted)-4/1/20-,FALSE
DO-1D-3134,G27,G27W1,G27W1D2,Monday,6188,6188,1D,2L,other,Dead,6/27/17,8/17/20,Found Dead (FD),1147,TRUE,"distended abdomen 7/6/20
",FALSE
DO-AL-0172,G28,G28W1,G28W1D1,Tuesday,6470,6470,AL,B,other,Dead,9/19/17,8/14/20,Found Dead (FD),1060,TRUE,"Case 12-B8-2019 1/25/2019-2/7/20(H) Right eye blepharospasm, no discharge or opacity, swelling. 91-B8-2020-Eye Damage to Right Eye-3/27/20-4/30/20(closed). Back left foot is starting to look swollen. 5/12/20",FALSE
DO-40-2137,G27,G27W1,G27W1D2,Monday,6187,6187,40,N,white,Dead,6/27/17,8/10/20,Found Dead (FD),1140,TRUE,NA,FALSE
DO-20-1124,G26,G26W2,G26W2D1,Thursday,5881,5881,20,B,other,Dead,4/11/17,8/9/20,Found Dead (FD),1216,TRUE,B,FALSE
DO-20-1189,G28,G28W2,G28W2D1,Tuesday,6534,6534,20,2R,other,Dead,10/10/17,8/9/20,Found Dead (FD),1034,TRUE,left eye damage,FALSE
DO-40-2088,G24,G24W2,G24W2D1,Wednesday,5085,5085,40,3L,black,Dead,10/4/16,8/7/20,Found Dead (FD),1403,TRUE,"3L
S7170557-8",TRUE
DO-40-2135,G27,G27W1,G27W1D1,Monday,6186,6186,40,3R,other,Dead,6/27/17,8/4/20,Found Dead (FD),1134,TRUE,NA,FALSE
DO-2D-4192,G28,G28W2,G28W2D2,Tuesday,6540,6540,2D,3L,black,Dead,10/10/17,8/3/20,Found Dead (FD),1028,TRUE,"hunched, piloerection across body and head, bulging eyes 7/6/20",FALSE
DO-2D-4113,G26,G26W2,G26W2D2,Thursday,5886,5882,2D,N,white,Dead,4/11/17,7/30/20,Found Dead (FD),1206,TRUE,N,FALSE
DO-1D-3168,G28,G28W1,G28W1D2,Tuesday,6475,6475,1D,3L,other,Dead,9/19/17,7/27/20,Found Dead (FD),1042,TRUE,failed to recover after PIXI testing. Found dead in pen before echo data could be collected.,FALSE
DO-2D-4174,G28,G28W1,G28W1D2,Tuesday,6478,6478,2D,2L,other,Dead,9/19/17,7/27/20,Found Dead (FD),1042,TRUE,NA,FALSE
DO-1D-3163,G28,G28W1,G28W1D2,Tuesday,6475,6475,1D,L,other,Dead,9/19/17,7/25/20,Found Dead (FD),1040,TRUE,"distended abdomen 6/23/20. hunched, labored breathing, piloerection across body and head, BCS 1.5 7/7/20",FALSE
DO-1D-3189,G28,G28W2,G28W2D2,Tuesday,6538,6538,1D,2R,other,Dead,10/10/17,7/25/20,Found Dead (FD),1019,TRUE,large mass over back right leg 6/24/20,FALSE
DO-20-1158,G27,G27W2,G27W2D1,Monday,6304,6304,20,2L,other,Dead,7/18/17,7/24/20,Found Dead (FD),1102,TRUE,"tremor 3/11/19. abdominal mass 4/27/20.very uneven gait, back end sways side to side while moving. Daily feeding put on pen floor 5/28/20",FALSE
DO-40-2102,G26,G26W1,G26W1D1,Thursday,5840,5840,40,2L,other,Dead,3/21/17,7/24/20,Found Dead (FD),1221,TRUE,2L. messy notches. no right eye,FALSE
DO-40-2056,G23,G23W2,G23W2D1,Tuesday,4338,4338,40,3L,black,Dead,6/21/16,7/21/20,Found Dead (FD),1491,TRUE,3LEN. 104-B8-2020-Rectal Prolapse-4/28/20-,TRUE
DO-2D-4162,G28,G28W1,G28W1D2,Tuesday,6477,6477,2D,R,other,Dead,9/19/17,7/17/20,Found Dead (FD),1032,TRUE,"hunched piloerection across body and start of head, BCS2 5/12/20.",FALSE
DO-40-2125,G26,G26W2,G26W2D2,Thursday,5883,5883,40,2R,other,Dead,4/11/17,7/13/20,Found Dead (FD),1189,TRUE,236-B8-2019-Eye Damage(ruptured globe)-12/3/19-7/13/20(DIT),FALSE
DO-20-1129,G27,G27W1,G27W1D1,Monday,6184,6184,20,N,other,Dead,6/27/17,7/10/20,Found Dead (FD),1109,TRUE,subdermal lipoma on dorsal neck 7/15/19,FALSE
DO-2D-4143,G27,G27W1,G27W1D2,Monday,6191,6191,2D,3R,other,Dead,6/27/17,7/9/20,Found Dead (FD),1108,TRUE,"SCO-58-2017(observation-previously case 59)- Mild Derm on Ears-11/22/17-2/10/20( no change to condition case closed). piloerection across body and head, thoracic mass that streatches to left ear 7/6/20
",FALSE
DO-40-2050,G23,G23W2,G23W2D1,Tuesday,4338,8754,40,R,other,Dead,6/21/16,7/8/20,Found Dead (FD),1478,TRUE,"REN22,23,24,26,27,28,29,30. 104-B8-2020-Rectal Prolapse-4/28/20-7/8/20(DIT)
",FALSE
DO-20-1164,G28,G28W1,G28W1D1,Tuesday,6471,6471,20,B,other,Dead,9/19/17,7/6/20,Euthanized Sick (ES),1021,TRUE,"unresponsive to touch, eyes held closed, cold to touch, piloerection across body and head- euthanized by GAV",TRUE
DO-40-2087,G24,G24W2,G24W2D1,Wednesday,5085,5085,40,3R,black,Dead,10/4/16,7/5/20,Euthanized Sick (ES),1370,TRUE,"tremor 12/5/19. 288-B8-2019-Rectal Prolapse(severity not noted)-12/15/19-5/22/20(H). tremor 4/29/29 Losing mobility on the right side-6/10/20. Euthanized on 7/5/20 for being unresponsive to touch, eyes held closed, unable to right itself",FALSE
DO-40-2133,G27,G27W1,G27W1D1,Monday,6186,6186,40,2R,other,Dead,6/27/17,6/29/20,Found Dead (FD),1098,TRUE,SCO-56(observation)-2017- Eye Damage-12/5/17-2/12/20- no change in condition- case closed,FALSE
DO-20-1135,G27,G27W1,G27W1D1,Monday,6184,6184,20,3R,black,Dead,6/27/17,6/24/20,Found Dead (FD),1093,TRUE,NA,FALSE
DO-20-1122,G26,G26W2,G26W2D1,Thursday,5881,5881,20,R,other,Dead,4/11/17,6/22/20,Found Dead (FD),1168,TRUE,"R. BCS1.5, distended abdomen, frail 6/5/20.",FALSE
DO-20-1146,G27,G27W2,G27W2D1,Monday,6303,6303,20,R,other,Dead,7/18/17,6/22/20,Found Dead (FD),1070,TRUE,right eye damage,FALSE
DO-20-1069,G24,G24W1,G24W1D1,Wednesday,4972,4972,20,2R,other,Dead,9/13/16,6/18/20,Found Dead (FD),1374,TRUE,2REN. protrusion(tumor?) on left eye on lower lid 11/13/19,TRUE
DO-20-1173,G28,G28W1,G28W1D1,Tuesday,6472,6472,20,2R,other,Dead,9/19/17,6/15/20,Found Dead (FD),1000,TRUE,NA,FALSE
DO-2D-4122,G26,G26W2,G26W2D2,Thursday,5887,5887,2D,R,other,Dead,4/11/17,6/14/20,Found Dead (FD),1160,TRUE,R(low notch). 11/18/2017-Damage Right eye,FALSE
DO-20-1066,G24,G24W1,G24W1D1,Wednesday,4972,4972,20,L,other,Dead,9/20/16,6/13/20,Euthanized Sick (ES),1362,TRUE,"LEN, Ear-notched wrong side did L instead of R. found on side and could not right itself, unresponive to touch, eyes held closed, labored breathing. Euthanized hjs
",FALSE
DO-1D-3135,G27,G27W1,G27W1D2,Monday,6188,6188,1D,3R,other,Dead,6/27/17,6/12/20,Found Dead (FD),1081,TRUE,subdermal lipoma on dorsal neck 1/21/19,TRUE
DO-40-2124,G26,G26W2,G26W2D2,Thursday,5883,8329,40,B,other,Dead,4/11/17,6/9/20,Found Dead (FD),1155,TRUE,"40(previously case 236)-B8-2019(observation)-Mild Derm, Eyes(ruptured globe)-10/15/19-6/9/20(DIT). Separated per clam on 1/29/20 for extensive barbering to face. Now in pen 8329. New clam case is",FALSE
DO-AL-0188,G28,G28W2,G28W2D1,Tuesday,6532,6532,AL,B,other,Dead,10/10/17,6/9/20,Euthanized Sick (ES),973,TRUE,cloudy right eye 9/20/18. Euthanized per vet request for a wound to the right shoulder 6/9/20,FALSE
DO-1D-3175,G28,G28W1,G28W1D2,Tuesday,6476,6476,1D,3R,black,Dead,9/19/17,6/4/20,Found Dead (FD),989,TRUE,92-B8-2020-Other(observation) Distended Abdomen/Ascitis-3/30/20-6/4/20(DIT) tumor-like mass forming on front left leg 5/12/20,TRUE
DO-1D-3178,G28,G28W2,G28W2D2,Tuesday,6537,8334,1D,R,white,Dead,10/10/17,6/4/20,Found Dead (FD),968,TRUE,moved to pen 8334 for fighting 2/12/2020. 45-B8-2020-Bite Wounds to Tail-2/12/20-2/26/20(H)- abdomen looks slightly distended 3/3/20,FALSE
