feature	is.community.feat	solution.age	std.error.age	pval.age	padj.age
Hungatella	N	-0.0227764902267212	0.017329691082263	0.188819508946897	0.271785656817503
Intestinibacter	N	0.0187946327155153	0.0167261209680763	0.261219524525753	0.33999493131363
Intestinimonas	N	0.0426866083418541	0.0164068276025063	0.00930842079258493	0.0232710519814623
InvSimpson	Y	0.0833958813324343	0.0152388136104905	4.70037788416706e-08	4.961509988843e-07
Klebsiella	N	0.048678329959236	0.0141335415060662	0.000578558222655471	0.00203566782045444
Lachnoclostridium	N	-0.0179334353771453	0.0173483947810827	0.301327948085059	0.37176824763741
Lachnospira	N	0.0383376085048995	0.0168636916558605	0.023055462642299	0.0429464500199687
Lacrimispora	N	-0.0388665564716217	0.0177050247734536	0.0282086803028083	0.0515350890147459
Lactobacillus	N	0.0487292508336553	0.0175794014957421	0.00559895272763259	0.0147750141423638
Lactococcus	N	0.0235591420021036	0.0174541810958227	0.177165645996385	0.260491498114316
Lawsonibacter	N	0.0978391865814141	0.0144052342302577	1.26568291291274e-11	2.00399794544516e-10
Leuconostoc	N	0.0873907399143423	0.0166215750502968	1.53408767780936e-07	1.21448607826575e-06
Ligilactobacillus	N	0.0511284028791268	0.0162685094797039	0.00168545404350156	0.00470935688625436
Mediterraneibacter	N	-0.052564398175129	0.0154866163950103	0.000694873045996881	0.00216481778065578
Megamonas	N	-0.0579004934621045	0.0170401065795264	0.000685590172617946	0.00216481778065578
Megasphaera	N	0.028890014244004	0.0166137424296891	0.0821237355215469	0.134513015078396
Methanobrevibacter	N	0.125355814380204	0.0170712232751675	2.52293162565094e-13	4.86403385454959e-12
Mitsuokella	N	0.0294240986461771	0.0167579195609964	0.0791921453445024	0.131986908907504
Mogibacterium	N	0.0887417075943006	0.0164937338776381	7.85271115913461e-08	7.46007560117788e-07
Monoglobus	N	0.0236925293193773	0.0175172968347011	0.176292956207464	0.260491498114316
Observed	Y	0.0775834630109504	0.0145584131463503	1.04004289203749e-07	8.98218861305104e-07
Odoribacter	N	-0.00455909176069505	0.0156293197286918	0.770529863994962	0.778726990207675
Oscillibacter	N	0.0862765431558942	0.0170765944691107	4.56231706281218e-07	3.09585800690826e-06
Parabacteroides	N	-0.00502689726882	0.0156541238414246	0.748133646685568	0.764222542313214
Paraprevotella	N	0.0214714636217191	0.0177681675623499	0.226963174323542	0.312485529865747
Parasutterella	N	-0.0396745520935784	0.0155596806491184	0.0108136740885955	0.0250560741077212
Phascolarctobacterium	N	0.0872978774593502	0.0174868381243924	6.23532396414195e-07	3.94903851062323e-06
Phocaeicola	N	-0.0338665080151596	0.0139311268223802	0.0151000447222061	0.0326023692865814
Prevotella	N	0.02085660261924	0.0162104975350205	0.198302784153798	0.277040654332512
Pseudoflavonifractor	N	-0.0160612563999072	0.0177432001365453	0.365415499864253	0.428573734408692
Romboutsia	N	-0.0165716970810586	0.0166120628124503	0.318547967396099	0.379936589818393
Roseburia	N	0.019410247417343	0.0175120159059309	0.26775779007748	0.343743108883251
Rothia	N	0.0595549085971475	0.0175651071279976	0.000706414223161359	0.00216481778065578
Ruminococcus	N	0.0680960399635896	0.017062998208435	6.70654998800076e-05	0.000277009673417423
Ruthenibacterium	N	0.0347736319080631	0.0148239592721748	0.0190351295107073	0.0393116805112434
Schaalia	N	0.0285305790666271	0.0160216939364471	0.0750295675338494	0.127282302066352
Sellimonas	N	-0.035679621998496	0.0177038748728006	0.0439417036365717	0.0787634310466852
Shannon	Y	0.0776537983819462	0.0140901291415369	3.78254451195896e-08	4.49177160795127e-07
Simpson	Y	0.0626707284749991	0.0149464469599941	2.81080004340369e-05	0.000121375456419705
Slackia	N	0.127847862514475	0.0157000050189673	5.06200954243598e-16	4.80890906531418e-14
Streptococcus	N	0.00622920865252118	0.0159983491993273	0.69702589760325	0.752471139458053
Tractidigestivibacter	N	0.0704540865116336	0.0150409694068812	2.90250729208553e-06	1.62198936910662e-05
Turicibacter	N	-0.0396775477146133	0.0173569769880075	0.0223103543035627	0.0429464500199687
Turicimonas	N	-0.0434584834804624	0.0165519319771648	0.00868233984744966	0.0222924942029113
Uniqueness	Y	0.0924863025143246	0.0166219929801834	2.80404620243106e-08	3.80549127472786e-07
Veillonella	N	0.0481345238151034	0.0169286047445394	0.00448661921793344	0.0121779664486765
Victivallis	N	0.0832495905860586	0.016896616004483	8.68731772870494e-07	5.15809490141856e-06
