feature	is.community.feat	solution.age	std.error.age	pval.age	padj.age
GGB28409	N	 0.14765214	0.05382315	0.00689694	0.01482424
GGB28415	N	-0.11300966	0.07993399	0.15969187	0.22559646
GGB28418	N	-0.29257675	0.07452902	0.00013637	0.00040665
GGB28420	N	-0.22870602	0.06449971	0.00053612	0.00141725
GGB28422	N	-0.09495972	0.08353757	0.25763241	0.34053393
GGB28430	N	-0.18282838	0.08220288	0.02777583	0.05222639
GGB28431	N	-0.11320315	0.08173257	0.16828882	0.23525192
GGB28436	N	 0.11019205	0.06333892	0.08415369	0.13139787
GGB28437	N	 0.22019879	0.07173926	0.00258615	0.00600436
GGB28456	N	-0.25544106	0.07814099	0.00136474	0.00337393
GGB28632	N	-0.43797753	0.06894782	0.00000000	0.00000002
GGB28645	N	-0.63104260	0.06241807	0.00000000	0.00000000
GGB28695	N	-0.50902482	0.06946514	0.00000000	0.00000000
GGB28765	N	-0.04522747	0.08473210	0.59435306	0.66019597
GGB28766	N	 0.18204468	0.08340159	0.03073357	0.05698515
GGB28769	N	-0.14117569	0.08262217	0.08977064	0.13854774
GGB28772	N	-0.12675843	0.08300098	0.12901615	0.18924719
GGB28776	N	-0.10386238	0.08104310	0.20215725	0.27966832
GGB28778	N	-0.16417576	0.07658287	0.03381705	0.06227001
GGB28782	N	-0.22832654	0.08154103	0.00584567	0.01285180
GGB28785	N	 0.07553920	0.06941113	0.27837920	0.35563275
GGB28790	N	 0.15696876	0.07399184	0.03568559	0.06481669
GGB28791	N	-0.03854462	0.08348119	0.64501640	0.69443298
GGB28792	N	 0.18648455	0.08305064	0.02633862	0.05023151
GGB28793	N	-0.07379669	0.07458103	0.32417080	0.39703488
GGB28798	N	 0.07987478	0.07759017	0.30508440	0.37887225
GGB28828	N	 0.32488222	0.08021785	0.00008474	0.00026006
GGB28829	N	 0.09440103	0.05830595	0.10773336	0.16160005
GGB28833	N	 0.26604565	0.07284828	0.00036927	0.00100606
GGB28836	N	-0.09484445	0.08068577	0.24184096	0.32448008
GGB28839	N	 0.03117881	0.07386247	0.67359921	0.71369440
GGB28841	N	-0.18424369	0.08310622	0.02827026	0.05278433
GGB28844	N	 0.12509602	0.05916774	0.03630452	0.06549532
GGB28846	N	-0.08617023	0.08178417	0.29390601	0.37015521
GGB28849	N	 0.04293462	0.07599474	0.57301908	0.64284073
GGB28851	N	-0.14300182	0.06806557	0.03747777	0.06715815
GGB28853	N	-0.40607064	0.07518217	0.00000028	0.00000131
GGB28855	N	-0.07332363	0.06679313	0.27422954	0.35201581
GGB28859	N	-0.47629502	0.07458003	0.00000000	0.00000002
GGB28865	N	-0.03314295	0.07003546	0.63680141	0.68836427
GGB28868	N	-0.23694481	0.08183964	0.00440971	0.00989406
GGB28869	N	 0.02726083	0.08203756	0.74017263	0.77805548
GGB28870	N	-0.13094386	0.07521316	0.08393343	0.13139787
GGB28875	N	 0.18457433	0.08137627	0.02488242	0.04849348
GGB28879	N	 0.01330348	0.08151978	0.87060667	0.88722130
GGB28881	N	 0.05356276	0.08410558	0.52528243	0.59681025
GGB28883	N	 0.12283642	0.07036123	0.08308776	0.13126883
GGB28887	N	-0.26021044	0.07997091	0.00143401	0.00351266
GGB28888	N	-0.07337569	0.07072378	0.30133190	0.37772590
GGB28892	N	 0.01231529	0.06932988	0.85927337	0.88240766
GGB28893	N	-0.06027363	0.08256799	0.46664294	0.54646344
GGB28895	N	-0.07420871	0.08161161	0.36479253	0.44272547
GGB28898	N	 0.27717736	0.07515555	0.00032484	0.00089416
GGB28901	N	-0.15905828	0.08308957	0.05766348	0.09503796
GGB28904	N	 0.04074415	0.08343954	0.62611203	0.68233433
GGB28908	N	-0.03892848	0.07868637	0.62158317	0.68017502
GGB28916	N	-0.04672375	0.07730685	0.54658150	0.61576903
GGB28924	N	-0.36494472	0.07822678	0.00000724	0.00002510
GGB28925	N	 0.33041557	0.08003034	0.00006298	0.00020018
GGB28926	N	 0.03412635	0.07115127	0.63225463	0.68622758
GGB28927	N	-0.04065879	0.08104713	0.61670562	0.67761482
GGB28933	N	-0.25331555	0.08205241	0.00243929	0.00571308
GGB28934	N	-0.43168274	0.07259736	0.00000002	0.00000011
GGB28944	N	 0.10419609	0.05337031	0.05293896	0.08946013
GGB28946	N	-0.44872928	0.07459926	0.00000002	0.00000009
GGB28948	N	-0.51782409	0.07253915	0.00000000	0.00000000
GGB28949	N	-0.15691410	0.07941215	0.05016912	0.08642036
GGB28951	N	-0.12328854	0.07424929	0.09910708	0.15034994
GGB28955	N	-0.55246076	0.06784824	0.00000000	0.00000000
GGB28956	N	 0.01401537	0.08481056	0.86898340	0.88722130
GGB28958	N	-0.16874692	0.06156144	0.00694019	0.01482424
GGB28959	N	-0.02931870	0.07560723	0.69878322	0.73745107
GGB28960	N	-0.44582003	0.07232259	0.00000001	0.00000004
GGB28961	N	 0.44226817	0.07097820	0.00000001	0.00000003
GGB28963	N	-0.29805622	0.07380106	0.00008908	0.00027028
GGB28964	N	-0.54513498	0.06862308	0.00000000	0.00000000
GGB28967	N	-0.03724528	0.08453693	0.66020961	0.70229469
GGB28980	N	-0.15423834	0.07846594	0.05135803	0.08734137
GGB28981	N	-0.14394322	0.07833058	0.06828155	0.11049197
GGB28987	N	 0.15145112	0.08384049	0.07301614	0.11744163
GGB28988	N	-0.42884760	0.07662342	0.00000011	0.00000055
GGB28989	N	-0.22785628	0.05536025	0.00006627	0.00020815
GGB28991	N	 0.05539413	0.05695394	0.33245985	0.40532777
GGB29001	N	 0.06637068	0.05594602	0.23754354	0.32032386
GGB29003	N	 0.07623298	0.07578295	0.31621828	0.39088093
GGB29004	N	-0.30196507	0.08085946	0.00027365	0.00077729
GGB29005	N	 0.05600791	0.08468575	0.50947519	0.58132425
GGB29011	N	 0.30343932	0.07732357	0.00013707	0.00040665
GGB29531	N	 0.01162274	0.08481316	0.89119804	0.90475238
GGB29546	N	-0.32649676	0.07685037	0.00003950	0.00013185
GGB29551	N	-0.05569442	0.08022826	0.48873211	0.56824499
GGB29683	N	 0.09974449	0.08402336	0.23723648	0.32032386
GGB30087	N	-0.43383576	0.06815883	0.00000000	0.00000002
GGB30141	N	-0.11110731	0.08021214	0.16825127	0.23525192
GGB30145	N	 0.32518283	0.07935999	0.00007106	0.00022062
GGB30295	N	-0.04340409	0.08273193	0.60068392	0.66273805
GGB30296	N	-0.12547658	0.08286759	0.13228091	0.19091353
GGB30297	N	 0.13938760	0.07927957	0.08094949	0.12942224
GGB30300	N	-0.16306546	0.08368361	0.05335817	0.08960146
GGB30301	N	 0.27524796	0.07894516	0.00065776	0.00167260
GGB30302	N	-0.09368103	0.08313768	0.26178703	0.34096164
GGB30303	N	 0.09061314	0.07801519	0.24746547	0.33036641
GGB30310	N	 0.35266341	0.07376250	0.00000444	0.00001647
GGB30408	N	 0.25209236	0.07416887	0.00088633	0.00221168
GGB30413	N	 0.25793281	0.08110810	0.00182036	0.00437871
GGB30414	N	-0.05717640	0.08388189	0.49662190	0.57154330
GGB30450	N	 0.17183930	0.08355721	0.04160027	0.07355810
GGB30451	N	 0.04959097	0.08088044	0.54080039	0.61183773
GGB30453	N	 0.14903506	0.05660618	0.00943984	0.02000348
GGB30454	N	-0.32218020	0.07366486	0.00002401	0.00008219
GGB30455	N	 0.05889357	0.07847951	0.45428084	0.53669462
GGB30457	N	 0.08759570	0.08302043	0.29323029	0.37015521
GGB30460	N	 0.08194267	0.08276655	0.32389556	0.39703488
GGB30461	N	-0.15775558	0.08187248	0.05606739	0.09356246
GGB30462	N	 0.14329426	0.05120141	0.00587236	0.01285180
GGB30463	N	 0.00392217	0.07996418	0.96095158	0.96820404
GGB30466	N	 0.40224692	0.07765434	0.00000076	0.00000319
GGB30468	N	-0.06061664	0.08179018	0.45988610	0.54092330
GGB30473	N	-0.19481746	0.08254121	0.01967091	0.03890469
GGB30620	N	 0.56633017	0.06990590	0.00000000	0.00000000
GGB30861	N	-0.09286566	0.08301084	0.26521659	0.34237924
GGB31173	N	-0.37411334	0.07865960	0.00000488	0.00001761
GGB31184	N	-0.13340649	0.08406073	0.11477921	0.17120698
GGB31256	N	 0.36277731	0.06911113	0.00000057	0.00000245
GGB31439	N	-0.26697841	0.06971576	0.00019465	0.00057113
GGB3171	N	-0.28766102	0.08101138	0.00052647	0.00140569
GGB31762	N	-0.18844872	0.08329920	0.02522917	0.04881297
GGB31767	N	-0.11872448	0.07609086	0.12099582	0.17848555
GGB31768	N	-0.31635478	0.07531680	0.00004773	0.00015733
GGB31793	N	-0.39519866	0.07601738	0.00000071	0.00000302
GGB31823	N	-0.33340514	0.07973795	0.00005137	0.00016725
GGB31838	N	-0.22643344	0.07829163	0.00445115	0.00990380
GGB31839	N	 0.09599434	0.05847746	0.10297449	0.15533440
GGB31841	N	 0.11026398	0.05739301	0.05678222	0.09416679
GGB31851	N	 0.71996011	0.05795588	0.00000000	0.00000000
GGB31853	N	-0.29872203	0.08018103	0.00028381	0.00079765
GGB3661	N	-0.35189966	0.07367676	0.00000453	0.00001658
GGB42328	N	-0.22825970	0.07380931	0.00240508	0.00568280
GGB42343	N	-0.43909589	0.07320538	0.00000002	0.00000009
GGB42344	N	 0.19311201	0.05497234	0.00060090	0.00155767
GGB42598	N	 0.13394998	0.06560055	0.04307990	0.07469048
GGB42601	N	 0.15257276	0.08176439	0.06417722	0.10512465
GGB42619	N	-0.09082507	0.07460985	0.22556971	0.30885699
GGB42644	N	-0.12714844	0.08098060	0.11869493	0.17606415
GGB42949	N	 0.12637745	0.08290250	0.12970875	0.18924719
GGB45293	N	-0.21325962	0.08216237	0.01047026	0.02184031
GGB45514	N	-0.11947729	0.08063433	0.14071083	0.20027419
GGB45536	N	 0.23903263	0.08202794	0.00416696	0.00942863
GGB45564	N	-0.66478045	0.06161254	0.00000000	0.00000000
GGB45624	N	-0.05857494	0.08452760	0.48949943	0.56824499
GGB45650	N	 0.17832710	0.07540445	0.01943526	0.03872548
GGB45977	N	-0.04515490	0.08359496	0.58996074	0.65907748
GGB46159	N	 0.85167408	0.04442724	0.00000000	0.00000000
GGB47117	N	 0.16955341	0.06125387	0.00642006	0.01393622
GGB47127	N	-0.19021615	0.08327029	0.02386759	0.04685769
GGB47144	N	 0.15829616	0.06393919	0.01451557	0.02981274
GGB47180	N	 0.01028898	0.05154187	0.84207090	0.86999868
GGB5207	N	 0.06059543	0.07806892	0.43898106	0.52092419
GGB5213	N	-0.40377157	0.07513145	0.00000032	0.00000143
GGB54153	N	 0.20344673	0.05959052	0.00084209	0.00212112
GGB62427	N	-0.04431290	0.08336760	0.59590723	0.66019597
GGB68806	N	 0.37124087	0.05377632	0.00000000	0.00000000
GGB70394	N	-0.29356442	0.08108171	0.00041083	0.00110800
GGB74395	N	 0.06410979	0.08091989	0.42957670	0.51204009
GGB74408	N	-0.08582032	0.08016203	0.28623746	0.36393048
GGB75036	N	-0.19910078	0.08306416	0.01787737	0.03588915
GGB75053	N	-0.31905228	0.07700236	0.00005956	0.00019161
GGB75055	N	-0.22465000	0.07253670	0.00237130	0.00565300
GGB75064	N	-0.38577904	0.07618332	0.00000130	0.00000511
GGB75074	N	 0.00120763	0.06506038	0.98521783	0.98892166
GGB75085	N	-0.39472111	0.07699441	0.00000098	0.00000398
GGB75109	N	-0.55696172	0.06374732	0.00000000	0.00000000
GGB75314	N	 0.09328700	0.08268050	0.26117092	0.34096164
GGB79680	N	-0.50310622	0.06938731	0.00000000	0.00000000
GGB79698	N	-0.15079776	0.07361192	0.04241508	0.07401848
GGB79760	N	-0.14431227	0.08316970	0.08495911	0.13188421
GGB79776	N	 0.20490698	0.07830727	0.00987471	0.02076023
GGB79850	N	 0.09741657	0.07417470	0.19126353	0.26597584
GGB79854	N	-0.12457308	0.08364994	0.13872417	0.19913631
GGB79857	N	-0.41338796	0.07723227	0.00000035	0.00000153
GGB79872	N	 0.45486817	0.05793079	0.00000000	0.00000000
GGB79926	N	-0.12082018	0.08160407	0.14101703	0.20027419
GGB79948	N	-0.03653369	0.08140635	0.65429766	0.70001820
GGB80032	N	 0.56405483	0.06523028	0.00000000	0.00000000
GGB80167	N	 0.29939377	0.08058013	0.00029427	0.00081843
GGB80168	N	-0.41210749	0.06892903	0.00000002	0.00000010
InvSimpson	Y	 0.09557139	0.08443064	0.25960382	0.34096164
Jeotgalicoccus	N	 0.10085031	0.07962186	0.20744112	0.28549886
Lachnospiraceae_unclassified	N	-0.27840053	0.07899122	0.00057729	0.00151115
Lactobacillus	N	-0.39387001	0.07664351	0.00000093	0.00000382
Leuconostoc	N	 0.13503693	0.05631292	0.01783351	0.03588915
Limosilactobacillus	N	-0.01236900	0.06267728	0.84385065	0.86999868
Longicatena	N	-0.36534408	0.07805159	0.00000678	0.00002383
Mammaliicoccus	N	-0.00960996	0.07645311	0.90015567	0.91038471
Methanomethylovorans	N	-0.00099866	0.07243602	0.98902014	0.98902014
Muribaculaceae_unclassified	N	 0.26683823	0.05571214	0.00000428	0.00001611
Muribaculum	N	 0.78738702	0.05192127	0.00000000	0.00000000
Neglectibacter	N	-0.02720668	0.08400752	0.74653715	0.78166831
Observed	Y	 0.17155786	0.08193745	0.03812195	0.06785707
Olsenella	N	 0.35775066	0.07031800	0.00000117	0.00000467
Oscillibacter	N	 0.09441492	0.08444000	0.26544008	0.34237924
Oscillospiraceae_unclassified	N	 0.15336091	0.08306897	0.06701976	0.10911145
Parabacteroides	N	 0.74043800	0.05500732	0.00000000	0.00000000
Paramuribaculum	N	 0.37033295	0.06863762	0.00000029	0.00000132
Parasutterella	N	-0.18711442	0.08290907	0.02559634	0.04916708
Pseudoflavonifractor	N	 0.04579522	0.06702032	0.49556894	0.57154330
Romboutsia	N	 0.06174814	0.07471638	0.40999482	0.49310188
Schaedlerella	N	 0.07907194	0.07662738	0.30393589	0.37887225
Shannon	Y	 0.13997833	0.08398381	0.09781989	0.15010294
Simpson	Y	 0.13954172	0.08398904	0.09888139	0.15034994
Sporofaciens	N	-0.03607949	0.08068143	0.65544776	0.70001820
Staphylococcus	N	 0.01663822	0.08435510	0.84393131	0.86999868
Streptococcus	N	 0.06833764	0.07931193	0.39039555	0.47165435
Turicibacter	N	 0.01698725	0.08415714	0.84033170	0.86999868
Uniqueness	Y	 0.17498621	0.08195081	0.03451725	0.06312402
Zoogloea	N	-0.38609786	0.06728432	0.00000006	0.00000030
