feature	is.community.feat	solution.age	std.error.age	pval.age	padj.age	solution.1D	solution.2D	solution.20	solution.40	std.error.1D	std.error.2D	std.error.20	std.error.40	pval.DR	padj.DR	herit	herit.se	herit.pval	herit.padj	PVE.Cohort	PVE.Quarter.Date	PVE.Cage	PVE.Batch	PVE.Mouse
Duncaniella	N	-0.06870803	0.03196912	0.03158282	0.04629263	 0.18752689	 0.46654673	 0.34266877	 0.37171636	0.07490547	0.07413092	0.07265954	0.07608424	0.00000000	0.00000000	0.13896512	0.03102912	0.00000004	0.00000046	0.00000007	0.01161241	0.01698353	0.05402839	0.04313838
Emergencia	N	-0.14924926	0.03109494	0.00000159	0.00000472	 0.20369395	 0.29255109	-0.31754087	-1.09477696	0.06600089	0.06502140	0.06381757	0.06653717	0.00000000	0.00000000	0.04061880	0.02263539	0.05232447	0.06586727	0.01405415	0.01958659	0.02326320	0.07104265	0.03889953
EnterococcusD	N	 0.26032955	0.02489874	0.00000000	0.00000000	 0.16938529	 0.24128000	 0.24087460	 0.40115351	0.07514172	0.07500268	0.07311720	0.07643948	0.00000412	0.00000531	0.15631192	0.03293493	0.00000002	0.00000030	0.00000007	0.00000007	0.03430921	0.04079834	0.03581771
ErysipelatoclostridiaceaeNOV	N	-0.00496583	0.03374870	0.88224683	0.89056991	 0.25600291	 0.22486669	 0.20487022	-0.12526159	0.06676288	0.06646555	0.06526525	0.06826603	0.00000000	0.00000000	0.18107958	0.03460054	0.00000000	0.00000001	0.01519435	0.02791976	0.00000030	0.01889484	0.07209015
Erysipelatoclostridium	N	-0.05403803	0.02976664	0.06949111	0.09412087	 0.17492661	 0.14426041	 0.43224597	 0.28472768	0.07758867	0.07764685	0.07552920	0.07881906	0.00000043	0.00000059	0.12800509	0.03231675	0.00001411	0.00004719	0.02993540	0.00881818	0.03466825	0.03534250	0.05230704
ErysipelotrichaceaeNOV	N	-0.16708188	0.02853953	0.00000000	0.00000002	 0.30398594	 0.11740999	 0.08743096	-0.83904814	0.07273223	0.07246902	0.07091871	0.07349333	0.00000000	0.00000000	0.02568655	0.01896653	0.10119637	0.12031124	0.01215279	0.01082682	0.04359296	0.03766909	0.03153264
Escherichia	N	 0.20356006	0.02862817	0.00000000	0.00000000	 0.09640261	 0.31043183	 0.16563764	 0.52064787	0.07600480	0.07551667	0.07366726	0.07706182	0.00000000	0.00000000	0.11656819	0.03071378	0.00000513	0.00002196	0.00000007	0.00512154	0.02959256	0.05544472	0.06763477
EubacteriumF	N	-0.12161805	0.03232737	0.00016880	0.00034733	 0.10199476	 0.27930955	 0.13210287	-0.07230513	0.07407525	0.07366946	0.07227633	0.07505176	0.00009378	0.00011403	0.05849800	0.02715918	0.01640036	0.02332757	0.01555080	0.01719073	0.02070047	0.03136491	0.08207985
EubacteriumG	N	-0.18482288	0.02850944	0.00000000	0.00000000	-0.19419857	-0.19041001	-0.36600904	-0.49433008	0.07990143	0.08055512	0.07788652	0.08100303	0.00000001	0.00000001	0.06454770	0.02769799	0.01069771	0.01635221	0.00220933	0.00889146	0.06294332	0.02993733	0.05805398
EubacteriumJ	N	-0.10999392	0.02938532	0.00018281	0.00036907	-0.21301188	-0.31416125	-0.49339828	-0.88563497	0.06854340	0.06795139	0.06681580	0.06949761	0.00000000	0.00000000	0.07457489	0.02898572	0.00427785	0.00683179	0.01141988	0.01300492	0.01385959	0.03401574	0.07696606
Evtepia	N	 0.00658134	0.03224383	0.83823097	0.86241071	-0.12112039	-0.11401568	-0.46185231	-0.85553180	0.07196880	0.07097043	0.06981873	0.07263634	0.00000000	0.00000000	0.05055208	0.02265871	0.01355502	0.02042799	0.02687096	0.01380065	0.02470428	0.05711969	0.00140635
Flavonifractor	N	 0.02657219	0.02842535	0.34990545	0.39829663	-0.15904036	-0.22866952	-0.40734585	-0.66534508	0.07349322	0.07324174	0.07174910	0.07454376	0.00000000	0.00000000	0.06668105	0.02931576	0.01656911	0.02332757	0.02912420	0.00773534	0.02258431	0.02883345	0.08458076
HungatellaA	N	-0.20746378	0.02403074	0.00000000	0.00000000	-0.04513161	 0.00994570	-0.08403538	-0.27635468	0.06870573	0.06807740	0.06707865	0.06994400	0.00058811	0.00067664	0.10929688	0.03072759	0.00002609	0.00007754	0.01525078	0.00000008	0.00777185	0.02806662	0.06516521
Ileibacterium	N	 0.30089719	0.04804516	0.00000000	0.00000000	 0.03230536	 0.56393132	 0.24104956	 0.52594959	0.06839385	0.06748330	0.06576508	0.06938602	0.00000000	0.00000000	0.14278162	0.02891591	0.00000000	0.00000000	0.02368723	0.09896542	0.01136945	0.08153666	0.04303921
Kineothrix	N	 0.09085102	0.03215186	0.00451036	0.00766045	 0.19863359	 0.51398082	 0.44987582	 0.88403677	0.07121797	0.07082683	0.06915150	0.07218415	0.00000000	0.00000000	0.09179089	0.03150668	0.00085578	0.00169571	0.00788915	0.02207725	0.02337573	0.04592873	0.09363707
Lachnospira	N	-0.18460830	0.02784081	0.00000000	0.00000000	 0.00678262	-0.04792342	-0.25995701	-0.75561310	0.06781344	0.06727155	0.06603911	0.06875676	0.00000000	0.00000000	0.07602973	0.02596035	0.00029764	0.00069235	0.06590121	0.00869104	0.01582056	0.03537572	0.06818211
LachnospiraceaeNOV	N	-0.15841024	0.02545566	0.00000000	0.00000000	-0.12984868	-0.05197899	-0.20177601	-0.27337613	0.07314683	0.07240897	0.07119282	0.07399883	0.00179614	0.00200195	0.03480087	0.02482486	0.12980381	0.15096748	0.03108581	0.00000008	0.01952308	0.03958274	0.08516516
Lactobacillus	N	 0.06808581	0.02340400	0.00362244	0.00625164	 0.24830101	 0.82339935	 0.53827785	 0.72030118	0.06874680	0.06847606	0.06683958	0.07019653	0.00000000	0.00000000	0.20381699	0.03601487	0.00000000	0.00000000	0.01146398	0.00000007	0.01048618	0.03591874	0.08709047
Lawsonibacter	N	-0.03982350	0.03412021	0.24319116	0.29569835	-0.11558685	-0.19643142	-0.41055403	-0.45214088	0.07241336	0.07113077	0.06995005	0.07295815	0.00000000	0.00000000	0.03086063	0.02382361	0.17718309	0.20168714	0.01774968	0.01581561	0.01270028	0.06802850	0.06880055
Ligilactobacillus	N	 0.37221470	0.04442174	0.00000000	0.00000000	 0.33708539	 0.49637837	 0.44667448	 0.78492973	0.06600922	0.06568761	0.06114114	0.06554831	0.00000000	0.00000000	0.00462295	0.00646640	0.41280630	0.43732945	0.00000008	0.25507739	0.11117063	0.17021496	0.00000005
Limosilactobacillus	N	-0.02006736	0.02599510	0.44014665	0.48419148	 0.22318049	 0.68196506	 0.57750568	 0.79426937	0.07820080	0.07798323	0.07557162	0.07922978	0.00000000	0.00000000	0.11825421	0.03075355	0.00000190	0.00000969	0.01882203	0.00000007	0.03963528	0.05741649	0.08877039
Mailhella	N	 0.02998433	0.02999501	0.31731051	0.36904592	 0.20070725	 0.36352779	 0.10309485	-0.16482821	0.07909156	0.07904288	0.07648652	0.08006332	0.00000001	0.00000001	0.10847110	0.02591135	0.00000004	0.00000046	0.11035340	0.00777121	0.04846279	0.05192468	0.02391089
MarseilleP3106	N	-0.13186223	0.03063829	0.00001681	0.00003748	 0.14543484	 0.09525178	 0.26981227	 0.07477553	0.07200777	0.07096953	0.07007515	0.07270190	0.00296069	0.00326591	0.03797035	0.02162774	0.04077974	0.05321259	0.01307031	0.00929330	0.01678305	0.04164322	0.02432051
MuribaculaceaeNOV	N	 0.29933525	0.05085800	0.00000000	0.00000002	 0.13410828	 0.01121439	 0.11510011	 0.35020689	0.07068631	0.07139152	0.06718548	0.07113821	0.00001324	0.00001647	0.09174904	0.03080929	0.00063394	0.00135663	0.04360892	0.16156014	0.06121574	0.05281393	0.15867997
Muribaculum	N	-0.00488027	0.04119229	0.90544528	0.90544528	 0.25732909	 0.45226218	 0.29999681	 0.49452135	0.06838020	0.06797895	0.06632208	0.06955082	0.00000000	0.00000000	0.13814597	0.03347535	0.00000121	0.00000651	0.00000008	0.10989178	0.00900864	0.04173449	0.10442875
Oscillibacter	N	-0.17762956	0.02928030	0.00000000	0.00000001	-0.08792689	-0.27184119	-0.30255779	-0.30124325	0.06749513	0.06593007	0.06505307	0.06798903	0.00000028	0.00000040	0.03963295	0.02345341	0.05917438	0.07362394	0.00649777	0.00430551	0.00208719	0.06529002	0.05996645
OscillospiraceaeNOV	N	-0.19074192	0.03204148	0.00000000	0.00000001	-0.01941330	-0.28870814	-0.31154563	-0.45105265	0.06729097	0.06610761	0.06493484	0.06813425	0.00000000	0.00000000	0.08779129	0.02888310	0.00024208	0.00057562	0.01872944	0.01434650	0.00000011	0.06262619	0.09836576
PCoA1	Y	 0.12582184	0.02843518	0.00000975	0.00002371	 0.31865935	 0.60521775	 0.60912304	 0.94074985	0.06244786	0.06145497	0.06060064	0.06344785	0.00000000	0.00000000	0.12013757	0.03038606	0.00000122	0.00000651	0.00578002	0.01169486	0.00000007	0.04199989	0.05349924
PCoA2	Y	 0.14091757	0.03154930	0.00000795	0.00002025	 0.29557043	 0.39037026	 0.49187618	 1.13482069	0.06526497	0.06424579	0.06320825	0.06604425	0.00000000	0.00000000	0.09234784	0.02552261	0.00000660	0.00002522	0.00620706	0.02023372	0.01641243	0.06177763	0.00000017
PCoA3	Y	-0.24648794	0.04189295	0.00000000	0.00000002	 0.08139376	-0.04335722	-0.02710173	-0.13486373	0.07158668	0.07226404	0.06929515	0.07255821	0.09290586	0.09558583	0.11019036	0.03125011	0.00006864	0.00018832	0.00000007	0.14849485	0.04625038	0.03334197	0.10230307
Paramuribaculum	N	 0.03223214	0.02881549	0.26336157	0.31662571	 0.38703195	 0.58174759	 0.72463900	 0.86988868	0.07046877	0.06977175	0.06850832	0.07157183	0.00000000	0.00000000	0.12313425	0.02990881	0.00000044	0.00000294	0.00000008	0.00848271	0.01644294	0.04586415	0.04633027
Parvibacter	N	 0.02613941	0.03259719	0.42287916	0.47133406	 0.31158117	 0.42336226	 0.32075063	-0.22601117	0.06971901	0.06927239	0.06760471	0.07101888	0.00000000	0.00000000	0.18057096	0.03482252	0.00000000	0.00000002	0.06360010	0.01806754	0.01087559	0.04346774	0.06097180
Prevotella	N	-0.07903897	0.03417419	0.02069852	0.03119354	 0.20903720	 0.47112006	 0.21448225	 0.08089930	0.08122319	0.08107614	0.07863825	0.08235940	0.00000015	0.00000022	0.14248431	0.03167049	0.00000004	0.00000046	0.00645809	0.01748761	0.04234182	0.05500009	0.03673854
Romboutsia	N	 0.21307528	0.03208616	0.00000000	0.00000000	-0.11989391	-0.10705301	 0.09136962	 0.97279892	0.08574920	0.08616389	0.08228520	0.08636305	0.00000000	0.00000000	0.06229948	0.01584260	0.00044175	0.00096464	0.01088346	0.01421050	0.10575713	0.07181359	0.00000018
Roseburia	N	 0.05430666	0.03798327	0.15290782	0.19477544	-0.40418939	-0.41831332	-0.03945047	 0.25485322	0.08609376	0.08595575	0.08287949	0.08660948	0.00000000	0.00000000	0.00904524	0.01852985	0.60413220	0.63374652	0.03408056	0.02779557	0.07187264	0.07154023	0.05872691
RuminiclostridiumE	N	-0.08684952	0.03305828	0.00858589	0.01371180	-0.04242531	-0.65449739	-0.25452361	-0.51771657	0.08482402	0.08484468	0.08135753	0.08537843	0.00000000	0.00000000	0.04287013	0.02214910	0.02159497	0.02924889	0.04086626	0.01395869	0.07755212	0.07710768	0.06592067
Schaedlerella	N	-0.13302853	0.03103645	0.00001819	0.00003972	-0.18416183	-0.47398143	-0.56819410	-0.94646083	0.07062756	0.06994763	0.06842380	0.07148036	0.00000000	0.00000000	0.08257826	0.02878776	0.00129969	0.00248333	0.03482426	0.01432353	0.02233682	0.05677973	0.06434262
Shannon	Y	 0.02126460	0.02774770	0.44346510	0.48419148	 0.22960182	-0.09289182	 0.29718976	 0.39915541	0.07263501	0.07220616	0.07115381	0.07354070	0.00000000	0.00000000	0.02638001	0.02294574	0.20563605	0.22919851	0.00000009	0.00753018	0.02089146	0.02144271	0.07658661
Simpson	Y	 0.01207630	0.02849895	0.67171722	0.71162121	 0.29529149	 0.14263358	 0.36213929	 0.49422397	0.06906233	0.06823053	0.06761363	0.06971876	0.00000000	0.00000000	0.00748715	0.02026081	0.69899671	0.71916008	0.00046604	0.01051658	0.01156569	0.02010770	0.06472624
Staphylococcus	N	 0.07255087	0.03542036	0.04054335	0.05862350	-0.15508704	-0.14668124	 0.12500380	 0.43132170	0.09587482	0.09550724	0.09094620	0.09596574	0.00000000	0.00000001	0.01110906	0.01087131	0.24786265	0.27341550	0.00000007	0.01092735	0.11697883	0.13213513	0.00000027
TF0111	N	-0.17594990	0.02547283	0.00000000	0.00000000	-0.21799809	-0.25705817	-0.44728252	-1.03557905	0.07175953	0.07136244	0.06963959	0.07282847	0.00000000	0.00000000	0.13348518	0.02859856	0.00000000	0.00000007	0.02054894	0.00172409	0.03450856	0.05175700	0.01769037
Turicibacter	N	 0.43801243	0.02997184	0.00000000	0.00000000	-0.29741911	-0.20692223	-0.34920619	 0.31929363	0.08129398	0.08231290	0.07818765	0.08203124	0.00000000	0.00000000	0.07204674	0.02734070	0.00306554	0.00537727	0.02343777	0.01449482	0.10167132	0.04997334	0.06581357
UBA11940	N	-0.07786034	0.03497659	0.02603038	0.03868403	-0.24392715	-0.49485893	-0.37600660	-0.42293335	0.07911665	0.08013297	0.07652100	0.08014192	0.00000000	0.00000000	0.09883052	0.03415562	0.00093840	0.00182561	0.02441632	0.03009267	0.05349061	0.03285240	0.16413553
UBA11957	N	-0.19060955	0.03005015	0.00000000	0.00000000	-0.42485463	-0.76215170	-0.58451993	-1.07888888	0.07201108	0.07284833	0.06964446	0.07302013	0.00000000	0.00000000	0.14762166	0.03405220	0.00000005	0.00000046	0.00559361	0.02470559	0.05879352	0.03688172	0.10768836
UBA1394	N	-0.12032101	0.02941042	0.00004287	0.00009174	 0.01817849	-0.21325779	 0.23250672	 0.36418108	0.07311563	0.07367009	0.07148505	0.07450443	0.00000000	0.00000000	0.13056674	0.03599794	0.00003412	0.00009868	0.00251487	0.01570970	0.02210082	0.01778055	0.14099649
UBA1405	N	 0.13246922	0.03766317	0.00042704	0.00080164	-0.19790376	-0.40065348	-0.42431493	-0.48468024	0.08083707	0.08042093	0.07703042	0.08121346	0.00000000	0.00000000	0.05667219	0.01980921	0.00074447	0.00150298	0.17435605	0.02674838	0.06525003	0.10030559	0.01454909
UBA2882	N	-0.05314088	0.03254889	0.10251338	0.13541890	-0.08527352	-0.50353788	 0.01327636	 0.32839394	0.07297877	0.07353847	0.07111880	0.07433200	0.00000000	0.00000000	0.15375757	0.03766686	0.00000239	0.00001165	0.00599127	0.02653292	0.02223649	0.02268858	0.14739928
UBA3282	N	-0.15901048	0.02853342	0.00000003	0.00000009	-0.03774600	-0.11814622	-0.10629614	-0.29275592	0.07151794	0.07118458	0.06995294	0.07258452	0.00129321	0.00145656	0.05886146	0.02831595	0.01506847	0.02178820	0.00000008	0.01075035	0.01210582	0.02210856	0.12714999
UBA3700	N	-0.15032277	0.02674740	0.00000002	0.00000007	 0.12204921	-0.06100084	 0.19746004	 0.37445697	0.07532067	0.07584936	0.07321845	0.07653563	0.00000070	0.00000096	0.09707776	0.03689637	0.00190360	0.00351182	0.00000006	0.00658253	0.02140291	0.02612834	0.23553990
