feature	is.community.feat	solution.age	std.error.age	pval.age	padj.age
Shannon	Y	 0.07765380	0.01409013	0.00000004	0.00000045
Simpson	Y	 0.06267073	0.01494645	0.00002811	0.00012138
Slackia	N	 0.12784786	0.01570001	0.00000000	0.00000000
Streptococcus	N	 0.00622921	0.01599835	0.69702590	0.75247114
Tractidigestivibacter	N	 0.07045409	0.01504097	0.00000290	0.00001622
Turicibacter	N	-0.03967755	0.01735698	0.02231035	0.04294645
Turicimonas	N	-0.04345848	0.01655193	0.00868234	0.02229249
Uniqueness	Y	 0.09248630	0.01662199	0.00000003	0.00000038
Veillonella	N	 0.04813452	0.01692860	0.00448662	0.01217797
Victivallis	N	 0.08324959	0.01689662	0.00000087	0.00000516
