feature	is.community.feat	solution.age	std.error.age	pval.age	padj.age	solution.1D	solution.2D	solution.20	solution.40	std.error.1D	std.error.2D	std.error.20	std.error.40	pval.DR	padj.DR	herit	herit.se	herit.pval	herit.padj	PVE.Cohort	PVE.Quarter.Date	PVE.Cage	PVE.Batch	PVE.Mouse
Clostridiaceae_unclassified	N	-0.04590065	0.02797560	0.10078989	0.13251056	-0.04427364	-0.08425724	-0.11629244	 0.16567131	0.08055318	0.08019934	0.07825304	0.08148268	0.01085372	0.01260589	0.05367330	0.02521198	0.01556082	0.03358544	0.00914522	0.00196704	0.04103706	0.04780446	0.06440557
Clostridium	N	 0.24347685	0.02414185	0.00000000	0.00000000	-0.37505328	-0.50939989	-0.33078861	 0.48944725	0.07951447	0.08023958	0.07712553	0.08052720	0.00000000	0.00000000	0.07159481	0.02510469	0.00059379	0.00274626	0.04620159	0.00000027	0.07855914	0.03875495	0.03772677
Desulfovibrio	N	 0.09997952	0.03028392	0.00096164	0.00200859	-0.08203238	-0.18600680	-0.12941025	-0.02685066	0.07583086	0.07558497	0.07399429	0.07678530	0.09746275	0.10430930	0.03708757	0.02652226	0.13150834	0.18920670	0.01349147	0.01117288	0.02379466	0.02942481	0.11768265
Dorea	N	 0.20078638	0.03663467	0.00000004	0.00000015	 0.05630264	-0.12007564	-0.10456405	-0.21922716	0.07840639	0.07816731	0.07612351	0.07920658	0.00844837	0.01003728	0.04029787	0.02361972	0.05671280	0.08902191	0.00922534	0.03339865	0.04380439	0.04815691	0.06336953
Dubosiella	N	 0.31290651	0.03694135	0.00000000	0.00000000	-0.21010691	-0.04834158	 0.09693741	 0.72500633	0.07911692	0.07961921	0.07571945	0.07957373	0.00000000	0.00000000	0.03851774	0.02075902	0.02789774	0.05235881	0.03995256	0.04414526	0.09805856	0.06788913	0.05831534
Duncaniella	N	 0.11011059	0.03440974	0.00137428	0.00275921	 0.27665524	 0.42007781	 0.31946212	 0.25261441	0.07470877	0.07391665	0.07250779	0.07548733	0.00000009	0.00000018	0.05028926	0.02550816	0.03422145	0.06241799	0.00000008	0.02449584	0.02514284	0.05454386	0.05908725
Enterococcus	N	 0.20722461	0.03045052	0.00000000	0.00000000	 0.02379436	 0.10704214	 0.05645504	 0.26312952	0.07685490	0.07627975	0.07482033	0.07782093	0.00901130	0.01058670	0.07842213	0.01865022	0.00055823	0.00262875	0.00000008	0.00900350	0.03560965	0.04647617	0.00000017
Enterorhabdus	N	 0.02941076	0.03651882	0.42061366	0.48019340	 0.18266518	 0.16194665	 0.15883305	-0.26352688	0.07017773	0.06874729	0.06733150	0.07068870	0.00000000	0.00000000	0.05435480	0.02285100	0.00576256	0.01554691	0.06305059	0.01999688	0.01036381	0.09833960	0.04699109
Erysipelatoclostridium	N	-0.06459287	0.03258162	0.04743194	0.06867140	 0.19364120	 0.09692544	 0.52889179	 0.44668829	0.07843105	0.07814569	0.07622271	0.07959721	0.00000000	0.00000000	0.12998868	0.03011024	0.00000084	0.00002362	0.00209149	0.01494366	0.03659033	0.04736126	0.01798549
Escherichia	N	 0.21320866	0.02783858	0.00000000	0.00000000	 0.01627733	 0.12923971	-0.00070424	 0.33104787	0.07501893	0.07436578	0.07295475	0.07600665	0.00003402	0.00005473	0.08322131	0.02750489	0.00047631	0.00232764	0.00000008	0.00337862	0.02713291	0.04739654	0.04346593
Eubacteriales_unclassified	N	-0.06620350	0.03173175	0.03694381	0.05436618	 0.03336144	 0.02727542	 0.26629942	 0.31955785	0.08016581	0.08009767	0.07755321	0.08127623	0.00004680	0.00007483	0.12350598	0.03488410	0.00006771	0.00056567	0.01111503	0.01135047	0.03178840	0.04990140	0.12232506
GGB14001	N	-0.24219006	0.03586621	0.00000000	0.00000000	 0.26931276	 0.33056315	 0.61212373	 0.80182854	0.06712714	0.06635261	0.06508497	0.06818228	0.00000000	0.00000000	0.11015310	0.03199195	0.00004583	0.00040932	0.01471575	0.03508766	0.00000010	0.04345730	0.12268825
GGB1559	N	-0.26012593	0.03660024	0.00000000	0.00000000	 0.22725683	 0.31395520	 0.22296367	 0.24434212	0.07731643	0.07667395	0.07426941	0.07805910	0.00038005	0.00054991	0.08194575	0.02793181	0.00038896	0.00200907	0.04195421	0.02503900	0.03064219	0.08506377	0.10834853
GGB20145	N	-0.14554459	0.02745348	0.00000011	0.00000039	 0.20614978	 0.24344816	 0.10886913	 0.12410047	0.07591739	0.07614806	0.07420878	0.07705366	0.01175452	0.01355421	0.05626636	0.02912331	0.03097127	0.05689049	0.02039966	0.00641005	0.03038833	0.02259061	0.11782155
GGB20146	N	-0.21525621	0.02618908	0.00000000	0.00000000	-0.04730607	-0.31894783	-0.12231112	-0.15494613	0.07313451	0.07410905	0.07152527	0.07429212	0.00044776	0.00064072	0.01667765	0.03023908	0.57329689	0.64840128	0.00738730	0.00923202	0.02990168	0.01262178	0.24556284
GGB20149	N	-0.04452654	0.02559371	0.08188930	0.11221867	 0.02859931	-0.03504832	-0.01787373	 0.27296264	0.07628078	0.07584328	0.07417527	0.07719714	0.00090662	0.00122940	0.03050734	0.02702570	0.24616094	0.31882524	0.03572417	0.00000007	0.02384106	0.03879418	0.13298494
GGB2126	N	 0.02764680	0.03824192	0.46931005	0.52848393	 0.39410390	 0.32875906	 0.24441753	 0.60282023	0.08174486	0.08366329	0.07824761	0.08230620	0.00000000	0.00000000	0.03749714	0.02053933	0.08073121	0.12227709	0.17330506	0.04334608	0.13146311	0.03660601	0.03348031
GGB24102	N	-0.13792042	0.03834935	0.00032164	0.00071813	 0.00690534	 0.06935364	 0.08403672	 0.45908689	0.07671771	0.07741086	0.07467010	0.07790374	0.00000002	0.00000005	0.09353060	0.03241590	0.00065051	0.00290954	0.00000006	0.06287600	0.03295998	0.02461522	0.16068191
GGB25041	N	 0.05783838	0.03612496	0.10939082	0.14237298	-0.19374223	-0.44657325	-0.04344949	 0.20077186	0.09358736	0.09496847	0.08968601	0.09413887	0.00000002	0.00000005	0.00000021	0.00000001	1.00000000	1.00000000	0.00000007	0.02570918	0.13702231	0.05551512	0.07463850
GGB25052	N	-0.05438379	0.02885771	0.05947372	0.08371573	 0.20860109	 0.34237382	 0.54239933	 0.69721657	0.08590577	0.08666154	0.08276096	0.08673224	0.00000000	0.00000000	0.06720363	0.02771484	0.00696537	0.01786169	0.02626817	0.00537702	0.08674726	0.05160936	0.07935263
GGB27860	N	-0.16361820	0.03593828	0.00000529	0.00001442	 0.10409809	 0.05380015	 0.09992181	 0.30420733	0.07241310	0.07300140	0.07025696	0.07384973	0.00138965	0.00181778	0.21844276	0.04108911	0.00000000	0.00000013	0.00849179	0.03902268	0.01456369	0.02646710	0.16516666
GGB27861	N	 0.40857907	0.05853340	0.00000000	0.00000000	 0.15027860	-0.00949810	 0.09841648	 0.19036328	0.05590402	0.05537781	0.05023026	0.05490755	0.00058597	0.00082482	0.00000003	0.00000000	1.00000000	1.00000000	0.09020612	0.35364742	0.08869640	0.21919442	0.00000003
GGB27875	N	-0.32927538	0.04248848	0.00000000	0.00000000	-0.09282920	-0.09102240	-0.12349947	-0.01523515	0.06462740	0.06468101	0.06248375	0.06544978	0.21079094	0.21750937	0.08076066	0.02804937	0.00053612	0.00257141	0.13826158	0.07643527	0.02315953	0.03787279	0.13356077
GGB27876	N	-0.05874178	0.02807760	0.03640569	0.05388042	 0.01418494	 0.06526643	 0.16984955	 0.26094265	0.06919270	0.07053039	0.06784221	0.07067340	0.00153670	0.00200003	0.07638923	0.03507385	0.01073610	0.02551055	0.00000006	0.02052727	0.00885060	0.00352226	0.29075445
GGB27879	N	-0.30236943	0.03507845	0.00000000	0.00000000	 0.27676767	 0.30730519	-0.01377697	-0.16354146	0.07806354	0.07862822	0.07513551	0.07882021	0.00000001	0.00000002	0.05824172	0.03109691	0.03907045	0.06859299	0.00941945	0.03514984	0.05582299	0.04839863	0.18976179
GGB27903	N	-0.04960672	0.02292572	0.03048024	0.04605817	-0.03760170	 0.04100659	 0.12770477	 0.30780930	0.07310248	0.07426223	0.07159396	0.07476049	0.00018590	0.00027672	0.15600033	0.03850673	0.00000075	0.00002362	0.00000006	0.00202512	0.01912726	0.01004710	0.19383758
GGB27905	N	 0.11402615	0.03615929	0.00161199	0.00318707	 0.06519907	 0.28150210	 0.21957495	 0.35139040	0.07618705	0.07560788	0.07385446	0.07720175	0.00000549	0.00000947	0.09776834	0.03021787	0.00020304	0.00134841	0.00286765	0.02902046	0.02212106	0.05371662	0.08358035
GGB27918	N	-0.15867483	0.03230884	0.00000091	0.00000281	 0.33029504	 0.25187259	 0.59310841	 0.76868327	0.07199756	0.07124696	0.06985460	0.07300530	0.00000000	0.00000000	0.09028546	0.03094887	0.00084592	0.00353375	0.00000007	0.01819284	0.00921931	0.04773039	0.12142807
GGB27929	N	 0.25822758	0.04948302	0.00000018	0.00000061	 0.18532580	 0.02691784	 0.05861265	 0.27022894	0.06925616	0.06958125	0.06696584	0.06995065	0.00062781	0.00087893	0.04031101	0.02341928	0.05430728	0.08629193	0.03426717	0.15840859	0.04567197	0.03869788	0.11149575
GGB28310	N	 0.18852404	0.04681312	0.00005669	0.00013853	 0.05214469	 0.05479247	-0.12815071	 0.21819997	0.07722284	0.07759206	0.07323534	0.07768505	0.00099228	0.00133855	0.10442408	0.03044310	0.00002988	0.00029768	0.00000003	0.15989154	0.06127369	0.07211105	0.14291566
GGB28330	N	-0.07440256	0.04427419	0.09286472	0.12462156	-0.23046933	-0.44554799	-0.33010689	-0.40873731	0.07948231	0.07991896	0.07712084	0.08044476	0.00000001	0.00000001	0.06876160	0.02739571	0.00441359	0.01229161	0.02051838	0.07439294	0.04908027	0.03647615	0.09136682
GGB28356	N	-0.22188632	0.02305241	0.00000000	0.00000000	 0.24662832	 0.22574804	 0.28815213	 0.57266162	0.06690045	0.06764345	0.06558057	0.06830315	0.00000000	0.00000000	0.07714996	0.03778903	0.02533063	0.04895995	0.00578721	0.00518024	0.00000005	0.00586286	0.28298205
GGB28381	N	 0.02314316	0.04275451	0.58996431	0.63666982	 0.13974895	 0.19776952	 0.21059319	 0.66626765	0.08284641	0.08363098	0.07934468	0.08354756	0.00000000	0.00000000	0.10006258	0.03124358	0.00066279	0.00290954	0.03624299	0.06055240	0.07824440	0.05505532	0.09664179
GGB28382	N	-0.14741503	0.02422109	0.00000000	0.00000001	 0.09857469	-0.12460652	 0.12370192	 0.28463827	0.07356482	0.07468110	0.07166826	0.07486582	0.00003346	0.00005416	0.07973909	0.03735274	0.01272257	0.02865343	0.00000006	0.00431938	0.02103082	0.01591374	0.29449695
GGB28392	N	-0.15136654	0.02764055	0.00000004	0.00000016	-0.08803312	-0.30905986	 0.21276528	 0.35408208	0.07853988	0.07926659	0.07644735	0.07965508	0.00000000	0.00000000	0.06102996	0.03188241	0.04019276	0.06945322	0.00000007	0.00775081	0.04707156	0.02749771	0.16073681
GGB28394	N	 0.11075204	0.02637217	0.00002669	0.00006778	-0.04809247	 0.14134834	 0.36642941	 0.81291708	0.09342055	0.09506151	0.08808831	0.09353885	0.00000000	0.00000000	0.04336403	0.02073996	0.01412229	0.03117593	0.02888568	0.00000022	0.19717490	0.07406778	0.04891359
GGB28396	N	 0.00826062	0.02949620	0.77954602	0.80120007	-0.33570557	-0.51692681	 0.18360663	 0.28232179	0.08474652	0.08742851	0.08135545	0.08553516	0.00000000	0.00000000	0.03297097	0.02692002	0.22092103	0.29193136	0.06652220	0.01351795	0.13752922	0.02972693	0.15185876
GGB28404	N	-0.10139429	0.02990548	0.00069596	0.00147749	-0.36528077	-1.18219385	-0.31631570	-0.54147782	0.07317525	0.07450907	0.07062345	0.07412659	0.00000000	0.00000000	0.11629194	0.03650945	0.00027086	0.00163144	0.01721484	0.02292385	0.06144424	0.03052568	0.18996583
GGB28411	N	 0.07167433	0.02933405	0.01455128	0.02415886	-0.08897768	-0.31396844	-0.00683709	 0.07152130	0.08731117	0.08749510	0.08368270	0.08804086	0.00080611	0.00110666	0.07903567	0.03091168	0.00314033	0.00913870	0.00000006	0.00308941	0.06759591	0.07100838	0.14140777
GGB28418	N	-0.13109267	0.02822625	0.00000343	0.00000965	-0.00966335	-0.32762138	-0.11496359	-0.06011410	0.07962311	0.08173202	0.07692768	0.08062550	0.00106846	0.00143383	0.03195765	0.03277843	0.29687616	0.36966792	0.01764290	0.01216662	0.07081534	0.02249885	0.29150630
GGB28420	N	-0.03986415	0.03079333	0.19532356	0.23975735	-0.02290087	 0.13338117	 0.15218680	 0.42367590	0.08326707	0.08551437	0.08068166	0.08450977	0.00000399	0.00000703	0.10991552	0.03465825	0.00024043	0.00148265	0.00000006	0.01743482	0.08638903	0.02216626	0.15716963
GGB28422	N	-0.04109395	0.02552318	0.10760826	0.14076029	 0.03156485	 0.00672721	-0.16115964	-0.27539758	0.08185276	0.08306454	0.07958788	0.08300258	0.00204316	0.00263273	0.04241172	0.03042758	0.13222553	0.18920670	0.00000007	0.00239170	0.06069677	0.02558631	0.18757022
GGB28430	N	-0.18712280	0.02641746	0.00000000	0.00000000	 0.11214448	-0.03821049	 0.06195445	 0.09193285	0.07279962	0.07466582	0.07122174	0.07425818	0.31018689	0.31505257	0.06779884	0.03448311	0.02236141	0.04455081	0.00005944	0.01277985	0.03266306	0.00676193	0.27652946
GGB28431	N	-0.19186356	0.02131741	0.00000000	0.00000000	 0.01833420	-0.13842727	-0.08076146	 0.02296348	0.07080405	0.07191353	0.06907572	0.07218048	0.17864789	0.18808863	0.08343608	0.03992297	0.02141399	0.04299398	0.00079820	0.00076722	0.01386929	0.01293833	0.31123395
GGB28433	N	 0.16965532	0.03339557	0.00000038	0.00000122	 0.21368183	 0.26224760	 0.13879558	 0.34763818	0.09251949	0.09411611	0.08788465	0.09276626	0.00227437	0.00288756	0.00000005	0.00000000	0.99705683	1.00000000	0.07777174	0.01661075	0.16217187	0.06114698	0.06112197
GGB28436	N	-0.10465775	0.04119869	0.01107652	0.01892699	 0.01140962	 0.21639440	 0.47824242	 0.83757736	0.07801327	0.07882910	0.07583447	0.07916557	0.00000000	0.00000000	0.12065207	0.02977406	0.00000120	0.00002592	0.02429401	0.05968568	0.05445820	0.02922421	0.05768110
GGB28437	N	-0.07369403	0.02986891	0.01347237	0.02265808	-0.10882280	 0.10572334	 0.15145074	 0.15885653	0.08319494	0.08342851	0.08084852	0.08418644	0.01177489	0.01355421	0.05256945	0.02731773	0.04152931	0.07076376	0.00046283	0.00740237	0.05607433	0.04074665	0.07882111
GGB28439	N	-0.08467529	0.03651853	0.02040394	0.03262111	-0.16901602	-0.12775834	-0.11927633	 0.10888950	0.07764082	0.07761623	0.07530325	0.07858032	0.00390488	0.00486233	0.04907153	0.03159033	0.10224704	0.15307504	0.00310582	0.03683751	0.02513807	0.03922996	0.19115011
GGB28456	N	-0.18964649	0.02188142	0.00000000	0.00000000	-0.09705932	-0.37162174	-0.00413088	 0.13431390	0.07114634	0.07176590	0.06950901	0.07260072	0.00000001	0.00000002	0.13096703	0.03620239	0.00001617	0.00019033	0.01582882	0.00000007	0.01945445	0.01769850	0.16997576
GGB28632	N	-0.03947665	0.02837111	0.16399464	0.20519136	 0.03412456	 0.08418442	 0.27209344	 0.07668155	0.07470006	0.07424489	0.07277043	0.07587579	0.00425096	0.00525212	0.09917161	0.03168149	0.00029863	0.00172408	0.00000007	0.00569876	0.01438145	0.03466365	0.11225341
GGB28645	N	 0.01689481	0.02997553	0.57263108	0.62578671	-0.15977710	-0.32952002	 0.07054810	 0.42375495	0.09428721	0.09680411	0.08935182	0.09454946	0.00000000	0.00000000	0.00000032	0.02079657	0.99896184	1.00000000	0.04560606	0.00830922	0.19292938	0.05136806	0.12289534
GGB28763	N	-0.25472276	0.02255031	0.00000000	0.00000000	-0.16655625	-0.13652692	-0.01015498	 0.03758816	0.07510722	0.07584606	0.07368309	0.07635138	0.05192864	0.05797206	0.03373680	0.02358742	0.11917945	0.17439252	0.02972077	0.00000008	0.05213190	0.01571218	0.06143009
GGB28766	N	 0.10982797	0.02784748	0.00007784	0.00018842	 0.18903579	 0.19843715	 0.06591872	-0.09011634	0.07015461	0.06911856	0.06815433	0.07105727	0.00014724	0.00022171	0.06869722	0.02674652	0.00343819	0.00989436	0.02212420	0.00351231	0.00589270	0.04165492	0.07431098
GGB28769	N	-0.07602855	0.02677148	0.00451285	0.00834877	-0.24555176	-0.42494868	-0.47836107	-0.88690563	0.06408811	0.06321082	0.06240683	0.06492667	0.00000000	0.00000000	0.06281397	0.02599907	0.00632121	0.01670606	0.05236156	0.00670120	0.00511300	0.03246080	0.06328723
GGB28776	N	-0.07196798	0.03220891	0.02546476	0.03973116	-0.17321030	-0.35815716	-0.38094428	-0.55953776	0.06774387	0.06665067	0.06582923	0.06820741	0.00000000	0.00000000	0.00000006	0.01973779	0.99204635	1.00000000	0.01829230	0.01886945	0.00823648	0.03856593	0.09397829
GGB28778	N	-0.13702306	0.02568864	0.00000010	0.00000033	 0.00321306	-0.06743763	-0.12985505	-0.48922797	0.07550356	0.07516694	0.07370987	0.07651969	0.00000000	0.00000000	0.05735588	0.02543331	0.01186694	0.02734208	0.01200649	0.00092494	0.03425448	0.03383766	0.03532733
GGB28782	N	-0.07636801	0.02335649	0.00107136	0.00220223	-0.13469370	-0.31361356	-0.14573960	-0.40002015	0.07279166	0.07364324	0.07186973	0.07414737	0.00000025	0.00000048	0.02423749	0.02375680	0.28336172	0.36311726	0.00206377	0.00339809	0.03854959	0.00241565	0.07482645
GGB28784	N	-0.08820270	0.02674398	0.00097208	0.00201415	-0.10658505	-0.20430957	-0.05671694	-0.08020639	0.07049114	0.07004352	0.06902366	0.07137615	0.06459020	0.07088501	0.01264941	0.02522534	0.61315673	0.68747876	0.01488682	0.00594978	0.00938695	0.01755361	0.14006016
GGB28790	N	-0.04022142	0.03621733	0.26663054	0.31677665	-0.14919011	-0.35677774	-0.21631819	-0.27589823	0.07720839	0.07641675	0.07492549	0.07783754	0.00003212	0.00005232	0.01227417	0.02213420	0.57276387	0.64840128	0.00550126	0.02742214	0.02728412	0.05240837	0.08497687
GGB28791	N	-0.01295992	0.02570531	0.61427253	0.66015181	-0.25938264	-0.64905169	-0.61989365	-1.05774649	0.07380929	0.07484749	0.07235671	0.07498252	0.00000000	0.00000000	0.03241269	0.02541448	0.17219745	0.23619164	0.00439316	0.00869582	0.05731893	0.01417018	0.09712832
GGB28792	N	-0.07843405	0.02365729	0.00091605	0.00192891	-0.24427548	-0.00798712	-0.33310729	-0.46277444	0.07573113	0.07606530	0.07416590	0.07698892	0.00000000	0.00000000	0.06458683	0.02853107	0.01603289	0.03403704	0.01505619	0.00000008	0.03929614	0.02088958	0.06808300
GGB28793	N	-0.00766342	0.02430487	0.75253881	0.77652411	-0.07714732	-0.44221091	-0.17171940	-0.19056177	0.08529876	0.08710867	0.08268435	0.08642504	0.00001473	0.00002461	0.04716729	0.02525166	0.04184151	0.07082975	0.03991306	0.00000007	0.10570961	0.02941861	0.08375769
GGB28798	N	-0.11935334	0.02395220	0.00000063	0.00000202	-0.14617271	-0.13817745	-0.04889371	-0.02339996	0.07136561	0.07126301	0.06998556	0.07270766	0.15666101	0.16561307	0.09440872	0.03286439	0.00232896	0.00726749	0.00305952	0.00112559	0.01373310	0.01653291	0.09934900
GGB28802	N	-0.30542192	0.02836356	0.00000000	0.00000000	-0.24010137	-0.72330378	-0.11175514	-0.48901535	0.07168205	0.07316550	0.06995492	0.07281831	0.00000000	0.00000000	0.03318747	0.03155214	0.28600741	0.36311726	0.00000007	0.02301085	0.05432960	0.01453732	0.21195264
GGB28804	N	 0.36817629	0.07564521	0.00000128	0.00000382	 0.05327002	 0.33269620	 0.04260766	 0.10929463	0.07589764	0.07544084	0.07062549	0.07543352	0.00013831	0.00021073	0.00000011	0.00000002	1.00000000	1.00000000	0.20876288	0.26038125	0.07285004	0.12031002	0.00000010
GGB28807	N	-0.20517054	0.03272489	0.00000000	0.00000000	 0.04026844	-0.31310222	-0.27187462	-0.70620546	0.07099264	0.07064764	0.06911107	0.07190592	0.00000000	0.00000000	0.07380073	0.02604067	0.00127639	0.00472262	0.06542213	0.02141285	0.02823502	0.03820971	0.04218843
GGB28815	N	 0.15087951	0.04162272	0.00027550	0.00062048	-0.07024269	 0.07996840	 0.39047622	 1.08051239	0.07655710	0.07580295	0.07308158	0.07674664	0.00000000	0.00000000	0.01412974	0.01495910	0.29338930	0.36966792	0.04175276	0.05757590	0.06670537	0.12849656	0.00677610
GGB28818	N	-0.04594885	0.04017524	0.25257579	0.30285708	-0.20804459	-0.24600764	-0.01321139	 0.16281976	0.08002019	0.07957020	0.07743197	0.08078101	0.00000508	0.00000885	0.03792711	0.02588518	0.12320065	0.17926387	0.01132214	0.04283603	0.03412340	0.05732235	0.10882961
GGB28828	N	-0.08231080	0.02554034	0.00127388	0.00259791	-0.03622661	-0.74300499	-0.28190541	-0.62996979	0.07588671	0.07602126	0.07372409	0.07681196	0.00000000	0.00000000	0.03839167	0.02996930	0.18690108	0.25212177	0.00329630	0.00267539	0.04013222	0.03742166	0.15897054
GGB28829	N	-0.11973651	0.03907298	0.00218410	0.00419024	 0.14045965	 0.05403947	 0.18244845	 0.12547198	0.07960286	0.07898685	0.07686430	0.08041398	0.13930923	0.14848186	0.07852332	0.02669550	0.00103207	0.00410171	0.02577027	0.03247242	0.03770255	0.07174198	0.04139366
GGB28836	N	-0.09052636	0.02545593	0.00037356	0.00081994	 0.02832357	-0.03799381	 0.01375788	 0.17832378	0.07273109	0.07315164	0.07099600	0.07414908	0.08465664	0.09135863	0.12849042	0.03966700	0.00040600	0.00202219	0.00000006	0.00480134	0.01033379	0.01855953	0.20931713
GGB28841	N	-0.02589486	0.03208478	0.41769194	0.48019340	 0.18080452	 0.11934976	 0.31611847	 0.47421607	0.07775414	0.07714632	0.07542645	0.07859794	0.00000002	0.00000004	0.05351377	0.02522689	0.01192917	0.02734208	0.01231578	0.01185383	0.02901286	0.05308108	0.08110258
GGB28844	N	-0.07491924	0.03351435	0.02539129	0.03973116	-0.10701418	-0.13976246	 0.04642990	 0.31842932	0.07487097	0.07373731	0.07247707	0.07537806	0.00000003	0.00000005	0.00559409	0.02079151	0.77937061	0.86263670	0.01637064	0.01434661	0.01729815	0.05929046	0.09651883
GGB28846	N	-0.04269154	0.02954794	0.14894719	0.19003607	-0.04329371	 0.15353741	-0.27365192	-0.40365156	0.07487383	0.07434000	0.07297330	0.07568288	0.00000000	0.00000000	0.03218485	0.02252469	0.11391464	0.16859366	0.02307040	0.00837499	0.02889374	0.03768773	0.05632740
GGB28849	N	 0.02511765	0.02913618	0.38879734	0.45156283	-0.08927358	-0.04470938	-0.14924518	-0.57681042	0.07752231	0.07787206	0.07564021	0.07858907	0.00000000	0.00000000	0.06220166	0.02587568	0.00509895	0.01404923	0.04498506	0.00974256	0.04685675	0.02818172	0.05904493
GGB28851	N	-0.20182283	0.02517305	0.00000000	0.00000000	-0.12311683	-0.42333787	-0.34816223	-0.92088651	0.06852445	0.06832009	0.06689194	0.06953771	0.00000000	0.00000000	0.07785765	0.02848358	0.00175397	0.00605706	0.00505012	0.00520145	0.02651368	0.03078698	0.07694191
GGB28853	N	-0.04805548	0.03058630	0.11611178	0.15036475	-0.25639254	-0.26213154	-0.27610882	-0.39093268	0.07709226	0.07725359	0.07542553	0.07816831	0.00000392	0.00000696	0.05213456	0.02685096	0.04469680	0.07420814	0.00849506	0.01388796	0.03919445	0.02415915	0.05889708
GGB28854	N	 0.09131289	0.02561753	0.00035411	0.00078389	-0.02871140	-0.01456189	-0.02047213	-0.12028346	0.08507779	0.08648220	0.08190706	0.08593670	0.71267077	0.71821685	0.04956116	0.02674519	0.04362224	0.07309033	0.10097391	0.00119390	0.09002025	0.03848571	0.12791791
GGB28859	N	-0.08314255	0.04083627	0.04175766	0.06110301	-0.49486896	-0.67855399	 0.12826319	 0.19733371	0.08939344	0.09102191	0.08551680	0.08998320	0.00000000	0.00000000	0.05274488	0.02120113	0.00295058	0.00878390	0.02185648	0.05159565	0.14129514	0.05078001	0.02990638
GGB28862	N	-0.12259020	0.03884063	0.00159718	0.00318207	 0.09051102	-0.21180602	 0.07794688	 0.21658143	0.08373327	0.08369318	0.08105349	0.08453149	0.00011193	0.00017256	0.05637482	0.02264866	0.00685827	0.01776292	0.01885532	0.03518451	0.06519029	0.05679602	0.00451479
