feature	full.pathway.name	is.community.feat	PVE.Age	pval.Age	padj.Age	PVE.Diet	pval.Diet	padj.Diet	PVE.Genetics	pval.Genetics	padj.Genetics	PVE.Time	pval.Time	padj.Time	PVE.Cohort	pval.Cohort	padj.Cohort	PVE.Batch	pval.Batch	padj.Batch	PVE.Cage	pval.Cage	padj.Cage	PVE.Mouse	pval.Mouse	padj.Mouse	PVE.Residual	pval.Residual	padj.Residual
CENTFERMPWY	CENTFERM-PWY: pyruvate fermentation to butanoate	N	0.06964621	0.00023737	0.00135006	0.00896401	0.00586126	0.00714341	0.00939126	0.61295066	0.65365441	0.00433709	0.42081150	0.58613030	0.03204931	0.00176993	0.00805316	0.06055112	0.00000000	0.00000000	0.00064038	0.91381622	0.97832089	0.06548549	0.00084826	0.02105225	0.7489351	NA	NA
CITRULBIOPWY	CITRULBIO-PWY: L-citrulline biosynthesis	N	0.00700228	0.06929884	0.14332261	0.05906077	0.00000000	0.00000000	0.03454472	0.06594511	0.08412624	0.00626520	0.19017518	0.30903466	0.02755736	0.00063592	0.00369374	0.03236624	0.00000011	0.00000022	0.01336835	0.03522913	0.08150469	0.00000048	1.00000000	1.00000000	0.8198346	NA	NA
COAPWY	COA-PWY: coenzyme A biosynthesis I (prokaryotic)	N	0.03316665	0.00107289	0.00443786	0.08251160	0.00000000	0.00000000	0.05169971	0.00793302	0.01473276	0.01406412	0.00485158	0.01182571	0.00811882	0.14437051	0.29194924	0.02933799	0.00000394	0.00000608	0.01274228	0.04810162	0.10306210	0.01951873	0.33691628	0.49090554	0.7488401	NA	NA
COAPWY1	COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	N	0.05243161	0.00006113	0.00040705	0.05929869	0.00000000	0.00000000	0.03579945	0.05361043	0.07002702	0.03292076	0.00250805	0.00652094	0.01120862	0.06735310	0.16869170	0.02983933	0.00000036	0.00000068	0.01983781	0.00271017	0.01138273	0.02179499	0.24893768	0.41455077	0.7368687	NA	NA
COLANSYNPWY	COLANSYN-PWY: colanic acid building blocks biosynthesis	N	0.00000008	1.00000000	1.00000000	0.00132502	0.46903179	0.48872396	0.05691367	0.00314521	0.00672215	0.04293547	0.00000092	0.00000757	0.04901969	0.00000046	0.00001795	0.01845024	0.00065006	0.00072140	0.00124175	0.83830027	0.91177679	0.02163449	0.28059810	0.44460280	0.8084796	NA	NA
COMPLETEAROPWY	COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	N	0.02344920	0.00004236	0.00031254	0.07386435	0.00000000	0.00000000	0.02992542	0.08885532	0.10877804	0.02124570	0.00007388	0.00033065	0.01027846	0.04200476	0.12199254	0.02027969	0.00041031	0.00046673	0.01005492	0.14691325	0.24161035	0.05029948	0.01185100	0.06343769	0.7606028	NA	NA
DAPLYSINESYNPWY	DAPLYSINESYN-PWY: L-lysine biosynthesis I	N	0.06032438	1.00000000	1.00000000	0.07346042	0.00000000	0.00000000	0.08330352	0.00000228	0.00003278	0.13264035	0.00001248	0.00006680	0.00000033	1.00000000	1.00000000	0.03311714	0.00000000	0.00000000	0.04001511	0.00000003	0.00000301	0.01867037	0.28174463	0.44460280	0.5584684	NA	NA
DTDPRHAMSYNPWY	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	N	0.05629844	0.35783521	0.48844506	0.01286485	0.00072849	0.00096076	0.08083366	0.00008890	0.00043339	0.00583840	0.21588162	0.34264931	0.01765691	0.02016519	0.07057815	0.05181703	0.00000000	0.00000000	0.01204476	0.05134652	0.10782770	0.00000016	1.00000000	1.00000000	0.7626458	NA	NA
FASYNELONGPWY	FASYN-ELONG-PWY: fatty acid elongation -- saturated	N	0.06551197	0.00176799	0.00691296	0.03423042	0.00000002	0.00000005	0.04397396	0.04524028	0.06237675	0.00000008	1.00000000	1.00000000	0.00327038	0.55062072	0.81695357	0.03370033	0.00000008	0.00000016	0.01876112	0.01178575	0.03217510	0.04589620	0.03905533	0.11918279	0.7546555	NA	NA
FERMENTATIONPWY	FERMENTATION-PWY: mixed acid fermentation	N	0.00930826	0.03109652	0.07318406	0.02224090	0.00000120	0.00000227	0.08282256	0.00006067	0.00033445	0.02282334	0.00013752	0.00056884	0.00809548	0.13575410	0.27865315	0.02583796	0.00000868	0.00001228	0.00792505	0.25176563	0.35797925	0.03703246	0.07916458	0.20011047	0.7839140	NA	NA
FUCCATPWY	FUCCAT-PWY: fucose degradation	N	0.00100430	0.69175594	0.83933054	0.05161846	0.00000000	0.00000000	0.04291449	0.03880869	0.05605699	0.01207250	0.00525907	0.01259409	0.01769156	0.01534189	0.05659912	0.03932538	0.00000001	0.00000002	0.00498922	0.45967269	0.58097520	0.04271211	0.04906641	0.14100135	0.7876720	NA	NA
FUCRHAMCATPWY	FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	N	0.05103794	0.00050844	0.00231339	0.02187665	0.00001656	0.00002740	0.05646037	0.00429430	0.00874044	0.00000008	1.00000000	1.00000000	0.00000008	1.00000000	1.00000000	0.02355402	0.00006946	0.00008699	0.02431031	0.00093413	0.00566706	0.00821484	0.69956923	0.86028108	0.8145457	NA	NA
GALACTARDEGPWY	GALACTARDEG-PWY: D-galactarate degradation I	N	0.03584571	0.07625573	0.15535682	0.00766684	0.02352049	0.02664355	0.03830882	0.08544597	0.10555090	0.00203507	0.54673747	0.72809429	0.00505592	0.33907477	0.56101461	0.02775961	0.00006376	0.00008021	0.01936544	0.00755706	0.02344405	0.02608900	0.25358966	0.41455077	0.8378736	NA	NA
GALACTGLUCUROCATPWY	GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	N	0.00573178	0.27867298	0.40252764	0.04975749	0.00000000	0.00000000	0.04937549	0.00107266	0.00281574	0.03616051	0.00000017	0.00000143	0.03654075	0.00011088	0.00114696	0.02683115	0.00000779	0.00001119	0.00000017	0.99733229	1.00000000	0.00000003	0.98744771	1.00000000	0.7956026	NA	NA
GALACTITOLCATPWY	GALACTITOLCAT-PWY: galactitol degradation	N	0.00000009	1.00000000	1.00000000	0.01910882	0.00000002	0.00000005	0.03988762	0.02640706	0.04072954	0.01243967	0.00969703	0.02133058	0.02530758	0.00040958	0.00279536	0.02964003	0.00000525	0.00000784	0.00353593	0.53207060	0.65430303	0.00000005	1.00000000	1.00000000	0.8700802	NA	NA
GALACTUROCATPWY	GALACTUROCAT-PWY: D-galacturonate degradation I	N	0.12290585	0.01778944	0.04538801	0.02308733	0.00000005	0.00000010	0.03421175	0.02228453	0.03541819	0.02621053	0.00001773	0.00009134	0.03153781	0.00025615	0.00205506	0.03477611	0.00000000	0.00000000	0.00034693	0.94902870	1.00000000	0.04085709	0.01753350	0.07720396	0.6860666	NA	NA
GLCMANNANAUTPWY	GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	N	0.03272315	0.00016643	0.00100968	0.03483364	0.00000000	0.00000000	0.03220522	0.07295685	0.09094620	0.01816925	0.00124473	0.00353969	0.04132090	0.00047448	0.00301240	0.03862589	0.00000000	0.00000000	0.01208140	0.06263364	0.12572783	0.04084308	0.04261529	0.12509648	0.7491975	NA	NA
GLUCARDEGPWY	GLUCARDEG-PWY: D-glucarate degradation I	N	0.03060528	0.18655995	0.30681244	0.00637815	0.04136722	0.04553730	0.04472720	0.04713843	0.06338436	0.00121133	0.75702300	0.95238377	0.00624355	0.27355688	0.48060531	0.03488984	0.00000233	0.00000378	0.01626663	0.01952988	0.04803295	0.01659636	0.47698966	0.62008656	0.8430817	NA	NA
GLUCARGALACTSUPERPWY	GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	N	0.03584571	0.07625573	0.15535682	0.00766684	0.02352049	0.02664355	0.03830882	0.08544597	0.10555090	0.00203507	0.54673747	0.72809429	0.00505592	0.33907477	0.56101461	0.02775961	0.00006376	0.00008021	0.01936544	0.00755706	0.02344405	0.02608900	0.25358966	0.41455077	0.8378736	NA	NA
GLUCONEOPWY	GLUCONEO-PWY: gluconeogenesis I	N	0.02550678	0.04625140	0.10349699	0.00872953	0.00380763	0.00470354	0.07082839	0.00035546	0.00127686	0.00385660	0.08672650	0.15080467	0.00520591	0.15083773	0.30171516	0.00779392	0.21951978	0.22032684	0.00000009	1.00000000	1.00000000	0.03640175	0.08593333	0.20946249	0.8416770	NA	NA
GLUCOSE1PMETABPWY	GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	N	0.04580337	0.03363643	0.07848500	0.02449287	0.00000191	0.00000345	0.06386099	0.00127988	0.00312772	0.00000034	1.00000000	1.00000000	0.00000008	1.00000000	1.00000000	0.03867640	0.00000017	0.00000034	0.01437057	0.04684460	0.10149663	0.01972177	0.36417657	0.50984720	0.7930736	NA	NA
GLUCUROCATPWY	GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	N	0.04329445	0.02033035	0.05091913	0.03076717	0.00000000	0.00000001	0.04146768	0.00602873	0.01167266	0.03584082	0.00000274	0.00001867	0.01646095	0.04413548	0.12551027	0.04290666	0.00000000	0.00000000	0.00724476	0.23532676	0.34172449	0.02092330	0.24485169	0.41455077	0.7610942	NA	NA
GLUDEGIPWY	GLUDEG-I-PWY: GABA shunt	N	0.01301804	0.04938003	0.10959959	0.08943179	0.00000000	0.00000000	0.08993623	0.00002360	0.00020132	0.00000007	1.00000000	1.00000000	0.00889126	0.21774877	0.40097354	0.04289178	0.00000000	0.00000000	0.03221310	0.00011794	0.00129967	0.05448706	0.00861661	0.05841765	0.6691307	NA	NA
GLUTORNPWY	GLUTORN-PWY: L-ornithine biosynthesis I	N	0.03531380	0.00002148	0.00018323	0.13331907	0.00000000	0.00000000	0.05401796	0.00220799	0.00499435	0.00910842	0.00687571	0.01590735	0.00047586	0.89813588	1.00000000	0.02313290	0.00010565	0.00012706	0.00857008	0.18103237	0.28241049	0.02981652	0.12367540	0.26173165	0.7062454	NA	NA
GLYCOCATPWY	GLYCOCAT-PWY: glycogen degradation I	N	0.00354622	0.22417399	0.35220211	0.03851084	0.00000000	0.00000000	0.06403295	0.00408202	0.00837888	0.00025779	0.93175380	1.00000000	0.03078036	0.00046835	0.00301240	0.02658374	0.00087033	0.00095422	0.01270964	0.10352465	0.18472046	0.07770585	0.00033464	0.01522613	0.7458726	NA	NA
GLYCOGENSYNTHPWY	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	N	0.08507970	0.03676526	0.08434383	0.07478358	0.00000000	0.00000000	0.09867992	0.00000061	0.00001523	0.01725924	0.00023733	0.00092559	0.00065152	0.88679076	1.00000000	0.03281916	0.00000032	0.00000062	0.00265655	0.68612307	0.78373054	0.04101551	0.04407585	0.12800752	0.6470548	NA	NA
GLYCOLYSIS	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	N	0.00221205	0.45412261	0.59035939	0.01779446	0.00003636	0.00005576	0.07200267	0.00125244	0.00312772	0.01095573	0.00142241	0.00388319	0.00482957	0.27023262	0.48060531	0.02067194	0.00124020	0.00134355	0.00229398	0.71997332	0.81557143	0.01446542	0.53289008	0.67980837	0.8547742	NA	NA
GLYCOLYSISED	GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	N	0.00604822	0.27818715	0.40252764	0.09924497	0.00000000	0.00000000	0.10151800	0.00000207	0.00003278	0.00000007	1.00000000	1.00000000	0.00866618	0.19324367	0.36891974	0.03984478	0.00000001	0.00000002	0.02431594	0.00180082	0.00862500	0.04012430	0.05371691	0.15118264	0.6802375	NA	NA
GLYOXYLATEBYPASS	GLYOXYLATE-BYPASS: glyoxylate cycle	N	0.06554648	0.00188292	0.00694644	0.02147742	0.00005732	0.00008645	0.05828130	0.00138300	0.00334124	0.00362757	0.43074948	0.59692694	0.00000008	1.00000000	1.00000000	0.04049077	0.00000000	0.00000000	0.03293198	0.00003430	0.00062428	0.03359263	0.10741310	0.24543004	0.7440518	NA	NA
GOLPDLCATPWY	GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	N	0.01321172	0.01084551	0.02987563	0.02578866	0.00000592	0.00001035	0.05995467	0.00444481	0.00892230	0.00000008	1.00000000	1.00000000	0.01874794	0.01952175	0.06921347	0.04207050	0.00000000	0.00000000	0.02808288	0.00019014	0.00178996	0.02065049	0.33985768	0.49090554	0.7914931	NA	NA
HEMESYN2PWY	HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	N	0.10601969	0.00031442	0.00156995	0.02989853	0.00000029	0.00000060	0.02029995	0.26102053	0.28966913	0.00252772	0.57127849	0.74980302	0.00000007	1.00000000	1.00000000	0.03363182	0.00000001	0.00000003	0.02494623	0.00080990	0.00514194	0.05605003	0.00597784	0.05429402	0.7266259	NA	NA
HEXITOLDEGSUPERPWY	HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	N	0.00000009	0.99434030	1.00000000	0.00382118	0.11840632	0.12676442	0.01400232	0.22223166	0.24966766	0.00978002	0.06495361	0.11666011	0.02834156	0.00050469	0.00313134	0.04610207	0.00000000	0.00000000	0.00909576	0.11228111	0.19524041	0.00000004	1.00000000	1.00000000	0.8888569	NA	NA
HISDEGPWY	HISDEG-PWY: L-histidine degradation I	N	0.00212151	0.58736059	0.73218922	0.00521490	0.05000492	0.05460538	0.10059613	0.00029298	0.00115917	0.01317058	0.01261909	0.02691416	0.01040087	0.19602894	0.37163819	0.06787935	0.00000000	0.00000000	0.00245959	0.75062423	0.84329389	0.07747739	0.00258619	0.04060912	0.7206797	NA	NA
HISTSYNPWY	HISTSYN-PWY: L-histidine biosynthesis	N	0.02269016	0.00001902	0.00017310	0.04422130	0.00000000	0.00000000	0.04242341	0.05071489	0.06711059	0.01156750	0.00206691	0.00547831	0.00000008	1.00000000	1.00000000	0.03124534	0.00000127	0.00000220	0.01890649	0.01172473	0.03217510	0.05247228	0.01789318	0.07753713	0.7764735	NA	NA
HSERMETANAPWY	HSERMETANA-PWY: L-methionine biosynthesis III	N	0.00427792	0.21938634	0.35220211	0.01005435	0.00113632	0.00147021	0.07596187	0.00022581	0.00096322	0.05170570	0.00000000	0.00000000	0.00229312	0.62912689	0.91357256	0.03294650	0.00000088	0.00000158	0.00469154	0.44559694	0.57111721	0.00469624	0.82633155	0.97508528	0.8133727	NA	NA
ILEUSYNPWY	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	N	0.00025303	0.91658361	1.00000000	0.02647997	0.00000029	0.00000059	0.05965979	0.00475968	0.00940517	0.01688272	0.00004989	0.00022718	0.00000008	1.00000000	1.00000000	0.05191369	0.00000000	0.00000000	0.02047032	0.00729702	0.02343630	0.03615580	0.10709761	0.24543004	0.7881846	NA	NA
KETOGLUCONMETPWY	KETOGLUCONMET-PWY: ketogluconate metabolism	N	0.00236620	0.33816091	0.47342527	0.01799869	0.00000299	0.00000529	0.04435598	0.01166914	0.02068620	0.01491791	0.00109786	0.00325779	0.03186574	0.00000975	0.00014788	0.01492317	0.00956847	0.00997020	0.00178983	0.76200095	0.85256664	0.00329247	0.86906600	1.00000000	0.8684900	NA	NA
LACTOSECATPWY	LACTOSECAT-PWY: lactose and galactose degradation I	N	0.01428011	0.09522780	0.18976051	0.10124219	0.00000000	0.00000000	0.14360582	0.00000000	0.00000035	0.00000007	1.00000000	1.00000000	0.00960264	0.09862963	0.21935307	0.02250312	0.00005819	0.00007494	0.00198530	0.78527238	0.87018881	0.05676018	0.00918516	0.05841765	0.6500206	NA	NA
METHACETATEPWY	METH-ACETATE-PWY: methanogenesis from acetate	N	0.04099132	0.00720820	0.02138954	0.02070404	0.00001395	0.00002322	0.04801546	0.00349568	0.00739783	0.00383039	0.34026620	0.49675227	0.03181235	0.00113647	0.00608344	0.03975796	0.00000000	0.00000000	0.02132501	0.00193469	0.00910640	0.00838655	0.65641847	0.81827508	0.7851769	NA	NA
METSAMPWY	MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	N	0.00000010	1.00000000	1.00000000	0.00509309	0.05361971	0.05831945	0.07427831	0.00048439	0.00152886	0.01690755	0.04165244	0.07799395	0.00000009	1.00000000	1.00000000	0.04658839	0.00000000	0.00000000	0.00858752	0.21843169	0.32233433	0.00000004	1.00000000	1.00000000	0.8485449	NA	NA
METSYNPWY	METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	N	0.00000044	1.00000000	1.00000000	0.00479814	0.06343832	0.06872485	0.07364375	0.00048714	0.00152886	0.01687015	0.03897382	0.07440456	0.00000009	1.00000000	1.00000000	0.04657395	0.00000000	0.00000000	0.00805582	0.24463244	0.35149819	0.00000026	1.00000000	1.00000000	0.8500574	NA	NA
NAGLIPASYNPWY	NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	N	0.00206934	0.56251343	0.70767819	0.00915598	0.01512602	0.01764702	0.05943240	0.00068053	0.00193526	0.01069759	0.01468952	0.03052388	0.01016608	0.10680744	0.22959395	0.02767046	0.00010515	0.00012702	0.02843348	0.00008698	0.00107936	0.00000011	0.99406034	1.00000000	0.8523745	NA	NA
NONMEVIPPPWY	NONMEVIPP-PWY: methylerythritol phosphate pathway I	N	0.04020254	0.00000015	0.00000261	0.10306423	0.00000000	0.00000000	0.08812921	0.00002627	0.00020487	0.04209171	0.00000000	0.00000002	0.00677726	0.15781798	0.31220513	0.01617242	0.00444815	0.00472507	0.00435484	0.53716268	0.65760274	0.06503170	0.00201578	0.03498064	0.6341761	NA	NA
NONOXIPENTPWY	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	N	0.00625400	0.22448046	0.35220211	0.02817067	0.00000000	0.00000001	0.06295146	0.00155239	0.00365346	0.02831978	0.00011560	0.00049311	0.01611235	0.03294125	0.10219273	0.04879146	0.00000000	0.00000000	0.00772235	0.25827255	0.36532853	0.01610921	0.44768481	0.58758632	0.7855687	NA	NA
OANTIGENPWY	OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	N	0.09872499	0.00000000	0.00000000	0.10104954	0.00000000	0.00000000	0.05581826	0.00233934	0.00523475	0.00445889	0.18546183	0.30318011	0.00605006	0.27434187	0.48060531	0.04606945	0.00000000	0.00000000	0.00953120	0.15824680	0.25412574	0.06648164	0.00044156	0.01722094	0.6118160	NA	NA
P105PWY	P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	N	0.01243825	0.01425067	0.03851915	0.00679658	0.03407258	0.03781226	0.04561656	0.01832034	0.03012924	0.00562160	0.22321501	0.35021666	0.00576296	0.27463161	0.48060531	0.02586635	0.00016963	0.00019875	0.01614929	0.01935176	0.04802755	0.00824430	0.70696242	0.86547417	0.8735041	NA	NA
P108PWY	P108-PWY: pyruvate fermentation to propanoate I	N	0.00597836	0.16652207	0.28772485	0.00844629	0.01962425	0.02279754	0.00792077	0.67748478	0.71135902	0.00388506	0.40104061	0.56145685	0.02678646	0.00150116	0.00731816	0.04450616	0.00000000	0.00000000	0.01391004	0.04606797	0.10061244	0.02382459	0.28484703	0.44691517	0.8647423	NA	NA
P122PWY	P122-PWY: heterolactic fermentation	N	0.03111693	0.00127854	0.00520956	0.04914387	0.00000000	0.00000000	0.04894581	0.00007682	0.00038835	0.00000008	1.00000000	1.00000000	0.04732745	0.00000955	0.00014788	0.04470952	0.00000000	0.00000000	0.02076064	0.00101556	0.00602713	0.00000044	1.00000000	1.00000000	0.7579953	NA	NA
P124PWY	P124-PWY: Bifidobacterium shunt	N	0.01691470	0.40893940	0.54458759	0.09900751	0.00000000	0.00000000	0.08158453	0.00005493	0.00031243	0.00000024	0.99799764	1.00000000	0.01132213	0.15957674	0.31341331	0.04772422	0.00000000	0.00000000	0.02441527	0.00178710	0.00862500	0.05193870	0.01077117	0.06001083	0.6670927	NA	NA
P161PWY	P161-PWY: acetylene degradation (anaerobic)	N	0.06190434	0.00042669	0.00204028	0.02773837	0.00000044	0.00000087	0.02094717	0.21349884	0.24184723	0.01610475	0.05434540	0.10024523	0.03210123	0.01586208	0.05773799	0.02469908	0.00005911	0.00007576	0.02570998	0.00029268	0.00257749	0.02708389	0.16356843	0.31226699	0.7637112	NA	NA
P164PWY	P164-PWY: purine nucleobases degradation I (anaerobic)	N	0.00880823	0.05667539	0.11994095	0.02373758	0.00000010	0.00000022	0.02037585	0.18498665	0.21219057	0.01819538	0.00113633	0.00330018	0.04300191	0.00000443	0.00008648	0.02132680	0.00063166	0.00070385	0.00594224	0.35240845	0.47160542	0.04663030	0.01638698	0.07456075	0.8119817	NA	NA
P185PWY	P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	N	0.00012365	1.00000000	1.00000000	0.01552141	0.00017173	0.00024042	0.03081187	0.13603158	0.15870351	0.01375213	0.03072350	0.06034185	0.00457366	0.31246178	0.54134171	0.00609296	0.24857222	0.24857222	0.01570518	0.02764154	0.06561861	0.02628412	0.24792657	0.41455077	0.8871350	NA	NA
P41PWY	P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	N	0.00748358	0.16146440	0.28076293	0.01449113	0.00019303	0.00026886	0.08488376	0.00003987	0.00024737	0.08648907	0.00000000	0.00000005	0.00492216	0.35562808	0.58135609	0.04017014	0.00000000	0.00000001	0.00857754	0.18624645	0.28726147	0.02173436	0.31055896	0.46583844	0.7312483	NA	NA
P42PWY	P42-PWY: incomplete reductive TCA cycle	N	0.00607265	0.13873917	0.25250529	0.00308043	0.15812630	0.16731969	0.03030292	0.08832713	0.10861850	0.00733802	0.22599878	0.35255809	0.05000346	0.00000693	0.00011827	0.05867626	0.00000000	0.00000000	0.00005969	0.99324169	1.00000000	0.00443834	0.82864390	0.97508528	0.8400282	NA	NA
P441PWY	P441-PWY: superpathway of N-acetylneuraminate degradation	N	0.03686560	0.00182320	0.00691296	0.07290867	0.00000000	0.00000000	0.05414447	0.00002008	0.00018274	0.00000025	1.00000000	1.00000000	0.04318642	0.00003723	0.00046643	0.03856909	0.00000000	0.00000000	0.02811715	0.00001733	0.00043006	0.00000037	1.00000000	1.00000000	0.7262080	NA	NA
P461PWY	P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	N	0.00838465	0.06812530	0.14197104	0.01457939	0.00008883	0.00013025	0.04192649	0.01476793	0.02519778	0.02183570	0.00138585	0.00384791	0.02429658	0.00124706	0.00642356	0.03088758	0.00000285	0.00000451	0.00389338	0.54627001	0.66576658	0.03029915	0.13103793	0.26498781	0.8238971	NA	NA
