feature	is.community.feat	pheno	domain	trait	mb.coef	age.coef	DR.1D.coef	DR.2D.coef	DR.20.coef	DR.40.coef	mb.pval	mb.padj
CAG273	N	AS_MeanLog	AS	MeanLog	 0.06252156	-0.38205686	-0.02726501	-0.10216989	-0.02257957	-0.22764318	0.00883273	0.18507473
CAG274NOV	N	AS_MeanLog	AS	MeanLog	 0.00902712	-0.38914415	-0.02433446	-0.09671957	-0.01899562	-0.21724281	0.72371728	0.93547189
CAG303	N	AS_MeanLog	AS	MeanLog	 0.01792744	-0.38684740	-0.01590179	-0.09330159	-0.01670566	-0.21591779	0.47501646	0.84326023
CAG41	N	AS_MeanLog	AS	MeanLog	-0.02111753	-0.38971006	-0.03075300	-0.12412286	-0.02025578	-0.22663607	0.41504311	0.81212884
CAG475	N	AS_MeanLog	AS	MeanLog	-0.01037202	-0.39190483	-0.02826782	-0.10831894	-0.02150729	-0.22324593	0.68239840	0.92243516
CAG485	N	AS_MeanLog	AS	MeanLog	-0.00180426	-0.38956463	-0.02742520	-0.10585605	-0.02070269	-0.22403668	0.94222313	0.99171290
CAG510	N	AS_MeanLog	AS	MeanLog	 0.03219462	-0.39552794	-0.03227280	-0.10718418	-0.02867878	-0.23838647	0.21918837	0.66864363
CAG552NOV	N	AS_MeanLog	AS	MeanLog	-0.00608884	-0.39066172	-0.02766546	-0.10669874	-0.02231727	-0.22488972	0.80686001	0.95913107
CAG56	N	AS_MeanLog	AS	MeanLog	 0.06530571	-0.39204394	-0.02149115	-0.11136939	-0.01815473	-0.18886970	0.00863527	0.18257012
CAG582	N	AS_MeanLog	AS	MeanLog	-0.01803525	-0.39466492	-0.02866354	-0.10691529	-0.02227838	-0.22086965	0.47464433	0.84326023
CAG776	N	AS_MeanLog	AS	MeanLog	 0.04370526	-0.38256403	-0.03621306	-0.10925487	-0.02219044	-0.23961251	0.07516440	0.47056443
CAG81	N	AS_MeanLog	AS	MeanLog	 0.01226113	-0.38940865	-0.02405716	-0.10217477	-0.01882974	-0.21983782	0.61416704	0.90165950
CAG873	N	AS_MeanLog	AS	MeanLog	-0.02225583	-0.38939297	-0.01925235	-0.09576668	-0.00861949	-0.20881866	0.36796945	0.78737468
CAG95	N	AS_MeanLog	AS	MeanLog	-0.00071396	-0.38985376	-0.02817641	-0.10737052	-0.02214713	-0.22572935	0.97640021	0.99698201
COE1	N	AS_MeanLog	AS	MeanLog	 0.02605506	-0.38494245	-0.02300839	-0.09224884	-0.01220176	-0.19885024	0.30878247	0.74384020
Chao1	Y	AS_MeanLog	AS	MeanLog	 0.03161830	-0.38809329	-0.02994790	-0.10936463	-0.02456212	-0.22910941	0.13856302	0.57198383
Clostridium	N	AS_MeanLog	AS	MeanLog	 0.03729413	-0.39367501	-0.03084785	-0.10739770	-0.02552519	-0.24955272	0.12466064	0.55220067
ClostridiumQ	N	AS_MeanLog	AS	MeanLog	-0.00651188	-0.39026197	-0.02845652	-0.10647643	-0.02285518	-0.22988652	0.79438165	0.95482031
D1663	N	AS_MeanLog	AS	MeanLog	 0.03124668	-0.39536101	-0.02996108	-0.10956957	-0.02871573	-0.21590192	0.19452820	0.64164779
Desulfovibrio	N	AS_MeanLog	AS	MeanLog	 0.06519886	-0.41128890	-0.03605776	-0.11383977	-0.03442338	-0.24021110	0.01729438	0.25519215
Dorea	N	AS_MeanLog	AS	MeanLog	-0.05655631	-0.39618520	-0.04222451	-0.12634840	-0.03252305	-0.26864589	0.02139290	0.28307658
Dubosiella	N	AS_MeanLog	AS	MeanLog	-0.04199178	-0.37625452	-0.03236393	-0.10595507	-0.01918073	-0.20155575	0.10649790	0.52459780
Duncaniella	N	AS_MeanLog	AS	MeanLog	-0.01612212	-0.39077838	-0.02492031	-0.09923374	-0.01534206	-0.21651565	0.50641406	0.85954601
Emergencia	N	AS_MeanLog	AS	MeanLog	 0.01717702	-0.38892669	-0.02996875	-0.10925316	-0.01887865	-0.21011621	0.49008082	0.85153167
EnterococcusD	N	AS_MeanLog	AS	MeanLog	-0.03699421	-0.38286875	-0.02189508	-0.09492623	-0.01687157	-0.20958681	0.13508941	0.56667657
ErysipelatoclostridiaceaeNOV	N	AS_MeanLog	AS	MeanLog	 0.01567050	-0.38930040	-0.03114655	-0.11176495	-0.02570538	-0.22600517	0.52463195	0.86701277
Erysipelatoclostridium	N	AS_MeanLog	AS	MeanLog	 0.00201960	-0.38952569	-0.02823523	-0.10775334	-0.02257303	-0.22610667	0.93389556	0.99078195
ErysipelotrichaceaeNOV	N	AS_MeanLog	AS	MeanLog	 0.03313222	-0.38320840	-0.04194591	-0.11484115	-0.02961613	-0.20891483	0.18182676	0.62951374
Escherichia	N	AS_MeanLog	AS	MeanLog	-0.03465919	-0.38556588	-0.02242791	-0.09138381	-0.01485027	-0.19903347	0.15662305	0.59841997
EubacteriumF	N	AS_MeanLog	AS	MeanLog	-0.02978781	-0.39178970	-0.02861280	-0.10246969	-0.02274261	-0.23284340	0.20958395	0.65819726
EubacteriumG	N	AS_MeanLog	AS	MeanLog	-0.02128860	-0.39244875	-0.03205689	-0.11117293	-0.03109607	-0.23881096	0.38772470	0.79945700
EubacteriumJ	N	AS_MeanLog	AS	MeanLog	-0.00416603	-0.39046012	-0.02909346	-0.10875973	-0.02392597	-0.22934892	0.86861233	0.97520598
Evtepia	N	AS_MeanLog	AS	MeanLog	-0.01142233	-0.38861353	-0.03069808	-0.10861414	-0.02729344	-0.23733691	0.64513145	0.91101533
Flavonifractor	N	AS_MeanLog	AS	MeanLog	 0.01069980	-0.39033562	-0.02437612	-0.10461686	-0.01654158	-0.21627767	0.66046423	0.91719458
HungatellaA	N	AS_MeanLog	AS	MeanLog	-0.00502681	-0.39064667	-0.02873272	-0.10754078	-0.02307294	-0.22785633	0.84109529	0.96848578
Ileibacterium	N	AS_MeanLog	AS	MeanLog	-0.05754298	-0.37739101	-0.01629767	-0.07516179	-0.00161564	-0.18581047	0.02322609	0.29353446
Kineothrix	N	AS_MeanLog	AS	MeanLog	-0.04184421	-0.38418673	-0.01535120	-0.08150531	-0.00596716	-0.19293879	0.09585350	0.50581419
Lachnospira	N	AS_MeanLog	AS	MeanLog	-0.00505750	-0.39076590	-0.02915319	-0.10854128	-0.02352123	-0.22969087	0.84536013	0.96945448
LachnospiraceaeNOV	N	AS_MeanLog	AS	MeanLog	-0.02938146	-0.39309512	-0.03065347	-0.10839968	-0.02854350	-0.23677190	0.22717176	0.67592599
Lactobacillus	N	AS_MeanLog	AS	MeanLog	 0.00151288	-0.38987679	-0.02867804	-0.10827074	-0.02285730	-0.22677246	0.95281009	0.99369328
Lawsonibacter	N	AS_MeanLog	AS	MeanLog	-0.04446647	-0.38936469	-0.03625278	-0.11440263	-0.04038747	-0.25842236	0.05983533	0.43703010
Ligilactobacillus	N	AS_MeanLog	AS	MeanLog	 0.08000376	-0.43704458	-0.06229591	-0.14750988	-0.05155953	-0.28247204	0.01218939	0.21923223
Limosilactobacillus	N	AS_MeanLog	AS	MeanLog	-0.00643372	-0.38973682	-0.02558668	-0.10379056	-0.01777381	-0.21951549	0.79528712	0.95499227
Mailhella	N	AS_MeanLog	AS	MeanLog	-0.03649613	-0.38967364	-0.02156992	-0.09697399	-0.01953959	-0.23410833	0.14795675	0.58622440
MarseilleP3106	N	AS_MeanLog	AS	MeanLog	-0.01016502	-0.39132117	-0.02757034	-0.10711903	-0.02149817	-0.22622850	0.66209631	0.91757301
MuribaculaceaeNOV	N	AS_MeanLog	AS	MeanLog	 0.06148170	-0.41632491	-0.04429905	-0.12187433	-0.04341218	-0.25533372	0.03126220	0.33387435
Muribaculum	N	AS_MeanLog	AS	MeanLog	 0.03675103	-0.39727952	-0.03756254	-0.12766958	-0.03326187	-0.24457901	0.15275309	0.59218253
Oscillibacter	N	AS_MeanLog	AS	MeanLog	-0.00721836	-0.39071538	-0.02909979	-0.10916290	-0.02523350	-0.22923490	0.76084428	0.94569933
OscillospiraceaeNOV	N	AS_MeanLog	AS	MeanLog	-0.04208093	-0.39829049	-0.03082161	-0.12097460	-0.04071236	-0.25814685	0.09214835	0.50010174
PCoA1	Y	AS_MeanLog	AS	MeanLog	 0.00211056	-0.39010966	-0.02892817	-0.10866086	-0.02336494	-0.22790324	0.93559217	0.99127625
PCoA2	Y	AS_MeanLog	AS	MeanLog	-0.03586420	-0.38334961	-0.01903127	-0.08937454	-0.01247375	-0.19053625	0.14789194	0.58622440
PCoA3	Y	AS_MeanLog	AS	MeanLog	-0.10756292	-0.43784521	-0.03408594	-0.10381145	-0.02666993	-0.24747324	0.00009370	0.01045074
Paramuribaculum	N	AS_MeanLog	AS	MeanLog	-0.00847978	-0.38962079	-0.02413864	-0.10074490	-0.01605741	-0.21654968	0.73273923	0.93841729
Parvibacter	N	AS_MeanLog	AS	MeanLog	-0.03737652	-0.38706307	-0.01611537	-0.08990908	-0.00790906	-0.22640726	0.13378058	0.56512243
Prevotella	N	AS_MeanLog	AS	MeanLog	-0.04051870	-0.39088181	-0.01661244	-0.08257611	-0.00933190	-0.21336633	0.09942462	0.51251528
Romboutsia	N	AS_MeanLog	AS	MeanLog	 0.01899713	-0.39365890	-0.02809773	-0.10827540	-0.02283089	-0.24157721	0.45653838	0.83346259
Roseburia	N	AS_MeanLog	AS	MeanLog	-0.02448473	-0.38714477	-0.03955962	-0.11944907	-0.02658692	-0.22595459	0.31192179	0.74544171
RuminiclostridiumE	N	AS_MeanLog	AS	MeanLog	-0.01206231	-0.39145523	-0.02940084	-0.11612757	-0.02517372	-0.23168344	0.63184167	0.90718422
Schaedlerella	N	AS_MeanLog	AS	MeanLog	-0.03077465	-0.39178073	-0.03527402	-0.12113141	-0.03713354	-0.25751401	0.22616017	0.67490790
Shannon	Y	AS_MeanLog	AS	MeanLog	 0.03123714	-0.39050229	-0.03322093	-0.10551244	-0.03037239	-0.23503936	0.18815600	0.63620646
Simpson	Y	AS_MeanLog	AS	MeanLog	-0.00267003	-0.38977190	-0.02758578	-0.10689363	-0.02111261	-0.22427737	0.90931360	0.98569153
Staphylococcus	N	AS_MeanLog	AS	MeanLog	 0.06858015	-0.39865705	-0.02825084	-0.10068601	-0.04017414	-0.27438063	0.00425233	0.12363425
TF0111	N	AS_MeanLog	AS	MeanLog	-0.00205632	-0.39015061	-0.02869018	-0.10795857	-0.02268363	-0.22730292	0.93377211	0.99073752
Turicibacter	N	AS_MeanLog	AS	MeanLog	-0.00615161	-0.38706727	-0.02852390	-0.10677330	-0.02296656	-0.22368295	0.82010456	0.96256712
UBA11940	N	AS_MeanLog	AS	MeanLog	-0.02881603	-0.39286953	-0.03170293	-0.12157646	-0.02739102	-0.23487194	0.24527185	0.69054166
UBA11957	N	AS_MeanLog	AS	MeanLog	 0.03898252	-0.38140037	-0.00529803	-0.07608385	 0.00422654	-0.18042119	0.15996693	0.60275203
UBA1394	N	AS_MeanLog	AS	MeanLog	 0.03984076	-0.38348068	-0.02809534	-0.09946353	-0.03202162	-0.24135630	0.11083760	0.53171272
UBA1405	N	AS_MeanLog	AS	MeanLog	 0.01790354	-0.39314271	-0.02548969	-0.10203325	-0.01743547	-0.21727770	0.49611131	0.85339728
UBA2882	N	AS_MeanLog	AS	MeanLog	 0.06840652	-0.38578853	-0.02092129	-0.06507337	-0.00958097	-0.22669962	0.00758690	0.17126636
UBA3282	N	AS_MeanLog	AS	MeanLog	 0.00232594	-0.38938823	-0.02784134	-0.10701350	-0.02171569	-0.22454750	0.92237460	0.98823569
UBA3700	N	AS_MeanLog	AS	MeanLog	-0.01199354	-0.39173456	-0.02658678	-0.10872619	-0.02023230	-0.22062544	0.64112969	0.90877364
UBA3700NOV	N	AS_MeanLog	AS	MeanLog	-0.01845506	-0.39302925	-0.02125839	-0.09391523	-0.00995712	-0.20698068	0.46497297	0.83853939
UBA3818	N	AS_MeanLog	AS	MeanLog	 0.04788824	-0.38796938	-0.01189194	-0.07936580	 0.00841697	-0.19387209	0.05581411	0.42782023
UBA7160	N	AS_MeanLog	AS	MeanLog	-0.02184029	-0.38868682	-0.02667590	-0.10451110	-0.02086478	-0.22966317	0.35173156	0.77755208
UBA7173	N	AS_MeanLog	AS	MeanLog	-0.01834505	-0.39172706	-0.02182299	-0.09778870	-0.01377246	-0.21350180	0.46414909	0.83808453
UBA7182	N	AS_MeanLog	AS	MeanLog	-0.02115230	-0.39441712	-0.03499326	-0.11972253	-0.03275125	-0.25213430	0.43824767	0.82491236
UBA946	N	AS_MeanLog	AS	MeanLog	-0.00380786	-0.39013850	-0.02817541	-0.10800358	-0.02165602	-0.22470297	0.87686919	0.97698217
UBA9475	N	AS_MeanLog	AS	MeanLog	-0.07579976	-0.40583479	-0.03730577	-0.11968682	-0.04929130	-0.27138964	0.00227440	0.08561085
UBA9502	N	AS_MeanLog	AS	MeanLog	 0.00414054	-0.38922421	-0.02690082	-0.10593135	-0.01991594	-0.22125372	0.86921173	0.97528885
UMGS1004	N	AS_MeanLog	AS	MeanLog	 0.00475190	-0.38927078	-0.02811719	-0.10749873	-0.02433217	-0.22993069	0.85321447	0.97121811
UMGS1217	N	AS_MeanLog	AS	MeanLog	 0.04027364	-0.38248488	-0.02606144	-0.09409242	-0.01941457	-0.22048294	0.09682088	0.50692679
UMGS1370	N	AS_MeanLog	AS	MeanLog	 0.00556941	-0.38940877	-0.02525898	-0.10414434	-0.01862333	-0.21897067	0.82791780	0.96423445
UMGS1815	N	AS_MeanLog	AS	MeanLog	 0.01777938	-0.38977264	-0.03788134	-0.11998086	-0.04136395	-0.25403051	0.52860572	0.86880725
UMGS1872	N	AS_MeanLog	AS	MeanLog	-0.02450947	-0.38963032	-0.03033964	-0.10783487	-0.02878946	-0.24505333	0.32726573	0.75759654
UMGS268	N	AS_MeanLog	AS	MeanLog	-0.01524986	-0.39393459	-0.02845969	-0.10867651	-0.02240177	-0.22397829	0.54542091	0.87399561
X142	N	AS_MeanLog	AS	MeanLog	-0.04339178	-0.39074229	-0.03295443	-0.11001634	-0.04152636	-0.25980596	0.07913397	0.47756317
X1XD4269	N	AS_MeanLog	AS	MeanLog	-0.03923977	-0.40006505	-0.02885049	-0.11355764	-0.02456710	-0.22669460	0.10210638	0.51657686
X1XD876	N	AS_MeanLog	AS	MeanLog	-0.00132305	-0.38976718	-0.02824201	-0.10746913	-0.02229281	-0.22600239	0.95646397	0.99394504
uniq	Y	AS_MeanLog	AS	MeanLog	-0.04081351	-0.38138344	-0.01808063	-0.08475896	-0.01117121	-0.19927181	0.09521974	0.50426637
AF3328	N	AS_SlopeLog	AS	SlopeLog	-0.03047015	-0.54308756	 0.03064151	-0.00343034	 0.07771096	-0.11217589	0.15868507	0.60074040
AM0715	N	AS_SlopeLog	AS	SlopeLog	-0.00382287	-0.54175006	 0.03214809	 0.00172403	 0.07976871	-0.10177617	0.86512650	0.97466604
ASF356	N	AS_SlopeLog	AS	SlopeLog	 0.02486547	-0.53485030	 0.03720620	 0.01093358	 0.08771017	-0.08193068	0.30030796	0.73639097
Acetatifactor	N	AS_SlopeLog	AS	SlopeLog	-0.05083806	-0.54829036	 0.02500747	 0.00060126	 0.06558959	-0.10591682	0.02161541	0.28459168
Acutalibacter	N	AS_SlopeLog	AS	SlopeLog	-0.00145314	-0.54151931	 0.03249077	 0.00249391	 0.08097023	-0.09999528	0.94844007	0.99261411
Adlercreutzia	N	AS_SlopeLog	AS	SlopeLog	-0.01386893	-0.54045853	 0.03659532	 0.00946150	 0.08644923	-0.09841510	0.53531444	0.87161231
Akkermansia	N	AS_SlopeLog	AS	SlopeLog	 0.00395786	-0.54146312	 0.03237862	 0.00147887	 0.08109602	-0.10105175	0.85626738	0.97209498
Alistipes	N	AS_SlopeLog	AS	SlopeLog	 0.08680282	-0.58184006	 0.02814179	-0.00743832	 0.07217402	-0.11705134	0.00089809	0.04879064
Anaerotignum	N	AS_SlopeLog	AS	SlopeLog	-0.04561228	-0.53730290	 0.02764328	-0.00524816	 0.06889104	-0.11731713	0.04526661	0.39331196
Anaerotruncus	N	AS_SlopeLog	AS	SlopeLog	-0.03291012	-0.54211884	 0.02757225	-0.00865404	 0.06464094	-0.12794697	0.14638208	0.58293812
AnaerovoracaceaeNOV	N	AS_SlopeLog	AS	SlopeLog	-0.04397665	-0.54445301	 0.02835824	 0.00240111	 0.07836695	-0.11421469	0.03499470	0.35193385
Angelakisella	N	AS_SlopeLog	AS	SlopeLog	-0.02908962	-0.54591421	 0.02735783	-0.00365920	 0.06500258	-0.11621919	0.18020133	0.62869011
Bacteroides	N	AS_SlopeLog	AS	SlopeLog	-0.02713981	-0.53840237	 0.04285367	 0.02304388	 0.09687223	-0.08199424	0.22398722	0.67338955
Bifidobacterium	N	AS_SlopeLog	AS	SlopeLog	-0.03888558	-0.52154394	 0.03457862	 0.01198580	 0.08344065	-0.07928168	0.14782235	0.58619298
BorkfalkiaceaeNOV	N	AS_SlopeLog	AS	SlopeLog	-0.00017166	-0.54163285	 0.03301650	 0.00307803	 0.08187232	-0.09851378	0.99413236	0.99909115
ButyricicoccaceaeNOV	N	AS_SlopeLog	AS	SlopeLog	 0.00729907	-0.54093367	 0.03513464	 0.00715660	 0.08386158	-0.09619864	0.73773460	0.93996057
CAG115	N	AS_SlopeLog	AS	SlopeLog	 0.00235140	-0.54194241	 0.03329658	 0.00375483	 0.08222337	-0.09823064	0.91950774	0.98774061
CAG145	N	AS_SlopeLog	AS	SlopeLog	 0.03840415	-0.54006617	 0.03269027	 0.00924709	 0.07894457	-0.10076698	0.08192582	0.48157122
CAG273	N	AS_SlopeLog	AS	SlopeLog	 0.05236897	-0.53510065	 0.03366976	 0.00732707	 0.08129805	-0.10055373	0.01563619	0.24558872
CAG274NOV	N	AS_SlopeLog	AS	SlopeLog	-0.00711249	-0.54208282	 0.03007996	-0.00512725	 0.07950104	-0.10505709	0.75859334	0.94519488
CAG303	N	AS_SlopeLog	AS	SlopeLog	 0.01219133	-0.53963421	 0.04129357	 0.01257742	 0.08543857	-0.09208992	0.59230709	0.89494079
CAG41	N	AS_SlopeLog	AS	SlopeLog	 0.00895429	-0.54162045	 0.03413518	 0.01027769	 0.08111185	-0.09808338	0.70356456	0.92922539
CAG475	N	AS_SlopeLog	AS	SlopeLog	-0.01486629	-0.54471730	 0.03275659	 0.00150718	 0.08249081	-0.09545632	0.51766344	0.86506962
CAG485	N	AS_SlopeLog	AS	SlopeLog	-0.01589957	-0.54002706	 0.03872416	 0.01488953	 0.09299561	-0.08623509	0.48076328	0.84647587
CAG510	N	AS_SlopeLog	AS	SlopeLog	 0.05305158	-0.55108601	 0.02630966	 0.00312599	 0.07076315	-0.12006582	0.02581384	0.30846365
CAG552NOV	N	AS_SlopeLog	AS	SlopeLog	-0.02737849	-0.54573390	 0.03490937	 0.00539942	 0.08030402	-0.09614075	0.22557085	0.67490790
CAG56	N	AS_SlopeLog	AS	SlopeLog	 0.00231502	-0.54168754	 0.03324794	 0.00297709	 0.08199207	-0.09728428	0.91847719	0.98768394
CAG582	N	AS_SlopeLog	AS	SlopeLog	 0.00980856	-0.53892728	 0.03333751	 0.00296245	 0.08199792	-0.10108811	0.66819106	0.91900296
CAG776	N	AS_SlopeLog	AS	SlopeLog	 0.06372669	-0.53106372	 0.02094517	 0.00006741	 0.08151053	-0.11926142	0.00417570	0.12224949
CAG81	N	AS_SlopeLog	AS	SlopeLog	 0.00942075	-0.54133843	 0.03613212	 0.00700359	 0.08427902	-0.09426674	0.66937441	0.91938119
CAG873	N	AS_SlopeLog	AS	SlopeLog	-0.01778265	-0.54133249	 0.04005579	 0.01223313	 0.09252400	-0.08527445	0.42808131	0.82024597
CAG95	N	AS_SlopeLog	AS	SlopeLog	-0.00933659	-0.54302291	 0.03165565	 0.00083171	 0.07953501	-0.10238437	0.66964730	0.91957625
COE1	N	AS_SlopeLog	AS	SlopeLog	 0.02137433	-0.53767072	 0.03722537	 0.01540091	 0.08987014	-0.07675924	0.35681564	0.78127319
Chao1	Y	AS_SlopeLog	AS	SlopeLog	-0.00376568	-0.54180631	 0.03324378	 0.00338142	 0.08216018	-0.09815012	0.84526085	0.96945448
Clostridium	N	AS_SlopeLog	AS	SlopeLog	 0.01701131	-0.54336726	 0.03173044	 0.00305898	 0.08025935	-0.10958478	0.43935674	0.82526077
ClostridiumQ	N	AS_SlopeLog	AS	SlopeLog	-0.01624008	-0.54288707	 0.03206633	 0.00491580	 0.07963865	-0.10969609	0.47351578	0.84247333
D1663	N	AS_SlopeLog	AS	SlopeLog	 0.01839234	-0.54489539	 0.03193663	 0.00177425	 0.07790977	-0.09297473	0.39955332	0.80453593
Desulfovibrio	N	AS_SlopeLog	AS	SlopeLog	 0.05677499	-0.56029060	 0.02638495	-0.00244052	 0.07115572	-0.11140327	0.02311410	0.29337967
Dorea	N	AS_SlopeLog	AS	SlopeLog	-0.03939218	-0.54605997	 0.02308589	-0.01023706	 0.07450543	-0.12871802	0.07725670	0.47312435
Dubosiella	N	AS_SlopeLog	AS	SlopeLog	-0.03700873	-0.52970428	 0.02919905	 0.00424331	 0.08433645	-0.07750810	0.11651528	0.53947449
Duncaniella	N	AS_SlopeLog	AS	SlopeLog	-0.01218682	-0.54239513	 0.03540032	 0.00911347	 0.08685426	-0.09183084	0.57961717	0.88993703
Emergencia	N	AS_SlopeLog	AS	SlopeLog	 0.00759579	-0.54125067	 0.03218994	 0.00220981	 0.08320596	-0.09182387	0.73592550	0.93957974
EnterococcusD	N	AS_SlopeLog	AS	SlopeLog	-0.03188142	-0.53567499	 0.03837708	 0.01374530	 0.08626935	-0.08488020	0.15571697	0.59744277
ErysipelatoclostridiaceaeNOV	N	AS_SlopeLog	AS	SlopeLog	 0.01696616	-0.54114289	 0.02972727	-0.00182281	 0.07777356	-0.09924475	0.44730756	0.82899856
Erysipelatoclostridium	N	AS_SlopeLog	AS	SlopeLog	 0.00362551	-0.54121052	 0.03272088	 0.00212334	 0.08077235	-0.09977906	0.86960177	0.97550935
ErysipelotrichaceaeNOV	N	AS_SlopeLog	AS	SlopeLog	 0.04314422	-0.53309089	 0.01503815	-0.00679187	 0.07193228	-0.07709985	0.05489775	0.42575041
Escherichia	N	AS_SlopeLog	AS	SlopeLog	-0.03619755	-0.53721270	 0.03888400	 0.01967872	 0.08933220	-0.07093839	0.10257033	0.51773948
EubacteriumF	N	AS_SlopeLog	AS	SlopeLog	-0.02441292	-0.54326837	 0.03260455	 0.00699459	 0.08123476	-0.10466182	0.25658842	0.69806641
EubacteriumG	N	AS_SlopeLog	AS	SlopeLog	-0.02767745	-0.54510362	 0.02779291	-0.00205007	 0.06999569	-0.11599908	0.21523308	0.66406588
EubacteriumJ	N	AS_SlopeLog	AS	SlopeLog	-0.00337899	-0.54218135	 0.03219139	 0.00186228	 0.08027028	-0.10175547	0.88221861	0.97807310
Evtepia	N	AS_SlopeLog	AS	SlopeLog	-0.03154270	-0.53844377	 0.02578313	-0.00074981	 0.06719475	-0.13145775	0.16001221	0.60275203
Flavonifractor	N	AS_SlopeLog	AS	SlopeLog	-0.00137645	-0.54152800	 0.03254346	 0.00279477	 0.08115531	-0.09976460	0.95028266	0.99319302
HungatellaA	N	AS_SlopeLog	AS	SlopeLog	 0.00066209	-0.54148620	 0.03310787	 0.00317190	 0.08200019	-0.09826420	0.97679528	0.99698201
Ileibacterium	N	AS_SlopeLog	AS	SlopeLog	-0.04616402	-0.53170361	 0.04231176	 0.02875258	 0.09816671	-0.06671965	0.04523516	0.39329318
Kineothrix	N	AS_SlopeLog	AS	SlopeLog	-0.05569758	-0.53419554	 0.04985633	 0.03722357	 0.10306916	-0.05541546	0.01443693	0.23774698
Lachnospira	N	AS_SlopeLog	AS	SlopeLog	 0.01790898	-0.53801482	 0.03685747	 0.00787424	 0.08730712	-0.08354407	0.44571347	0.82857344
LachnospiraceaeNOV	N	AS_SlopeLog	AS	SlopeLog	-0.04289797	-0.54648744	 0.02922421	 0.00132169	 0.07222050	-0.11522498	0.05167816	0.41609016
Lactobacillus	N	AS_SlopeLog	AS	SlopeLog	-0.03177949	-0.53886584	 0.04567047	 0.02565532	 0.10046605	-0.07056381	0.17091247	0.61771593
Lawsonibacter	N	AS_SlopeLog	AS	SlopeLog	-0.04738977	-0.54116183	 0.02423997	-0.00451993	 0.06224844	-0.13380647	0.02671716	0.31339513
Ligilactobacillus	N	AS_SlopeLog	AS	SlopeLog	 0.05195500	-0.57224418	 0.01100616	-0.02290295	 0.06275957	-0.13567835	0.07424744	0.46894520
Limosilactobacillus	N	AS_SlopeLog	AS	SlopeLog	-0.03994571	-0.54156717	 0.04849136	 0.02425684	 0.10792287	-0.06176879	0.07539684	0.47073067
