feature	full.pathway.name	is.community.feat	solution.age	std.error.age	pval.age	padj.age	solution.1D	solution.2D	solution.20	solution.40	std.error.1D	std.error.2D	std.error.20	std.error.40	pval.DR	padj.DR	herit	herit.se	herit.pval	herit.padj	PVE.Cohort	PVE.Quarter.Date	PVE.Cage	PVE.Batch	PVE.Mouse
BRANCHEDCHAINAASYNPWY	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	N	 0.00321032	0.03420623	0.92515565	0.93891261	 0.00386796	-0.38098042	-0.13613975	-0.05802641	0.07585258	0.07486087	0.07355386	0.07660651	0.00000096	0.00000155	0.05308087	0.02408976	0.01129951	0.01959707	0.00000008	0.01822916	0.02383492	0.05986928	0.03591699
CALVINPWY	CALVIN-PWY: Calvin-Benson-Bassham cycle	N	-0.15204163	0.03443266	0.00001011	0.00003248	-0.11099442	-0.37571773	-0.35489582	-0.34323745	0.06630261	0.06511905	0.06425972	0.06701711	0.00000000	0.00000000	0.07055574	0.02409758	0.00049617	0.00152196	0.01317809	0.02534179	0.00804690	0.05001042	0.01382263
CENTFERMPWY	CENTFERM-PWY: pyruvate fermentation to butanoate	N	-0.22498527	0.02945200	0.00000000	0.00000000	 0.13279347	 0.10884790	 0.17802935	 0.29297798	0.06668197	0.06502961	0.06416540	0.06696101	0.00047374	0.00056231	0.01015705	0.02031437	0.61201844	0.65266029	0.04390554	0.00447197	0.00070840	0.06296844	0.07040205
CITRULBIOPWY	CITRULBIO-PWY: L-citrulline biosynthesis	N	 0.05383563	0.02961323	0.06906935	0.10083386	-0.40548754	-0.61423309	-0.58731947	-0.61196767	0.06728147	0.06618061	0.06547033	0.06787847	0.00000000	0.00000000	0.03675074	0.02143940	0.06624167	0.08501806	0.02989161	0.00975995	0.01414496	0.03899606	0.00000052
COAPWY	COA-PWY: coenzyme A biosynthesis I (prokaryotic)	N	 0.08786043	0.03410164	0.00998259	0.01829026	 0.39859337	 0.57565333	 0.50296755	 0.73368933	0.06676585	0.06581032	0.06489920	0.06745612	0.00000000	0.00000000	0.05266443	0.02349682	0.01217811	0.02090958	0.00398075	0.03343976	0.01548529	0.04580844	0.02347989
COAPWY1	COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	N	 0.14184800	0.03840355	0.00022142	0.00055456	 0.28154367	 0.45964745	 0.38125135	 0.58143285	0.06844477	0.06763580	0.06655611	0.06907424	0.00000000	0.00000000	0.03520896	0.02134007	0.07639362	0.09566724	0.00714823	0.06051014	0.02264095	0.04581162	0.02485088
COLANSYNPWY	COLANSYN-PWY: colanic acid building blocks biosynthesis	N	 0.07908395	0.03403762	0.02015984	0.03461407	 0.01496831	 0.05789833	-0.05761842	 0.08867686	0.06319740	0.06227985	0.06178547	0.06400683	0.21747975	0.22489384	0.05718256	0.02266947	0.00333448	0.00711181	0.06291664	0.02526034	0.00147684	0.01814369	0.02118588
COMPLETEAROPWY	COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	N	-0.02629149	0.03057164	0.38975700	0.46837536	-0.42516233	-0.62480811	-0.45068809	-0.77214550	0.06744789	0.06664951	0.06586273	0.06818048	0.00000000	0.00000000	0.03435523	0.02244540	0.08002578	0.09975816	0.01144029	0.01665003	0.01239836	0.02849471	0.05224920
DAPLYSINESYNPWY	DAPLYSINESYN-PWY: L-lysine biosynthesis I	N	 0.31261775	0.03621288	0.00000000	0.00000000	-0.04473457	 0.23563609	 0.05342317	 0.59052501	0.07368443	0.07375559	0.07141629	0.07460628	0.00000000	0.00000000	0.10586108	0.02734601	0.00000244	0.00003699	0.02323708	0.04143183	0.05174719	0.04836681	0.02322657
DTDPRHAMSYNPWY	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	N	-0.13447928	0.03241243	0.00003347	0.00009617	-0.05437176	-0.16708690	-0.06770316	-0.30363102	0.07109692	0.06987927	0.06881689	0.07190867	0.00021885	0.00026672	0.08593300	0.02579562	0.00010671	0.00050229	0.02340059	0.01103206	0.01330542	0.06018681	0.00000018
FASYNELONGPWY	FASYN-ELONG-PWY: fatty acid elongation -- saturated	N	 0.20118764	0.02479565	0.00000000	0.00000000	 0.02931745	 0.09775381	 0.17773888	 0.47069883	0.07147804	0.07076269	0.06973736	0.07238888	0.00000000	0.00000000	0.04872139	0.02584006	0.04549020	0.06191364	0.00405692	0.00000008	0.02101449	0.03499504	0.05164256
FERMENTATIONPWY	FERMENTATION-PWY: mixed acid fermentation	N	-0.08156338	0.03269181	0.01259589	0.02247502	-0.22086097	-0.24178542	-0.27293139	-0.37975166	0.06844286	0.06764206	0.06678874	0.06943591	0.00000064	0.00000109	0.08469373	0.02609443	0.00006524	0.00033605	0.00896475	0.02099752	0.00825797	0.02969756	0.03758614
FUCCATPWY	FUCCAT-PWY: fucose degradation	N	 0.04921312	0.03009819	0.10206347	0.14362540	 0.00059185	 0.07814222	 0.13387414	 0.55168203	0.06804414	0.06679276	0.06601063	0.06869299	0.00000000	0.00000000	0.04446252	0.02385906	0.04192245	0.06017837	0.02097020	0.00859080	0.00536785	0.04407860	0.04651182
FUCRHAMCATPWY	FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	N	 0.16273463	0.02459513	0.00000000	0.00000000	 0.00944315	 0.06343830	 0.01900355	 0.35346348	0.07246533	0.07191598	0.07094772	0.07351266	0.00000687	0.00001014	0.06188655	0.02443752	0.00367442	0.00768783	0.00000009	0.00000009	0.02604048	0.02723817	0.00908354
GALACTARDEGPWY	GALACTARDEG-PWY: D-galactarate degradation I	N	 0.12829482	0.02649346	0.00000128	0.00000441	-0.08604299	 0.09020899	-0.12538549	 0.09485821	0.07246030	0.07162380	0.07075409	0.07330461	0.00877880	0.00982218	0.04052729	0.02410300	0.08146586	0.10063430	0.00525310	0.00176798	0.01987450	0.03257556	0.02710917
GALACTGLUCUROCATPWY	GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	N	-0.12170434	0.03523171	0.00055237	0.00132279	-0.22436528	-0.45828205	-0.44320844	-0.49250923	0.06022237	0.05898017	0.05849451	0.06077605	0.00000000	0.00000000	0.05171902	0.02025529	0.00139060	0.00335960	0.03144549	0.03300922	0.00000050	0.02955618	0.00058377
GALACTITOLCATPWY	GALACTITOLCAT-PWY: galactitol degradation	N	 0.01840083	0.03099887	0.55281403	0.61599278	-0.33052411	-0.27716973	-0.35948529	-0.33197171	0.06491265	0.06362043	0.06312401	0.06547372	0.00000000	0.00000001	0.04134116	0.02112588	0.02235372	0.03546135	0.02515616	0.01281555	0.00371878	0.03118976	0.00000045
GALACTUROCATPWY	GALACTUROCAT-PWY: D-galacturonate degradation I	N	-0.16711681	0.03449940	0.00000127	0.00000441	-0.19455776	-0.35723423	-0.35517812	-0.28432483	0.06439449	0.06302658	0.06224490	0.06489548	0.00000000	0.00000000	0.03991483	0.02134935	0.02395271	0.03758098	0.02609783	0.02406865	0.00087419	0.04926823	0.04827289
GLCMANNANAUTPWY	GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	N	 0.04741602	0.04022041	0.23874314	0.30743810	 0.19772332	-0.08112479	 0.32024026	 0.38259208	0.07051484	0.06934735	0.06825719	0.07104663	0.00000000	0.00000000	0.02990237	0.02086661	0.10916339	0.13128461	0.02712287	0.04338679	0.01397056	0.05812996	0.04541823
GLUCARDEGPWY	GLUCARDEG-PWY: D-glucarate degradation I	N	 0.12453770	0.02617367	0.00000191	0.00000645	-0.07356452	 0.09129870	-0.11449848	 0.08706394	0.07170600	0.07064869	0.06985070	0.07251280	0.01628397	0.01771125	0.04723196	0.02435033	0.04326175	0.06087865	0.00686144	0.00020948	0.01665629	0.03925202	0.01685064
GLUCARGALACTSUPERPWY	GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	N	 0.12829482	0.02649346	0.00000128	0.00000441	-0.08604299	 0.09020899	-0.12538549	 0.09485821	0.07246030	0.07162380	0.07075409	0.07330461	0.00877880	0.00982218	0.04052729	0.02410300	0.08146586	0.10063430	0.00525310	0.00176798	0.01987450	0.03257556	0.02710917
GLUCONEOPWY	GLUCONEO-PWY: gluconeogenesis I	N	-0.12153925	0.02428792	0.00000056	0.00000216	 0.14604831	 0.24413672	 0.26937139	 0.27073825	0.06450110	0.06371339	0.06334245	0.06561739	0.00001557	0.00002214	0.07570641	0.02576911	0.00024730	0.00102291	0.00518923	0.00239703	0.00000009	0.01136949	0.03646882
GLUCOSE1PMETABPWY	GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	N	 0.16329887	0.02570188	0.00000000	0.00000000	 0.06132639	 0.07164166	-0.01765516	 0.36407895	0.07108236	0.07008654	0.06924541	0.07200709	0.00000082	0.00000134	0.06985361	0.02504080	0.00105382	0.00273992	0.00000009	0.00000009	0.01630562	0.04031594	0.01987142
GLUCUROCATPWY	GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	N	-0.17758390	0.03500572	0.00000039	0.00000158	-0.19944395	-0.40346105	-0.34801314	-0.34131474	0.06664326	0.06538138	0.06455009	0.06720400	0.00000000	0.00000000	0.04506894	0.02069215	0.00628681	0.01183655	0.01348835	0.02689634	0.00834223	0.05138590	0.02316141
GLUDEGIPWY	GLUDEG-I-PWY: GABA shunt	N	-0.02669851	0.02633666	0.31062887	0.39079116	 0.23549617	 0.56425950	 0.55213667	 0.76110063	0.07761226	0.07717802	0.07523466	0.07864088	0.00000000	0.00000000	0.09921669	0.02850958	0.00002420	0.00018879	0.01284366	0.00000007	0.03581088	0.05428992	0.05955898
GLUTORNPWY	GLUTORN-PWY: L-ornithine biosynthesis I	N	-0.11997982	0.02976754	0.00005551	0.00015623	-0.39555918	-0.72995295	-0.62159284	-0.90806527	0.06349192	0.06261802	0.06191406	0.06427981	0.00000000	0.00000000	0.06333414	0.02471380	0.00219958	0.00500405	0.00000008	0.02137160	0.00958979	0.03298279	0.03381960
GLYCOCATPWY	GLYCOCAT-PWY: glycogen degradation I	N	-0.01123900	0.02518890	0.65480158	0.70656455	 0.05130083	 0.36058585	 0.26337377	 0.47188591	0.07095999	0.07041575	0.06929465	0.07203130	0.00000000	0.00000000	0.06739226	0.02695907	0.00360000	0.00761861	0.03519427	0.00135301	0.01338543	0.02778009	0.07951544
GLYCOGENSYNTHPWY	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	N	-0.18241070	0.03035837	0.00000000	0.00000001	-0.22845883	-0.61302394	-0.42753985	-0.61965619	0.06434484	0.06345114	0.06257089	0.06539229	0.00000000	0.00000000	0.11917581	0.02945029	0.00000046	0.00001267	0.00314050	0.01774321	0.00303659	0.03811930	0.04777885
GLYCOLYSIS	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	N	 0.04095422	0.02949715	0.16508703	0.22311267	 0.21338824	 0.34567584	 0.33227264	 0.27893691	0.06580467	0.06477420	0.06427109	0.06671627	0.00000004	0.00000007	0.07508975	0.02573614	0.00097885	0.00259443	0.00462528	0.01142848	0.00293998	0.02366577	0.01360411
GLYCOLYSISED	GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	N	 0.02546990	0.02565378	0.32079561	0.39989589	 0.23540402	 0.61301290	 0.57579959	 0.78641123	0.07432041	0.07378322	0.07221523	0.07543746	0.00000000	0.00000000	0.11423847	0.02910145	0.00000171	0.00002920	0.01045317	0.00000008	0.02705406	0.04771438	0.04368624
GLYOXYLATEBYPASS	GLYOXYLATE-BYPASS: glyoxylate cycle	N	 0.18497347	0.02828642	0.00000000	0.00000000	 0.08653345	 0.15051891	 0.05283516	 0.39156982	0.07686831	0.07640681	0.07484125	0.07781515	0.00000962	0.00001405	0.06360463	0.02442384	0.00142978	0.00339416	0.00000008	0.00459741	0.03599127	0.04363029	0.03721488
GOLPDLCATPWY	GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	N	-0.11200859	0.02652197	0.00002403	0.00007370	 0.14974814	 0.42028548	 0.27059385	 0.38019572	0.07613388	0.07541651	0.07410044	0.07708270	0.00000001	0.00000003	0.06334820	0.02467847	0.00382366	0.00784857	0.02399703	0.00000008	0.02893827	0.04464078	0.02065051
HEMESYN2PWY	HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	N	 0.18501445	0.02670194	0.00000000	0.00000000	-0.04901064	 0.01630454	-0.04120636	 0.39558394	0.07459651	0.07380530	0.07260908	0.07534135	0.00000001	0.00000001	0.02350409	0.02264826	0.25953734	0.28919875	0.00000008	0.00144429	0.02673565	0.04331561	0.06593608
HEXITOLDEGSUPERPWY	HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	N	 0.00546312	0.03179741	0.86358387	0.88630977	-0.12308031	 0.06172581	-0.01094038	 0.08136388	0.06827506	0.06678264	0.06611187	0.06857857	0.03369009	0.03621021	0.01453505	0.01714536	0.20946939	0.23827143	0.02863964	0.01058984	0.00942405	0.04706955	0.00000004
HISDEGPWY	HISDEG-PWY: L-histidine degradation I	N	-0.03584143	0.03392943	0.28991845	0.36812901	 0.13816965	 0.08552361	 0.24057495	 0.13201623	0.07189257	0.07061236	0.06930534	0.07281041	0.01399579	0.01540666	0.10201637	0.03056585	0.00026309	0.00105623	0.00914903	0.01371984	0.00309942	0.07136131	0.07676742
HISTSYNPWY	HISTSYN-PWY: L-histidine biosynthesis	N	-0.05773570	0.03146380	0.06651477	0.09815423	-0.16548458	-0.34983711	-0.37984761	-0.60855444	0.07286341	0.07216511	0.07105400	0.07370396	0.00000000	0.00000000	0.04548011	0.02502488	0.04884518	0.06568835	0.00000008	0.01630884	0.02098969	0.03651791	0.05409930
HSERMETANAPWY	HSERMETANA-PWY: L-methionine biosynthesis III	N	 0.02456762	0.03693208	0.50615872	0.57099723	 0.18951652	 0.25985123	 0.25054478	 0.18835913	0.06634549	0.06522894	0.06454198	0.06717133	0.00018522	0.00022984	0.07742811	0.02445255	0.00024193	0.00101611	0.00361405	0.04349064	0.00501855	0.03487135	0.00457993
ILEUSYNPWY	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	N	-0.01797209	0.03365688	0.59337781	0.65057086	-0.02544767	-0.42769389	-0.18320824	-0.16187060	0.07484016	0.07388006	0.07264157	0.07565357	0.00000004	0.00000007	0.06162923	0.02508888	0.00443505	0.00877368	0.00000008	0.01760056	0.02125040	0.05501199	0.03684007
KETOGLUCONMETPWY	KETOGLUCONMET-PWY: ketogluconate metabolism	N	 0.02668686	0.03091842	0.38815945	0.46837536	-0.32292275	-0.35988530	-0.33614888	-0.16515659	0.06312137	0.06210762	0.06175427	0.06384097	0.00000000	0.00000000	0.04665643	0.02107449	0.00981545	0.01728786	0.03328393	0.01635434	0.00243828	0.01693467	0.00214874
LACTOSECATPWY	LACTOSECAT-PWY: lactose and galactose degradation I	N	 0.05508564	0.02326998	0.01791952	0.03096221	 0.19065118	 0.63216126	 0.53684517	 0.71821196	0.06547116	0.06483866	0.06382346	0.06685914	0.00000000	0.00000000	0.16165843	0.03314930	0.00000000	0.00000032	0.01500469	0.00000007	0.00178592	0.02931879	0.06280761
METHACETATEPWY	METH-ACETATE-PWY: methanogenesis from acetate	N	-0.15932469	0.02795099	0.00000001	0.00000006	-0.03084143	-0.24251569	-0.17709274	-0.38128632	0.07154084	0.07072723	0.06967930	0.07233938	0.00000022	0.00000039	0.05152894	0.02159691	0.00325283	0.00700867	0.03593587	0.00481941	0.02381602	0.04120056	0.00839054
METSAMPWY	MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	N	 0.09392024	0.02988212	0.00167176	0.00368056	-0.01418933	 0.09722012	-0.07144513	 0.11660782	0.06998721	0.06869855	0.06794074	0.07080132	0.04804956	0.05144129	0.07667332	0.01827852	0.00041552	0.00135044	0.00000009	0.00644884	0.00953948	0.04703248	0.00000053
METSYNPWY	METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	N	 0.09315749	0.02989637	0.00183268	0.00400257	-0.01228239	 0.09610740	-0.07186632	 0.11213471	0.06974790	0.06844246	0.06769734	0.07055185	0.05482904	0.05847003	0.07603149	0.01823988	0.00041305	0.00135044	0.00000009	0.00651648	0.00896757	0.04695809	0.00000032
NAGLIPASYNPWY	NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	N	 0.07291583	0.02983028	0.01451008	0.02539264	-0.14794022	-0.02476179	-0.14607418	 0.11840902	0.07476649	0.07429349	0.07315400	0.07576156	0.00307878	0.00354644	0.06138470	0.02312032	0.00055168	0.00163706	0.00828643	0.00936013	0.02864314	0.02847285	0.00000011
NONMEVIPPPWY	NONMEVIPP-PWY: methylerythritol phosphate pathway I	N	-0.02045602	0.03518022	0.56058057	0.62210771	-0.30666339	-0.56970133	-0.47589512	-0.95709891	0.06575385	0.06512217	0.06407770	0.06681212	0.00000000	0.00000000	0.10598291	0.02944348	0.00001696	0.00015968	0.00975617	0.03968720	0.00598851	0.03157226	0.06975505
NONOXIPENTPWY	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	N	-0.05354818	0.03712908	0.14924018	0.20681507	-0.12546896	-0.35204742	-0.40365492	-0.23850273	0.06806611	0.06683109	0.06592345	0.06875147	0.00000000	0.00000000	0.06423579	0.02393347	0.00172841	0.00399878	0.01556276	0.03211684	0.00816793	0.05212216	0.01658222
OANTIGENPWY	OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	N	 0.15572875	0.03101925	0.00000051	0.00000199	 0.43154454	 0.60815672	 0.60544513	 0.82739199	0.06678488	0.06568273	0.06444690	0.06748271	0.00000000	0.00000000	0.07100616	0.02668830	0.00154734	0.00362607	0.00532884	0.01533513	0.01147950	0.07453703	0.07458721
P105PWY	P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	N	 0.07337459	0.02822335	0.00932238	0.01719600	-0.00712606	-0.05818198	-0.10229294	 0.14692216	0.07136384	0.07041926	0.06967842	0.07216700	0.01414131	0.01550433	0.04488193	0.02234733	0.02247184	0.03546135	0.00491184	0.00508925	0.01647907	0.03168305	0.01079704
P108PWY	P108-PWY: pyruvate fermentation to propanoate I	N	 0.01947860	0.02967664	0.51154766	0.57470169	-0.26109202	-0.23814529	-0.18977618	-0.34086547	0.07042091	0.06908982	0.06830494	0.07082254	0.00001842	0.00002570	0.00901729	0.01904726	0.63641816	0.67341922	0.02876428	0.00593879	0.01424520	0.04821211	0.02312242
P122PWY	P122-PWY: heterolactic fermentation	N	 0.08547950	0.02993664	0.00429900	0.00844336	-0.00714876	 0.15695562	 0.16057919	 0.51319324	0.07264308	0.07151238	0.07038223	0.07330323	0.00000000	0.00000000	0.05085444	0.01520707	0.00010536	0.00050229	0.05751168	0.00544283	0.02220653	0.06000667	0.00000046
P124PWY	P124-PWY: Bifidobacterium shunt	N	 0.06040025	0.02653289	0.02278267	0.03839302	 0.16125867	 0.49332422	 0.50269521	 0.75613197	0.07523490	0.07450287	0.07286228	0.07618528	0.00000000	0.00000000	0.09144150	0.02774510	0.00005595	0.00030955	0.01736639	0.00001108	0.02761309	0.06045151	0.05779552
P161PWY	P161-PWY: acetylene degradation (anaerobic)	N	 0.16106646	0.03283840	0.00000092	0.00000336	-0.25735475	-0.19527504	-0.28535198	 0.15528366	0.07324505	0.07262586	0.07140044	0.07392119	0.00000000	0.00000000	0.02063682	0.01960341	0.25435375	0.28458431	0.04671940	0.01796309	0.02947571	0.03739664	0.02846327
P164PWY	P164-PWY: purine nucleobases degradation I (anaerobic)	N	 0.00380630	0.03571978	0.91515679	0.93223061	-0.18087012	-0.38971805	-0.37040470	-0.32315312	0.06619785	0.06517220	0.06451888	0.06675381	0.00000000	0.00000000	0.02003356	0.01850320	0.19848151	0.22863060	0.04225656	0.03009049	0.00664140	0.02851449	0.04823306
P185PWY	P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	N	-0.07697672	0.02630984	0.00344953	0.00697572	-0.01644454	-0.13462375	-0.10798366	-0.29163517	0.06771540	0.06751530	0.06685079	0.06874554	0.00033389	0.00040332	0.03224835	0.02243514	0.12519740	0.14860387	0.00362589	0.00889323	0.01605204	0.00413345	0.02590597
P41PWY	P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	N	-0.10376269	0.04064600	0.01042964	0.01898194	-0.03960702	 0.13370026	-0.12880595	-0.18856861	0.06885002	0.06787978	0.06687410	0.06975979	0.00015587	0.00019609	0.08904618	0.02604158	0.00003932	0.00023854	0.01184198	0.05497880	0.00935682	0.04383086	0.02297240
P42PWY	P42-PWY: incomplete reductive TCA cycle	N	 0.05233019	0.03151073	0.09707214	0.13730929	-0.15345114	-0.18349436	-0.12252146	-0.24835426	0.06382100	0.06205872	0.06123146	0.06403316	0.00201775	0.00234402	0.03292548	0.01954915	0.06272720	0.08115888	0.05088334	0.00872586	0.00003995	0.06163090	0.00232949
P441PWY	P441-PWY: superpathway of N-acetylneuraminate degradation	N	 0.11641473	0.02798197	0.00003175	0.00009221	-0.02474672	 0.20567099	 0.17781599	 0.60882505	0.07374216	0.07291708	0.07161694	0.07453388	0.00000000	0.00000000	0.05918005	0.01606919	0.00002367	0.00018879	0.05457404	0.00318086	0.03014182	0.05263893	0.00000041
P461PWY	P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	N	-0.09759294	0.03413038	0.00424483	0.00839737	-0.11153689	-0.29553648	-0.24780344	-0.18089410	0.06632051	0.06514198	0.06448011	0.06695112	0.00002647	0.00003614	0.04319262	0.02127167	0.01416796	0.02410460	0.02380352	0.02276214	0.00436749	0.03488306	0.03119728
PANTOPWY	PANTO-PWY: phosphopantothenate biosynthesis I	N	 0.00147479	0.03598105	0.96735428	0.97449343	 0.05479926	 0.04846962	 0.12277225	-0.15933180	0.07046171	0.06943138	0.06837981	0.07150350	0.00198198	0.00231231	0.11143078	0.02918015	0.00002144	0.00018476	0.00128582	0.03016777	0.00687096	0.04767857	0.03588754
PANTOSYNPWY	PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	N	 0.03685409	0.03674042	0.31586303	0.39555324	 0.20394617	 0.25450465	 0.32275900	 0.16769500	0.06899393	0.06804071	0.06708938	0.07003000	0.00001709	0.00002406	0.11144275	0.02779396	0.00000592	0.00005985	0.00494199	0.03628397	0.00929679	0.04126524	0.00687786
PENTOSEPPWY	PENTOSE-P-PWY: pentose phosphate pathway	N	 0.18136038	0.03044552	0.00000000	0.00000001	 0.38657589	 0.41159669	 0.50075954	 0.70177392	0.06470527	0.06339751	0.06257619	0.06526008	0.00000000	0.00000000	0.05181863	0.02217141	0.00620758	0.01176854	0.01612751	0.01217987	0.00746697	0.05646215	0.02048109
PEPTIDOGLYCANSYNPWY	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	N	 0.07385567	0.04416841	0.09449979	0.13436690	-0.00197599	 0.11922887	 0.02816229	-0.04224261	0.07003495	0.06951511	0.06839935	0.07084856	0.26622835	0.27221101	0.04665342	0.02227149	0.02462392	0.03841331	0.00923203	0.10696077	0.02115982	0.02896101	0.02368897
PHOSLIPSYNPWY	PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	N	 0.18695124	0.02947101	0.00000000	0.00000000	 0.06531674	 0.13600644	 0.05254541	 0.38353540	0.07199848	0.07131387	0.07025515	0.07297584	0.00000212	0.00000332	0.07327709	0.02649139	0.00140575	0.00336640	0.00000008	0.00987805	0.01912323	0.03487422	0.03771205
