feature	age.months	founder	mean	SEM
Mailhella	M28	WSB	-0.397214964127807	0.222105072772868
1XD42-69	M5	A/J	0.0201429995088654	0.0946390637655506
1XD42-69	M5	BL6	-0.10248462804206	0.095035518964115
1XD42-69	M5	129S1	-0.0573191573887165	0.0888637408310228
1XD42-69	M5	NOD	0.0534411000781868	0.0921641052420751
1XD42-69	M5	NZO	-0.00120092008025175	0.105604513501002
1XD42-69	M5	CAST	-0.0365642490508192	0.0902391566621981
1XD42-69	M5	PWK	0.055264110562106	0.092509653227016
1XD42-69	M5	WSB	0.0687207444127201	0.0986802849019483
1XD42-69	M10	A/J	-0.00125187728602684	0.109597426779692
1XD42-69	M10	BL6	-0.097681931027143	0.112275445991944
1XD42-69	M10	129S1	-0.00125941162262643	0.108514630400633
1XD42-69	M10	NOD	-0.0461104728099282	0.107790905820193
1XD42-69	M10	NZO	-0.00695684400480163	0.12469594226943
1XD42-69	M10	CAST	0.112153322082491	0.113344776289824
1XD42-69	M10	PWK	0.114769934723532	0.111749127531196
1XD42-69	M10	WSB	-0.0736627200554971	0.116155753785737
1XD42-69	M16	A/J	0.182891721506277	0.159323234769162
1XD42-69	M16	BL6	-0.410563931109461	0.160375685228956
1XD42-69	M16	129S1	0.254014424798392	0.158026345358129
1XD42-69	M16	NOD	0.273619281618006	0.15865551175588
1XD42-69	M16	NZO	-0.0887194721474224	0.243052127707134
1XD42-69	M16	CAST	0.25238951120322	0.192903276163124
1XD42-69	M16	PWK	-0.463521304783717	0.162063843705224
1XD42-69	M16	WSB	-0.000110231085099612	0.16490900340663
1XD42-69	M22	A/J	0	0
1XD42-69	M22	BL6	0	0
1XD42-69	M22	129S1	0	0
1XD42-69	M22	NOD	0	0
1XD42-69	M22	NZO	0	0
1XD42-69	M22	CAST	0	0
1XD42-69	M22	PWK	0	0
1XD42-69	M22	WSB	0	0
1XD42-69	M28	A/J	-0.0745565522619417	0.122735871834561
1XD42-69	M28	BL6	-0.0408847255558906	0.126426796397379
1XD42-69	M28	129S1	0.0612868554178527	0.121584229506257
1XD42-69	M28	NOD	0.00459747179513621	0.123108621558991
1XD42-69	M28	NZO	-0.0489552519970024	0.127082592150531
1XD42-69	M28	CAST	0.180617403286763	0.125099752287906
1XD42-69	M28	PWK	-0.0642596824950798	0.125306808855981
1XD42-69	M28	WSB	-0.0178455181897972	0.128210706162276
Angelakisella	M5	A/J	-0.375238692778888	0.211064335923272
Angelakisella	M5	BL6	0.0259571048191875	0.303560048079238
Angelakisella	M5	129S1	-0.121053766404351	0.207195379958989
Angelakisella	M5	NOD	0.245868914516907	0.280887757903684
Angelakisella	M5	NZO	0.0640502256505265	0.199604034839218
Angelakisella	M5	CAST	0.619238857619558	0.185635697161152
Angelakisella	M5	PWK	-0.01000776475797	0.212127633667955
Angelakisella	M5	WSB	-0.448814878665042	0.203298845986215
Angelakisella	M10	A/J	0	0
Angelakisella	M10	BL6	0	0
Angelakisella	M10	129S1	0	0
Angelakisella	M10	NOD	0	0
Angelakisella	M10	NZO	0	0
Angelakisella	M10	CAST	0	0
Angelakisella	M10	PWK	0	0
Angelakisella	M10	WSB	0	0
Angelakisella	M16	A/J	0.0462705246591665	0.0940996371918505
Angelakisella	M16	BL6	0.0658713329831843	0.0936736946843694
Angelakisella	M16	129S1	0.00109441342868236	0.0916726826674011
Angelakisella	M16	NOD	0.0777571270247748	0.0919372815549157
Angelakisella	M16	NZO	-0.0154994271306626	0.089985206248833
Angelakisella	M16	CAST	-0.0344801446212739	0.0873944363292899
Angelakisella	M16	PWK	-0.051282535927685	0.0942302702190155
Angelakisella	M16	WSB	-0.0897312904161812	0.0945570493242569
Angelakisella	M22	A/J	0.0407940896049655	0.0805651075342464
Angelakisella	M22	BL6	0.0660281802853922	0.0819991576222239
Angelakisella	M22	129S1	-0.0246010694902286	0.0794240834243814
Angelakisella	M22	NOD	-0.0113389962118802	0.0810574279286334
Angelakisella	M22	NZO	-0.0240128447667003	0.0780748771729681
Angelakisella	M22	CAST	-0.0191920394002278	0.0776176117224483
Angelakisella	M22	PWK	0.0173841834070301	0.0801865587801334
Angelakisella	M22	WSB	-0.0450615034283213	0.0800037576208627
Angelakisella	M28	A/J	-0.0502526387801646	0.118556162204513
Angelakisella	M28	BL6	0.0039848924702968	0.121600571799406
Angelakisella	M28	129S1	-0.0912749871619191	0.116780792717949
Angelakisella	M28	NOD	0.0185466856188644	0.112560988920679
Angelakisella	M28	NZO	-0.0316377172839161	0.114763348479914
Angelakisella	M28	CAST	-0.0176577229331377	0.111765895904224
Angelakisella	M28	PWK	0.0164590662405919	0.11989948453133
Angelakisella	M28	WSB	0.151832421829388	0.121291401452303
