Diet.5mo.as.AL,relab
20,0.00157994
40,0.00157981
20,0.00157947
20,0.00157811
40,0.00157625
20,0.00157492
20,0.00157325
20,0.00157196
40,0.00157117
40,0.00156904
20,0.00156781
40,0.00155857
40,0.00155731
40,0.00155319
AL,0.00154816
40,0.00154672
40,0.00154559
40,0.00154486
1D,0.00154483
40,0.00152626
20,0.00152055
40,0.00151977
2D,0.00151811
20,0.00151424
40,0.00151412
40,0.00151211
AL,0.00151128
1D,0.00151019
40,0.00150847
AL,0.00150228
40,0.00150114
40,0.00150057
20,0.00149591
40,0.00149442
20,0.00149343
2D,0.00149195
40,0.00148761
1D,0.00148202
20,0.00148150
1D,0.00148043
40,0.00147904
20,0.00147524
2D,0.00147523
20,0.00147415
20,0.00146811
2D,0.00146792
40,0.00146730
20,0.00146313
20,0.00146307
AL,0.00146087
1D,0.00146037
40,0.00145879
40,0.00145707
40,0.00145655
40,0.00145321
40,0.00145313
20,0.00145307
40,0.00144986
40,0.00144877
1D,0.00144459
2D,0.00144418
1D,0.00144152
2D,0.00144094
40,0.00143890
20,0.00143389
AL,0.00143292
1D,0.00143097
40,0.00142860
20,0.00142733
40,0.00141634
40,0.00141369
2D,0.00141207
2D,0.00141128
20,0.00141101
40,0.00141095
20,0.00140834
2D,0.00140769
20,0.00140701
40,0.00140532
20,0.00140258
40,0.00140214
1D,0.00140074
2D,0.00139655
40,0.00139437
40,0.00139333
40,0.00139208
40,0.00139153
40,0.00139124
40,0.00138583
1D,0.00138539
40,0.00138515
1D,0.00138056
2D,0.00137852
40,0.00137669
1D,0.00137420
2D,0.00137204
1D,0.00137104
AL,0.00136835
40,0.00136749
20,0.00136631
40,0.00136150
2D,0.00136052
20,0.00135453
40,0.00135402
2D,0.00135166
40,0.00134888
20,0.00134804
40,0.00134498
20,0.00134184
20,0.00134178
40,0.00134128
40,0.00133683
2D,0.00133597
2D,0.00133235
20,0.00132652
40,0.00132598
40,0.00132504
20,0.00132420
2D,0.00132267
AL,0.00132185
1D,0.00131923
2D,0.00131921
2D,0.00131809
2D,0.00131774
20,0.00131745
2D,0.00131591
2D,0.00131533
40,0.00131253
40,0.00131221
20,0.00131005
40,0.00130900
20,0.00130555
40,0.00130219
40,0.00130008
40,0.00129930
40,0.00129916
AL,0.00129536
20,0.00129499
1D,0.00129080
AL,0.00128862
20,0.00128796
40,0.00128308
40,0.00127984
2D,0.00127979
40,0.00127972
AL,0.00127883
40,0.00127726
2D,0.00127694
2D,0.00127687
1D,0.00127540
20,0.00127408
1D,0.00127312
1D,0.00127038
40,0.00126670
40,0.00126637
2D,0.00126462
40,0.00126221
40,0.00126102
40,0.00125701
20,0.00125682
40,0.00125620
20,0.00125480
20,0.00125269
20,0.00125115
40,0.00124652
1D,0.00124575
1D,0.00124302
20,0.00124269
2D,0.00124234
2D,0.00124127
2D,0.00124077
20,0.00123859
40,0.00123787
20,0.00123742
40,0.00123712
2D,0.00123641
1D,0.00123306
20,0.00123242
20,0.00122919
20,0.00122914
40,0.00122556
2D,0.00122380
40,0.00122102
20,0.00122026
40,0.00121786
20,0.00121547
2D,0.00121545
20,0.00121073
1D,0.00120522
40,0.00120444
20,0.00119955
40,0.00119267
40,0.00119179
40,0.00118948
40,0.00118750
40,0.00118619
20,0.00118516
40,0.00118301
20,0.00118151
20,0.00118109
40,0.00118030
20,0.00117616
20,0.00117602
1D,0.00117300
2D,0.00117280
AL,0.00117222
1D,0.00117097
40,0.00116250
20,0.00116112
20,0.00116109
20,0.00116090
20,0.00116065
1D,0.00115619
40,0.00115395
40,0.00115153
2D,0.00114853
40,0.00114799
40,0.00114777
20,0.00114549
40,0.00114374
1D,0.00114268
20,0.00114256
40,0.00114133
20,0.00114122
40,0.00114069
40,0.00113951
40,0.00113751
1D,0.00113700
2D,0.00113651
40,0.00113478
40,0.00113299
2D,0.00112925
AL,0.00112753
AL,0.00112618
20,0.00112034
40,0.00111978
2D,0.00111946
2D,0.00111926
2D,0.00111822
20,0.00111712
2D,0.00111444
20,0.00111383
40,0.00111205
40,0.00111040
2D,0.00110854
40,0.00110756
2D,0.00110727
2D,0.00110320
2D,0.00110230
40,0.00110036
40,0.00110004
20,0.00109999
40,0.00109604
40,0.00109591
1D,0.00109578
40,0.00109577
20,0.00109300
40,0.00109281
40,0.00109025
40,0.00108858
2D,0.00108677
40,0.00108602
40,0.00108592
20,0.00108511
20,0.00108408
2D,0.00108160
20,0.00108129
2D,0.00108069
40,0.00107695
2D,0.00107671
1D,0.00107146
40,0.00107116
40,0.00106611
40,0.00106386
1D,0.00106265
40,0.00105625
AL,0.00105600
2D,0.00105585
40,0.00105474
20,0.00105450
2D,0.00105389
40,0.00105329
40,0.00104634
40,0.00104534
40,0.00104499
AL,0.00104471
2D,0.00103817
40,0.00103735
40,0.00103720
40,0.00103538
2D,0.00103482
1D,0.00103346
2D,0.00103229
20,0.00103149
40,0.00102872
20,0.00102729
40,0.00102638
40,0.00102551
40,0.00102497
40,0.00102322
40,0.00101724
20,0.00101540
40,0.00101518
2D,0.00101410
20,0.00101317
40,0.00101279
20,0.00101082
20,0.00101030
20,0.00100829
40,0.00100722
40,0.00100359
2D,0.00100169
20,0.00100117
40,0.00100025
40,0.00099983
40,0.00099881
40,0.00099825
40,0.00099676
20,0.00099638
20,0.00099634
40,0.00099622
20,0.00099618
2D,0.00099382
40,0.00099381
1D,0.00099379
20,0.00099016
1D,0.00098916
40,0.00098878
20,0.00098837
20,0.00098766
2D,0.00098626
20,0.00098221
1D,0.00098196
1D,0.00098188
20,0.00098121
40,0.00098032
40,0.00098025
40,0.00098019
20,0.00097967
2D,0.00097710
2D,0.00097631
40,0.00097557
1D,0.00097480
40,0.00097257
20,0.00097205
1D,0.00097156
40,0.00096546
AL,0.00096497
2D,0.00096484
40,0.00096402
AL,0.00096190
40,0.00096066
1D,0.00095538
20,0.00095490
1D,0.00094859
1D,0.00094657
2D,0.00094384
AL,0.00094273
40,0.00094244
AL,0.00094068
2D,0.00093908
2D,0.00093762
40,0.00093754
40,0.00093637
1D,0.00093259
20,0.00093225
40,0.00093149
40,0.00092877
20,0.00092478
AL,0.00092460
40,0.00092350
20,0.00091930
2D,0.00091896
40,0.00091761
AL,0.00091740
2D,0.00091729
2D,0.00091612
20,0.00091538
2D,0.00091185
20,0.00090997
1D,0.00090924
40,0.00090614
AL,0.00090594
AL,0.00090475
1D,0.00090425
20,0.00090259
2D,0.00090131
20,0.00089977
AL,0.00089818
1D,0.00089818
40,0.00089725
1D,0.00089376
2D,0.00089307
AL,0.00089268
2D,0.00089219
1D,0.00088987
20,0.00088918
1D,0.00088870
1D,0.00088802
1D,0.00088564
2D,0.00088541
40,0.00088530
2D,0.00088326
20,0.00088241
1D,0.00088233
2D,0.00088222
20,0.00088150
20,0.00088110
20,0.00088028
2D,0.00087409
20,0.00087173
2D,0.00087056
40,0.00087051
40,0.00086943
20,0.00086884
40,0.00086881
40,0.00086849
2D,0.00086793
20,0.00086695
AL,0.00086689
40,0.00086617
1D,0.00086533
1D,0.00086497
40,0.00086493
2D,0.00086304
20,0.00086263
40,0.00086227
AL,0.00086186
2D,0.00086149
1D,0.00086147
2D,0.00086033
40,0.00085984
2D,0.00085866
20,0.00085845
1D,0.00085712
1D,0.00085648
AL,0.00085556
40,0.00085481
20,0.00085393
20,0.00085387
1D,0.00084980
40,0.00084963
1D,0.00084958
1D,0.00084866
20,0.00084854
2D,0.00084819
1D,0.00084775
20,0.00084759
1D,0.00084726
20,0.00084687
AL,0.00084456
40,0.00084374
20,0.00084333
2D,0.00084270
1D,0.00084155
AL,0.00084087
2D,0.00083989
40,0.00083957
1D,0.00083688
20,0.00083680
20,0.00083675
2D,0.00083658
1D,0.00083581
2D,0.00083436
2D,0.00083431
1D,0.00083403
20,0.00083326
20,0.00083161
40,0.00083095
40,0.00082753
2D,0.00082745
2D,0.00082739
2D,0.00082563
2D,0.00082434
2D,0.00082390
40,0.00082375
2D,0.00082220
20,0.00082102
40,0.00082080
2D,0.00082021
20,0.00081979
40,0.00081946
AL,0.00081906
2D,0.00081761
2D,0.00081707
20,0.00081672
20,0.00081575
1D,0.00081462
1D,0.00081450
1D,0.00081364
20,0.00081315
40,0.00081279
20,0.00081261
40,0.00081210
20,0.00081146
AL,0.00081067
2D,0.00080909
2D,0.00080835
20,0.00080516
40,0.00080410
AL,0.00080358
20,0.00080319
AL,0.00080284
AL,0.00080010
2D,0.00079918
20,0.00079904
20,0.00079755
2D,0.00079684
20,0.00079485
2D,0.00079432
2D,0.00079362
20,0.00079079
40,0.00079072
1D,0.00078646
40,0.00078576
20,0.00078567
2D,0.00078282
20,0.00078265
20,0.00078186
20,0.00077879
AL,0.00077853
40,0.00077687
1D,0.00077438
40,0.00077129
40,0.00076957
40,0.00076925
20,0.00076802
20,0.00076668
1D,0.00076604
1D,0.00076370
40,0.00076276
1D,0.00076262
40,0.00076152
2D,0.00076125
AL,0.00076043
40,0.00075917
40,0.00075676
20,0.00075665
40,0.00075517
2D,0.00075462
AL,0.00074928
20,0.00074895
1D,0.00074860
2D,0.00074574
40,0.00074566
20,0.00074427
20,0.00074296
40,0.00074139
2D,0.00074034
1D,0.00074011
40,0.00074007
AL,0.00073919
2D,0.00073697
2D,0.00073617
40,0.00073602
40,0.00073271
1D,0.00072951
1D,0.00072879
40,0.00072719
40,0.00072704
20,0.00072420
40,0.00072302
1D,0.00072123
20,0.00072012
1D,0.00071876
20,0.00071873
1D,0.00071704
2D,0.00071534
1D,0.00071531
2D,0.00071155
2D,0.00070999
40,0.00070917
2D,0.00070884
2D,0.00070868
2D,0.00070826
AL,0.00070745
AL,0.00070681
20,0.00070648
AL,0.00070600
40,0.00070285
40,0.00070169
20,0.00070134
1D,0.00070134
40,0.00069984
AL,0.00069829
20,0.00069806
20,0.00069798
2D,0.00069658
1D,0.00069614
40,0.00069590
40,0.00069531
AL,0.00069476
20,0.00069399
20,0.00069284
AL,0.00069252
2D,0.00069113
2D,0.00069098
1D,0.00069085
2D,0.00069028
1D,0.00068690
40,0.00068652
1D,0.00068518
20,0.00068500
1D,0.00068464
2D,0.00068446
2D,0.00068382
1D,0.00068250
40,0.00068101
2D,0.00068000
20,0.00067641
20,0.00067640
2D,0.00067572
40,0.00067528
1D,0.00067525
20,0.00067523
40,0.00067506
1D,0.00067412
20,0.00067306
2D,0.00067107
40,0.00067070
40,0.00067031
AL,0.00066987
40,0.00066914
AL,0.00066892
1D,0.00066675
40,0.00066492
1D,0.00066399
20,0.00066273
AL,0.00066236
40,0.00066229
2D,0.00066108
2D,0.00066034
1D,0.00065938
1D,0.00065907
2D,0.00065879
40,0.00065851
AL,0.00065822
1D,0.00065785
20,0.00065575
2D,0.00065471
20,0.00065365
40,0.00065263
20,0.00065143
AL,0.00064935
20,0.00064819
AL,0.00064675
1D,0.00064657
40,0.00064586
1D,0.00064541
20,0.00064510
1D,0.00064284
2D,0.00064223
1D,0.00064124
2D,0.00064018
1D,0.00063985
2D,0.00063949
1D,0.00063914
40,0.00063879
AL,0.00063808
40,0.00063721
1D,0.00063638
1D,0.00063634
AL,0.00063595
20,0.00063567
2D,0.00063558
1D,0.00063420
1D,0.00063413
AL,0.00063374
40,0.00063322
AL,0.00063197
AL,0.00063137
2D,0.00063131
2D,0.00063128
20,0.00063119
2D,0.00063069
AL,0.00063035
20,0.00062950
1D,0.00062930
1D,0.00062921
2D,0.00062630
1D,0.00062606
1D,0.00062346
AL,0.00062312
2D,0.00062304
20,0.00062257
AL,0.00062237
AL,0.00062209
2D,0.00062136
1D,0.00062091
20,0.00061942
AL,0.00061930
40,0.00061743
1D,0.00061524
AL,0.00061468
2D,0.00061436
2D,0.00061435
2D,0.00061241
1D,0.00061239
40,0.00061118
20,0.00060769
2D,0.00060641
20,0.00060634
40,0.00060625
2D,0.00060596
1D,0.00060595
20,0.00060519
20,0.00060442
1D,0.00060440
40,0.00060406
2D,0.00060313
20,0.00060303
AL,0.00060243
AL,0.00060185
2D,0.00060122
40,0.00060115
2D,0.00060086
1D,0.00060035
20,0.00059953
40,0.00059899
AL,0.00059861
2D,0.00059720
20,0.00059705
20,0.00059490
20,0.00059321
2D,0.00059209
2D,0.00059015
20,0.00058969
AL,0.00058922
40,0.00058922
20,0.00058879
40,0.00058833
AL,0.00058742
20,0.00058539
20,0.00058475
AL,0.00058372
40,0.00058319
AL,0.00058257
2D,0.00058244
40,0.00058117
1D,0.00058109
AL,0.00058095
2D,0.00057905
2D,0.00057838
2D,0.00057825
2D,0.00057820
1D,0.00057796
2D,0.00057794
20,0.00057789
AL,0.00057659
AL,0.00057657
40,0.00057555
1D,0.00057440
40,0.00057438
2D,0.00057351
20,0.00057341
AL,0.00057300
20,0.00057264
AL,0.00057195
1D,0.00057184
1D,0.00057143
2D,0.00057114
20,0.00057102
1D,0.00057049
2D,0.00057015
2D,0.00057011
1D,0.00057000
2D,0.00056932
AL,0.00056859
40,0.00056835
1D,0.00056802
20,0.00056756
1D,0.00056722
2D,0.00056689
2D,0.00056580
2D,0.00056579
40,0.00056473
AL,0.00056328
40,0.00056278
2D,0.00056225
20,0.00056034
AL,0.00056030
1D,0.00056003
1D,0.00055966
AL,0.00055835
2D,0.00055811
1D,0.00055800
2D,0.00055766
2D,0.00055630
2D,0.00055621
40,0.00055445
40,0.00055379
20,0.00055287
40,0.00055255
AL,0.00055229
2D,0.00055221
20,0.00055188
20,0.00055071
20,0.00055058
AL,0.00055058
40,0.00054997
2D,0.00054863
2D,0.00054860
40,0.00054663
AL,0.00054626
AL,0.00054597
20,0.00054538
AL,0.00054483
AL,0.00054481
AL,0.00054381
40,0.00054356
2D,0.00054327
2D,0.00054136
1D,0.00054102
2D,0.00053955
40,0.00053953
40,0.00053694
2D,0.00053662
2D,0.00053465
AL,0.00053417
40,0.00053313
AL,0.00053303
AL,0.00053203
AL,0.00053189
AL,0.00053158
1D,0.00053085
1D,0.00053069
40,0.00053037
40,0.00053024
1D,0.00053007
40,0.00052997
2D,0.00052942
40,0.00052776
AL,0.00052712
AL,0.00052702
AL,0.00052331
AL,0.00052128
20,0.00052087
20,0.00051917
2D,0.00051781
1D,0.00051693
2D,0.00051517
2D,0.00051459
AL,0.00051339
40,0.00051291
2D,0.00051211
AL,0.00051172
20,0.00051086
1D,0.00051070
20,0.00051040
1D,0.00051011
AL,0.00050967
AL,0.00050837
20,0.00050676
2D,0.00050656
AL,0.00050612
40,0.00050599
1D,0.00050582
2D,0.00050495
AL,0.00050481
20,0.00050118
40,0.00050084
40,0.00049994
1D,0.00049983
AL,0.00049912
20,0.00049885
2D,0.00049838
2D,0.00049803
2D,0.00049761
1D,0.00049645
20,0.00049600
AL,0.00049473
AL,0.00049265
AL,0.00049264
20,0.00049230
1D,0.00049029
AL,0.00048774
2D,0.00048760
2D,0.00048739
2D,0.00048663
2D,0.00048639
2D,0.00048578
1D,0.00048529
AL,0.00048520
20,0.00048479
AL,0.00048461
AL,0.00048410
AL,0.00048322
40,0.00048230
2D,0.00048207
AL,0.00048131
2D,0.00048077
1D,0.00048076
AL,0.00048064
1D,0.00047897
20,0.00047888
AL,0.00047796
2D,0.00047751
20,0.00047731
AL,0.00047551
2D,0.00047503
AL,0.00047464
1D,0.00047400
20,0.00047371
20,0.00047165
AL,0.00047162
2D,0.00047050
AL,0.00047029
AL,0.00046994
40,0.00046994
40,0.00046950
1D,0.00046939
1D,0.00046924
AL,0.00046903
2D,0.00046859
AL,0.00046784
2D,0.00046764
AL,0.00046731
AL,0.00046666
AL,0.00046490
20,0.00046469
40,0.00046442
20,0.00046331
40,0.00046283
40,0.00046236
AL,0.00046203
20,0.00046177
2D,0.00046097
20,0.00045972
20,0.00045902
AL,0.00045893
2D,0.00045850
20,0.00045784
1D,0.00045779
2D,0.00045621
2D,0.00045536
1D,0.00045536
AL,0.00045523
2D,0.00045519
1D,0.00045484
2D,0.00045058
20,0.00045040
AL,0.00045035
2D,0.00045001
AL,0.00044996
2D,0.00044960
AL,0.00044942
2D,0.00044902
AL,0.00044852
1D,0.00044843
AL,0.00044803
20,0.00044709
1D,0.00044662
40,0.00044647
AL,0.00044582
1D,0.00044505
AL,0.00044469
2D,0.00044317
1D,0.00044216
AL,0.00044211
AL,0.00044181
AL,0.00044106
1D,0.00044037
40,0.00043993
2D,0.00043969
AL,0.00043922
AL,0.00043902
AL,0.00043898
1D,0.00043858
40,0.00043812
AL,0.00043805
20,0.00043759
40,0.00043751
1D,0.00043650
AL,0.00043514
40,0.00043457
AL,0.00043381
AL,0.00043353
AL,0.00043341
1D,0.00043341
20,0.00043274
2D,0.00043260
20,0.00043191
AL,0.00043177
20,0.00043163
1D,0.00043161
1D,0.00043084
1D,0.00043050
AL,0.00043049
1D,0.00043047
1D,0.00042935
AL,0.00042932
2D,0.00042907
AL,0.00042803
1D,0.00042801
AL,0.00042737
40,0.00042732
AL,0.00042689
AL,0.00042678
AL,0.00042652
20,0.00042613
2D,0.00042565
AL,0.00042557
40,0.00042462
AL,0.00042437
2D,0.00042364
1D,0.00042284
2D,0.00042260
AL,0.00042233
1D,0.00042211
40,0.00042116
AL,0.00042046
40,0.00042015
AL,0.00041956
1D,0.00041760
20,0.00041701
AL,0.00041561
40,0.00041478
20,0.00041436
20,0.00041415
1D,0.00041397
AL,0.00041394
AL,0.00041372
1D,0.00041246
20,0.00041244
AL,0.00041238
20,0.00041234
2D,0.00041228
20,0.00041191
40,0.00041180
1D,0.00041136
1D,0.00041094
AL,0.00041065
AL,0.00041036
20,0.00041007
AL,0.00040955
AL,0.00040930
20,0.00040905
2D,0.00040757
20,0.00040752
1D,0.00040746
AL,0.00040713
20,0.00040699
1D,0.00040601
1D,0.00040505
2D,0.00040464
1D,0.00040460
2D,0.00040421
1D,0.00040387
AL,0.00040379
AL,0.00040303
2D,0.00040277
1D,0.00040251
2D,0.00040208
2D,0.00040115
1D,0.00040111
40,0.00040102
AL,0.00040008
1D,0.00040003
AL,0.00039907
AL,0.00039879
20,0.00039818
AL,0.00039815
AL,0.00039800
AL,0.00039707
1D,0.00039704
1D,0.00039681
AL,0.00039610
AL,0.00039535
AL,0.00039524
AL,0.00039510
2D,0.00039426
2D,0.00039379
40,0.00039217
40,0.00039151
20,0.00039090
20,0.00039045
20,0.00038986
40,0.00038976
2D,0.00038951
2D,0.00038932
2D,0.00038897
2D,0.00038878
20,0.00038765
AL,0.00038749
AL,0.00038748
40,0.00038731
2D,0.00038688
1D,0.00038687
2D,0.00038653
AL,0.00038632
AL,0.00038621
AL,0.00038603
AL,0.00038602
20,0.00038593
AL,0.00038589
AL,0.00038534
AL,0.00038532
AL,0.00038369
40,0.00038348
AL,0.00038336
40,0.00038311
AL,0.00038295
AL,0.00038291
AL,0.00038278
2D,0.00038267
AL,0.00038014
1D,0.00037889
2D,0.00037848
40,0.00037816
1D,0.00037770
AL,0.00037767
AL,0.00037749
AL,0.00037669
1D,0.00037666
AL,0.00037541
AL,0.00037412
1D,0.00037387
AL,0.00037376
AL,0.00037353
2D,0.00037343
AL,0.00037275
AL,0.00037197
20,0.00037116
AL,0.00037091
1D,0.00037088
1D,0.00037002
AL,0.00036997
2D,0.00036983
1D,0.00036957
AL,0.00036947
2D,0.00036813
40,0.00036811
1D,0.00036809
AL,0.00036766
AL,0.00036766
2D,0.00036757
AL,0.00036709
1D,0.00036610
1D,0.00036578
40,0.00036466
1D,0.00036440
AL,0.00036351
1D,0.00036329
AL,0.00036319
AL,0.00036304
AL,0.00036269
20,0.00036248
20,0.00036238
AL,0.00036216
2D,0.00036188
AL,0.00036186
1D,0.00036175
40,0.00036146
40,0.00036117
2D,0.00036093
AL,0.00036027
20,0.00036018
20,0.00035975
1D,0.00035903
AL,0.00035862
AL,0.00035847
40,0.00035839
2D,0.00035782
2D,0.00035775
AL,0.00035757
AL,0.00035754
40,0.00035733
1D,0.00035680
1D,0.00035640
1D,0.00035631
AL,0.00035541
1D,0.00035525
20,0.00035400
AL,0.00035370
20,0.00035323
AL,0.00035274
40,0.00035272
2D,0.00035097
AL,0.00035087
AL,0.00035082
AL,0.00035005
2D,0.00034985
2D,0.00034968
AL,0.00034889
1D,0.00034809
AL,0.00034809
AL,0.00034764
AL,0.00034735
AL,0.00034721
1D,0.00034645
AL,0.00034638
2D,0.00034621
2D,0.00034603
AL,0.00034565
1D,0.00034564
20,0.00034541
AL,0.00034480
AL,0.00034473
AL,0.00034432
1D,0.00034421
1D,0.00034418
1D,0.00034396
AL,0.00034367
20,0.00034349
2D,0.00034319
AL,0.00034309
20,0.00034281
2D,0.00034243
2D,0.00034209
AL,0.00034203
2D,0.00034140
AL,0.00034034
1D,0.00034024
2D,0.00034011
40,0.00033973
1D,0.00033914
1D,0.00033903
AL,0.00033887
1D,0.00033883
AL,0.00033870
1D,0.00033795
2D,0.00033783
AL,0.00033687
20,0.00033666
20,0.00033496
AL,0.00033476
AL,0.00033332
AL,0.00033237
20,0.00033172
AL,0.00033097
2D,0.00032914
1D,0.00032905
1D,0.00032842
AL,0.00032787
1D,0.00032751
2D,0.00032697
1D,0.00032672
20,0.00032646
2D,0.00032581
AL,0.00032545
2D,0.00032531
AL,0.00032506
2D,0.00032482
AL,0.00032362
AL,0.00032345
2D,0.00032333
AL,0.00032214
AL,0.00032207
AL,0.00032169
AL,0.00032166
40,0.00032141
40,0.00032138
1D,0.00032128
1D,0.00032122
20,0.00032115
20,0.00032092
2D,0.00032089
AL,0.00032059
AL,0.00032037
2D,0.00031923
1D,0.00031890
1D,0.00031881
1D,0.00031865
AL,0.00031758
AL,0.00031622
2D,0.00031606
AL,0.00031580
20,0.00031553
1D,0.00031484
2D,0.00031469
40,0.00031410
AL,0.00031409
AL,0.00031388
AL,0.00031374
1D,0.00031366
AL,0.00031345
AL,0.00031268
AL,0.00031222
20,0.00031187
AL,0.00031171
20,0.00031159
AL,0.00031145
1D,0.00031143
40,0.00031107
1D,0.00031086
