feature,feature.order,solution,std.error,is.sig,DR
CAG56, 23, 0.12917594,0.07333848,TRUE,2D
CAG56, 23,-0.16624601,0.07128278,TRUE,20
CAG56, 23,-0.60239245,0.07397789,TRUE,40
CAG582, 79, 0.08924019,0.07665915,TRUE,1D
CAG582, 79, 0.07709530,0.07702138,TRUE,2D
CAG582, 79, 0.10990121,0.07458169,TRUE,20
CAG582, 79, 0.40237785,0.07777888,TRUE,40
CAG776, 81, 0.23115538,0.07815053,TRUE,1D
CAG776, 81, 0.10932348,0.07840740,TRUE,2D
CAG776, 81, 0.16597306,0.07603339,TRUE,20
CAG776, 81, 0.42626338,0.07922933,TRUE,40
CAG81, 33,-0.27967928,0.07870632,TRUE,1D
CAG81, 33,-0.28164725,0.07949984,TRUE,2D
CAG81, 33,-0.28038072,0.07701553,TRUE,20
CAG81, 33,-0.40108775,0.07990778,TRUE,40
CAG873, 92, 0.27605667,0.06850961,TRUE,1D
CAG873, 92, 0.45592642,0.06737478,TRUE,2D
CAG873, 92, 0.48460977,0.06637216,TRUE,20
CAG873, 92, 0.56252243,0.06964015,TRUE,40
CAG95, 38,-0.18127843,0.07167113,TRUE,1D
CAG95, 38,-0.23248591,0.07079068,TRUE,2D
CAG95, 38,-0.22132590,0.06968754,TRUE,20
CAG95, 38,-0.29841208,0.07254880,TRUE,40
Chao1, 66, 0.06229463,0.06404154,TRUE,1D
Chao1, 66,-0.02195749,0.06213448,TRUE,2D
Chao1, 66, 0.15494200,0.06147124,TRUE,20
Chao1, 66, 0.17387981,0.06400434,TRUE,40
Clostridium, 96,-0.05844455,0.08188810,TRUE,1D
Clostridium, 96,-0.19283979,0.08170263,TRUE,2D
Clostridium, 96,-0.02823028,0.07932011,TRUE,20
Clostridium, 96, 0.70500138,0.08258354,TRUE,40
ClostridiumQ, 15, 0.01797284,0.06920150,TRUE,1D
ClostridiumQ, 15, 0.17373234,0.06936275,TRUE,2D
ClostridiumQ, 15,-0.15271058,0.06800412,TRUE,20
ClostridiumQ, 15,-0.74003266,0.07061919,TRUE,40
COE1,  7,-0.21539737,0.06225995,TRUE,1D
COE1,  7,-0.45387364,0.06211095,TRUE,2D
COE1,  7,-0.43733307,0.06121743,TRUE,20
COE1,  7,-0.94715138,0.06351979,TRUE,40
D1663, 24, 0.15728976,0.06747323,TRUE,1D
D1663, 24, 0.17058211,0.06613701,TRUE,2D
D1663, 24, 0.09121284,0.06498074,TRUE,20
D1663, 24,-0.57941758,0.06783572,TRUE,40
Desulfovibrio, 62, 0.01249179,0.07756351,FALSE,1D
Desulfovibrio, 62, 0.02144262,0.07788930,FALSE,2D
Desulfovibrio, 62,-0.15918985,0.07369045,FALSE,20
Desulfovibrio, 62, 0.11817003,0.07805845,FALSE,40
Dorea, 18,-0.14869005,0.07223472,TRUE,1D
Dorea, 18,-0.26569345,0.07151872,TRUE,2D
Dorea, 18,-0.20535324,0.07010958,TRUE,20
Dorea, 18,-0.68466977,0.07328619,TRUE,40
Dubosiella, 91,-0.31488811,0.08215511,TRUE,1D
Dubosiella, 91,-0.15140390,0.08235363,TRUE,2D
Dubosiella, 91,-0.02104287,0.07888828,TRUE,20
Dubosiella, 91, 0.54875192,0.08264557,TRUE,40
Duncaniella, 75, 0.18752689,0.07490547,TRUE,1D
Duncaniella, 75, 0.46654673,0.07413092,TRUE,2D
Duncaniella, 75, 0.34266877,0.07265954,TRUE,20
Duncaniella, 75, 0.37171636,0.07608424,TRUE,40
Emergencia,  3, 0.20369395,0.06600089,TRUE,1D
Emergencia,  3, 0.29255109,0.06502140,TRUE,2D
Emergencia,  3,-0.31754087,0.06381757,TRUE,20
Emergencia,  3,-1.09477696,0.06653717,TRUE,40
EnterococcusD, 78, 0.16938529,0.07514172,TRUE,1D
EnterococcusD, 78, 0.24128000,0.07500268,TRUE,2D
EnterococcusD, 78, 0.24087460,0.07311720,TRUE,20
EnterococcusD, 78, 0.40115351,0.07643948,TRUE,40
ErysipelatoclostridiaceaeNOV, 53, 0.25600291,0.06676288,TRUE,1D
ErysipelatoclostridiaceaeNOV, 53, 0.22486669,0.06646555,TRUE,2D
ErysipelatoclostridiaceaeNOV, 53, 0.20487022,0.06526525,TRUE,20
ErysipelatoclostridiaceaeNOV, 53,-0.12526159,0.06826603,TRUE,40
Erysipelatoclostridium, 69, 0.17492661,0.07758867,TRUE,1D
Erysipelatoclostridium, 69, 0.14426041,0.07764685,TRUE,2D
Erysipelatoclostridium, 69, 0.43224597,0.07552920,TRUE,20
Erysipelatoclostridium, 69, 0.28472768,0.07881906,TRUE,40
ErysipelotrichaceaeNOV, 11, 0.30398594,0.07273223,TRUE,1D
ErysipelotrichaceaeNOV, 11, 0.11740999,0.07246902,TRUE,2D
ErysipelotrichaceaeNOV, 11, 0.08743096,0.07091871,TRUE,20
ErysipelotrichaceaeNOV, 11,-0.83904814,0.07349333,TRUE,40
Escherichia, 88, 0.09640261,0.07600480,TRUE,1D
Escherichia, 88, 0.31043183,0.07551667,TRUE,2D
Escherichia, 88, 0.16563764,0.07366726,TRUE,20
Escherichia, 88, 0.52064787,0.07706182,TRUE,40
EubacteriumF, 55, 0.10199476,0.07407525,TRUE,1D
EubacteriumF, 55, 0.27930955,0.07366946,TRUE,2D
EubacteriumF, 55, 0.13210287,0.07227633,TRUE,20
EubacteriumF, 55,-0.07230513,0.07505176,TRUE,40
EubacteriumG, 26,-0.19419857,0.07990143,TRUE,1D
EubacteriumG, 26,-0.19041001,0.08055512,TRUE,2D
EubacteriumG, 26,-0.36600904,0.07788652,TRUE,20
EubacteriumG, 26,-0.49433008,0.08100303,TRUE,40
EubacteriumJ,  9,-0.21301188,0.06854340,TRUE,1D
EubacteriumJ,  9,-0.31416125,0.06795139,TRUE,2D
EubacteriumJ,  9,-0.49339828,0.06681580,TRUE,20
EubacteriumJ,  9,-0.88563497,0.06949761,TRUE,40
Evtepia, 10,-0.12112039,0.07196880,TRUE,1D
Evtepia, 10,-0.11401568,0.07097043,TRUE,2D
Evtepia, 10,-0.46185231,0.06981873,TRUE,20
Evtepia, 10,-0.85553180,0.07263634,TRUE,40
Flavonifractor, 21,-0.15904036,0.07349322,TRUE,1D
Flavonifractor, 21,-0.22866952,0.07324174,TRUE,2D
Flavonifractor, 21,-0.40734585,0.07174910,TRUE,20
Flavonifractor, 21,-0.66534508,0.07454376,TRUE,40
HungatellaA, 42,-0.04513161,0.06870573,TRUE,1D
HungatellaA, 42, 0.00994570,0.06807740,TRUE,2D
HungatellaA, 42,-0.08403538,0.06707865,TRUE,20
HungatellaA, 42,-0.27635468,0.06994400,TRUE,40
Ileibacterium, 89, 0.03230536,0.06839385,TRUE,1D
Ileibacterium, 89, 0.56393132,0.06748330,TRUE,2D
Ileibacterium, 89, 0.24104956,0.06576508,TRUE,20
Ileibacterium, 89, 0.52594959,0.06938602,TRUE,40
Kineothrix,101, 0.19863359,0.07121797,TRUE,1D
Kineothrix,101, 0.51398082,0.07082683,TRUE,2D
Kineothrix,101, 0.44987582,0.06915150,TRUE,20
Kineothrix,101, 0.88403677,0.07218415,TRUE,40
Lachnospira, 14, 0.00678262,0.06781344,TRUE,1D
Lachnospira, 14,-0.04792342,0.06727155,TRUE,2D
Lachnospira, 14,-0.25995701,0.06603911,TRUE,20
Lachnospira, 14,-0.75561310,0.06875676,TRUE,40
LachnospiraceaeNOV, 43,-0.12984868,0.07314683,TRUE,1D
LachnospiraceaeNOV, 43,-0.05197899,0.07240897,TRUE,2D
LachnospiraceaeNOV, 43,-0.20177601,0.07119282,TRUE,20
LachnospiraceaeNOV, 43,-0.27337613,0.07399883,TRUE,40
Lactobacillus, 97, 0.24830101,0.06874680,TRUE,1D
Lactobacillus, 97, 0.82339935,0.06847606,TRUE,2D
Lactobacillus, 97, 0.53827785,0.06683958,TRUE,20
Lactobacillus, 97, 0.72030118,0.07019653,TRUE,40
Lawsonibacter, 28,-0.11558685,0.07241336,TRUE,1D
Lawsonibacter, 28,-0.19643142,0.07113077,TRUE,2D
Lawsonibacter, 28,-0.41055403,0.06995005,TRUE,20
Lawsonibacter, 28,-0.45214088,0.07295815,TRUE,40
Ligilactobacillus, 98, 0.33708539,0.06600922,TRUE,1D
Ligilactobacillus, 98, 0.49637837,0.06568761,TRUE,2D
Ligilactobacillus, 98, 0.44667448,0.06114114,TRUE,20
Ligilactobacillus, 98, 0.78492973,0.06554831,TRUE,40
Limosilactobacillus, 99, 0.22318049,0.07820080,TRUE,1D
Limosilactobacillus, 99, 0.68196506,0.07798323,TRUE,2D
Limosilactobacillus, 99, 0.57750568,0.07557162,TRUE,20
Limosilactobacillus, 99, 0.79426937,0.07922978,TRUE,40
Mailhella, 49, 0.20070725,0.07909156,TRUE,1D
Mailhella, 49, 0.36352779,0.07904288,TRUE,2D
Mailhella, 49, 0.10309485,0.07648652,TRUE,20
Mailhella, 49,-0.16482821,0.08006332,TRUE,40
MarseilleP3106, 59, 0.14543484,0.07200777,TRUE,1D
MarseilleP3106, 59, 0.09525178,0.07096953,TRUE,2D
MarseilleP3106, 59, 0.26981227,0.07007515,TRUE,20
MarseilleP3106, 59, 0.07477553,0.07270190,TRUE,40
MuribaculaceaeNOV, 73, 0.13410828,0.07068631,TRUE,1D
MuribaculaceaeNOV, 73, 0.01121439,0.07139152,TRUE,2D
MuribaculaceaeNOV, 73, 0.11510011,0.06718548,TRUE,20
MuribaculaceaeNOV, 73, 0.35020689,0.07113821,TRUE,40
Muribaculum, 87, 0.25732909,0.06838020,TRUE,1D
Muribaculum, 87, 0.45226218,0.06797895,TRUE,2D
Muribaculum, 87, 0.29999681,0.06632208,TRUE,20
Muribaculum, 87, 0.49452135,0.06955082,TRUE,40
Oscillibacter, 37,-0.08792689,0.06749513,TRUE,1D
Oscillibacter, 37,-0.27184119,0.06593007,TRUE,2D
Oscillibacter, 37,-0.30255779,0.06505307,TRUE,20
Oscillibacter, 37,-0.30124325,0.06798903,TRUE,40
OscillospiraceaeNOV, 29,-0.01941330,0.06729097,TRUE,1D
OscillospiraceaeNOV, 29,-0.28870814,0.06610761,TRUE,2D
OscillospiraceaeNOV, 29,-0.31154563,0.06493484,TRUE,20
OscillospiraceaeNOV, 29,-0.45105265,0.06813425,TRUE,40
Paramuribaculum,100, 0.38703195,0.07046877,TRUE,1D
Paramuribaculum,100, 0.58174759,0.06977175,TRUE,2D
Paramuribaculum,100, 0.72463900,0.06850832,TRUE,20
Paramuribaculum,100, 0.86988868,0.07157183,TRUE,40
Parvibacter, 44, 0.31158117,0.06971901,TRUE,1D
Parvibacter, 44, 0.42336226,0.06927239,TRUE,2D
Parvibacter, 44, 0.32075063,0.06760471,TRUE,20
Parvibacter, 44,-0.22601117,0.07101888,TRUE,40
PCoA1,103, 0.31865935,0.06244786,TRUE,1D
PCoA1,103, 0.60521775,0.06145497,TRUE,2D
PCoA1,103, 0.60912304,0.06060064,TRUE,20
PCoA1,103, 0.94074985,0.06344785,TRUE,40
PCoA2,106, 0.29557043,0.06526497,TRUE,1D
PCoA2,106, 0.39037026,0.06424579,TRUE,2D
PCoA2,106, 0.49187618,0.06320825,TRUE,20
PCoA2,106, 1.13482069,0.06604425,TRUE,40
PCoA3, 51, 0.08139376,0.07158668,FALSE,1D
PCoA3, 51,-0.04335722,0.07226404,FALSE,2D
PCoA3, 51,-0.02710173,0.06929515,FALSE,20
PCoA3, 51,-0.13486373,0.07255821,FALSE,40
Prevotella, 60, 0.20903720,0.08122319,TRUE,1D
Prevotella, 60, 0.47112006,0.08107614,TRUE,2D
Prevotella, 60, 0.21448225,0.07863825,TRUE,20
Prevotella, 60, 0.08089930,0.08235940,TRUE,40
Romboutsia,104,-0.11989391,0.08574920,TRUE,1D
Romboutsia,104,-0.10705301,0.08616389,TRUE,2D
Romboutsia,104, 0.09136962,0.08228520,TRUE,20
Romboutsia,104, 0.97279892,0.08636305,TRUE,40
Roseburia, 68,-0.40418939,0.08609376,TRUE,1D
Roseburia, 68,-0.41831332,0.08595575,TRUE,2D
Roseburia, 68,-0.03945047,0.08287949,TRUE,20
Roseburia, 68, 0.25485322,0.08660948,TRUE,40
RuminiclostridiumE, 25,-0.04242531,0.08482402,TRUE,1D
RuminiclostridiumE, 25,-0.65449739,0.08484468,TRUE,2D
RuminiclostridiumE, 25,-0.25452361,0.08135753,TRUE,20
RuminiclostridiumE, 25,-0.51771657,0.08537843,TRUE,40
Schaedlerella,  8,-0.18416183,0.07062756,TRUE,1D
Schaedlerella,  8,-0.47398143,0.06994763,TRUE,2D
Schaedlerella,  8,-0.56819410,0.06842380,TRUE,20
Schaedlerella,  8,-0.94646083,0.07148036,TRUE,40
Shannon, 77, 0.22960182,0.07263501,TRUE,1D
Shannon, 77,-0.09289182,0.07220616,TRUE,2D
Shannon, 77, 0.29718976,0.07115381,TRUE,20
Shannon, 77, 0.39915541,0.07354070,TRUE,40
Simpson, 86, 0.29529149,0.06906233,TRUE,1D
Simpson, 86, 0.14263358,0.06823053,TRUE,2D
Simpson, 86, 0.36213929,0.06761363,TRUE,20
Simpson, 86, 0.49422397,0.06971876,TRUE,40
Staphylococcus, 82,-0.15508704,0.09587482,TRUE,1D
Staphylococcus, 82,-0.14668124,0.09550724,TRUE,2D
Staphylococcus, 82, 0.12500380,0.09094620,TRUE,20
Staphylococcus, 82, 0.43132170,0.09596574,TRUE,40
TF0111,  5,-0.21799809,0.07175953,TRUE,1D
TF0111,  5,-0.25705817,0.07136244,TRUE,2D
TF0111,  5,-0.44728252,0.06963959,TRUE,20
TF0111,  5,-1.03557905,0.07282847,TRUE,40
Turicibacter, 70,-0.29741911,0.08129398,TRUE,1D
Turicibacter, 70,-0.20692223,0.08231290,TRUE,2D
Turicibacter, 70,-0.34920619,0.07818765,TRUE,20
Turicibacter, 70, 0.31929363,0.08203124,TRUE,40
UBA11940, 30,-0.24392715,0.07911665,TRUE,1D
UBA11940, 30,-0.49485893,0.08013297,TRUE,2D
UBA11940, 30,-0.37600660,0.07652100,TRUE,20
UBA11940, 30,-0.42293335,0.08014192,TRUE,40
UBA11957,  4,-0.42485463,0.07201108,TRUE,1D
UBA11957,  4,-0.76215170,0.07284833,TRUE,2D
UBA11957,  4,-0.58451993,0.06964446,TRUE,20
UBA11957,  4,-1.07888888,0.07302013,TRUE,40
UBA1394, 74, 0.01817849,0.07311563,TRUE,1D
UBA1394, 74,-0.21325779,0.07367009,TRUE,2D
UBA1394, 74, 0.23250672,0.07148505,TRUE,20
UBA1394, 74, 0.36418108,0.07450443,TRUE,40
UBA1405, 27,-0.19790376,0.08083707,TRUE,1D
UBA1405, 27,-0.40065348,0.08042093,TRUE,2D
UBA1405, 27,-0.42431493,0.07703042,TRUE,20
UBA1405, 27,-0.48468024,0.08121346,TRUE,40
UBA2882, 72,-0.08527352,0.07297877,TRUE,1D
UBA2882, 72,-0.50353788,0.07353847,TRUE,2D
UBA2882, 72, 0.01327636,0.07111880,TRUE,20
UBA2882, 72, 0.32839394,0.07433200,TRUE,40
UBA3282, 39,-0.03774600,0.07151794,TRUE,1D
UBA3282, 39,-0.11814622,0.07118458,TRUE,2D
UBA3282, 39,-0.10629614,0.06995294,TRUE,20
UBA3282, 39,-0.29275592,0.07258452,TRUE,40
UBA3700, 76, 0.12204921,0.07532067,TRUE,1D
UBA3700, 76,-0.06100084,0.07584936,TRUE,2D
UBA3700, 76, 0.19746004,0.07321845,TRUE,20
UBA3700, 76, 0.37445697,0.07653563,TRUE,40
UBA3700NOV,105, 0.29344395,0.07182769,TRUE,1D
UBA3700NOV,105, 0.47656253,0.07141187,TRUE,2D
UBA3700NOV,105, 0.62627789,0.06987867,TRUE,20
UBA3700NOV,105, 1.06475470,0.07270251,TRUE,40
UBA3818, 32,-0.27120541,0.07471981,TRUE,1D
UBA3818, 32,-0.41275271,0.07493670,TRUE,2D
UBA3818, 32,-0.49084542,0.07289183,TRUE,20
UBA3818, 32,-0.42017641,0.07575449,TRUE,40
UBA7160, 41, 0.19445721,0.07720667,TRUE,1D
UBA7160, 41, 0.28354073,0.07699692,TRUE,2D
UBA7160, 41, 0.03662554,0.07519402,TRUE,20
UBA7160, 41,-0.28050769,0.07804947,TRUE,40
UBA7173, 83, 0.24560216,0.07179879,TRUE,1D
UBA7173, 83, 0.33345406,0.07118034,TRUE,2D
UBA7173, 83, 0.42171886,0.06968461,TRUE,20
UBA7173, 83, 0.44993025,0.07308574,TRUE,40
UBA7182,  1,-0.20810246,0.06656237,TRUE,1D
UBA7182,  1,-0.41349120,0.06630634,TRUE,2D
UBA7182,  1,-0.56083387,0.06461479,TRUE,20
UBA7182,  1,-1.23749676,0.06766806,TRUE,40
UBA946, 71,-0.14916041,0.07577174,TRUE,1D
UBA946, 71,-0.36671408,0.07587132,TRUE,2D
UBA946, 71,-0.00948188,0.07370019,TRUE,20
UBA946, 71, 0.32331991,0.07695265,TRUE,40
UBA9475, 40,-0.07868430,0.06647612,TRUE,1D
UBA9475, 40,-0.19520061,0.06575653,TRUE,2D
UBA9475, 40,-0.22995499,0.06464526,TRUE,20
UBA9475, 40,-0.28521629,0.06753033,TRUE,40
UBA9502,  6,-0.31013563,0.06975637,TRUE,1D
UBA9502,  6,-0.31674846,0.06896197,TRUE,2D
UBA9502,  6,-0.57681392,0.06759501,TRUE,20
UBA9502,  6,-1.00039821,0.07059378,TRUE,40
UMGS1004,102, 0.01374696,0.07905550,TRUE,1D
UMGS1004,102, 0.08043453,0.08003250,TRUE,2D
UMGS1004,102, 0.55285962,0.07687694,TRUE,20
UMGS1004,102, 0.93168679,0.08022616,TRUE,40
UMGS1217, 45, 0.01856575,0.08054686,TRUE,1D
UMGS1217, 45,-0.23376178,0.08059723,TRUE,2D
UMGS1217, 45,-0.06117443,0.07843046,TRUE,20
UMGS1217, 45,-0.20889677,0.08137164,TRUE,40
UMGS1370,  2,-0.38419145,0.07199427,TRUE,1D
UMGS1370,  2,-0.51713357,0.07205011,TRUE,2D
UMGS1370,  2,-0.64445574,0.07015108,TRUE,20
UMGS1370,  2,-1.13420760,0.07304711,TRUE,40
UMGS1815,107, 0.41049254,0.06614060,TRUE,1D
UMGS1815,107, 0.60063382,0.06577248,TRUE,2D
UMGS1815,107, 1.13814109,0.06420123,TRUE,20
UMGS1815,107, 1.40178264,0.06710913,TRUE,40
UMGS1872, 20,-0.02941755,0.07072786,TRUE,1D
UMGS1872, 20, 0.01192263,0.07039471,TRUE,2D
UMGS1872, 20,-0.25843367,0.06893536,TRUE,20
UMGS1872, 20,-0.66704956,0.07199518,TRUE,40
UMGS268, 64,-0.04721419,0.07077049,TRUE,1D
UMGS268, 64,-0.18600643,0.07066506,TRUE,2D
UMGS268, 64,-0.02411535,0.06903149,TRUE,20
UMGS268, 64, 0.14879280,0.07197379,TRUE,40
uniq, 85, 0.24638210,0.07057976,TRUE,1D
uniq, 85, 0.33401413,0.06991455,TRUE,2D
uniq, 85, 0.32624444,0.06860230,TRUE,20
uniq, 85, 0.48637917,0.07143270,TRUE,40
X142, 16,-0.11623446,0.06863475,TRUE,1D
X142, 16,-0.00785996,0.06803870,TRUE,2D
X142, 16,-0.42885618,0.06693071,TRUE,20
X142, 16,-0.72333007,0.06982142,TRUE,40
X1XD4269, 63,-0.09028953,0.07012558,TRUE,1D
X1XD4269, 63,-0.22030815,0.06916812,TRUE,2D
X1XD4269, 63, 0.07195910,0.06814260,TRUE,20
X1XD4269, 63, 0.14586905,0.07085250,TRUE,40
X1XD876, 35,-0.11367677,0.07583118,TRUE,1D
X1XD876, 35,-0.20821800,0.07561543,TRUE,2D
X1XD876, 35,-0.24837437,0.07392218,TRUE,20
X1XD876, 35,-0.33012431,0.07714274,TRUE,40
