feature,1D,2D,20,40
Muribaculum, 0.25732909, 0.45226218, 0.29999681, 0.49452135
Oscillibacter,-0.08792689,-0.27184119,-0.30255779,-0.30124325
OscillospiraceaeNOV,-0.01941330,-0.28870814,-0.31154563,-0.45105265
Paramuribaculum, 0.38703195, 0.58174759, 0.72463900, 0.86988868
Parvibacter, 0.31158117, 0.42336226, 0.32075063,-0.22601117
PCoA1, 0.31865935, 0.60521775, 0.60912304, 0.94074985
PCoA2, 0.29557043, 0.39037026, 0.49187618, 1.13482069
PCoA3, 0.08139376,-0.04335722,-0.02710173,-0.13486373
Prevotella, 0.20903720, 0.47112006, 0.21448225, 0.08089930
Romboutsia,-0.11989391,-0.10705301, 0.09136962, 0.97279892
Roseburia,-0.40418939,-0.41831332,-0.03945047, 0.25485322
RuminiclostridiumE,-0.04242531,-0.65449739,-0.25452361,-0.51771657
Schaedlerella,-0.18416183,-0.47398143,-0.56819410,-0.94646083
Shannon, 0.22960182,-0.09289182, 0.29718976, 0.39915541
Simpson, 0.29529149, 0.14263358, 0.36213929, 0.49422397
Staphylococcus,-0.15508704,-0.14668124, 0.12500380, 0.43132170
TF0111,-0.21799809,-0.25705817,-0.44728252,-1.03557905
Turicibacter,-0.29741911,-0.20692223,-0.34920619, 0.31929363
UBA11940,-0.24392715,-0.49485893,-0.37600660,-0.42293335
UBA11957,-0.42485463,-0.76215170,-0.58451993,-1.07888888
UBA1394, 0.01817849,-0.21325779, 0.23250672, 0.36418108
UBA1405,-0.19790376,-0.40065348,-0.42431493,-0.48468024
UBA2882,-0.08527352,-0.50353788, 0.01327636, 0.32839394
UBA3282,-0.03774600,-0.11814622,-0.10629614,-0.29275592
UBA3700, 0.12204921,-0.06100084, 0.19746004, 0.37445697
UBA3700NOV, 0.29344395, 0.47656253, 0.62627789, 1.06475470
UBA3818,-0.27120541,-0.41275271,-0.49084542,-0.42017641
UBA7160, 0.19445721, 0.28354073, 0.03662554,-0.28050769
UBA7173, 0.24560216, 0.33345406, 0.42171886, 0.44993025
UBA7182,-0.20810246,-0.41349120,-0.56083387,-1.23749676
UBA946,-0.14916041,-0.36671408,-0.00948188, 0.32331991
UBA9475,-0.07868430,-0.19520061,-0.22995499,-0.28521629
UBA9502,-0.31013563,-0.31674846,-0.57681392,-1.00039821
UMGS1004, 0.01374696, 0.08043453, 0.55285962, 0.93168679
UMGS1217, 0.01856575,-0.23376178,-0.06117443,-0.20889677
UMGS1370,-0.38419145,-0.51713357,-0.64445574,-1.13420760
UMGS1815, 0.41049254, 0.60063382, 1.13814109, 1.40178264
UMGS1872,-0.02941755, 0.01192263,-0.25843367,-0.66704956
UMGS268,-0.04721419,-0.18600643,-0.02411535, 0.14879280
uniq, 0.24638210, 0.33401413, 0.32624444, 0.48637917
X142,-0.11623446,-0.00785996,-0.42885618,-0.72333007
X1XD4269,-0.09028953,-0.22030815, 0.07195910, 0.14586905
X1XD876,-0.11367677,-0.20821800,-0.24837437,-0.33012431
