perc.increase.in.MSE,feature
163.868,inosine-5'-phosphate biosyn... (PWY-7234)
162.675,inosine-5'-phosphate biosyn... (PWY-7234)
160.575,inosine-5'-phosphate biosyn... (PWY-7234)
156.737,inosine-5'-phosphate biosyn... (PWY-7234)
156.254,inosine-5'-phosphate biosyn... (PWY-7234)
120.374,inosine-5'-phosphate biosyn... (PWY-7234)
113.757,ppGpp biosynthesis (PPGPPMET-PWY)
 82.679,ppGpp biosynthesis (PPGPPMET-PWY)
 81.837,ppGpp biosynthesis (PPGPPMET-PWY)
 74.925,ppGpp biosynthesis (PPGPPMET-PWY)
 69.857,ppGpp biosynthesis (PPGPPMET-PWY)
 68.650,ppGpp biosynthesis (PPGPPMET-PWY)
 59.797,ppGpp biosynthesis (PPGPPMET-PWY)
 49.872,ppGpp biosynthesis (PPGPPMET-PWY)
 49.064,ppGpp biosynthesis (PPGPPMET-PWY)
 36.833,ppGpp biosynthesis (PPGPPMET-PWY)
113.757,ppGpp metabolism (PPGPPMET-PWY)
 82.679,ppGpp metabolism (PPGPPMET-PWY)
 81.837,ppGpp metabolism (PPGPPMET-PWY)
 74.925,ppGpp metabolism (PPGPPMET-PWY)
 69.857,ppGpp metabolism (PPGPPMET-PWY)
 68.650,ppGpp metabolism (PPGPPMET-PWY)
 59.797,ppGpp metabolism (PPGPPMET-PWY)
 49.872,ppGpp metabolism (PPGPPMET-PWY)
 49.064,ppGpp metabolism (PPGPPMET-PWY)
 36.833,ppGpp metabolism (PPGPPMET-PWY)
 53.026,pyruvate fermentation to bu... (CENTFERM-PWY)
 52.753,pyruvate fermentation to bu... (CENTFERM-PWY)
 50.463,pyruvate fermentation to bu... (CENTFERM-PWY)
 43.652,pyruvate fermentation to bu... (CENTFERM-PWY)
 42.201,pyruvate fermentation to bu... (CENTFERM-PWY)
 41.522,pyruvate fermentation to bu... (CENTFERM-PWY)
 38.910,pyruvate fermentation to bu... (CENTFERM-PWY)
 34.821,pyruvate fermentation to bu... (CENTFERM-PWY)
 28.696,pyruvate fermentation to bu... (CENTFERM-PWY)
 28.590,pyruvate fermentation to bu... (CENTFERM-PWY)
 67.511,superpathway of Clostridium... (PWY-6590)
 59.998,superpathway of Clostridium... (PWY-6590)
 59.164,superpathway of Clostridium... (PWY-6590)
 58.265,superpathway of Clostridium... (PWY-6590)
 46.960,superpathway of Clostridium... (PWY-6590)
 46.035,superpathway of Clostridium... (PWY-6590)
 43.966,superpathway of Clostridium... (PWY-6590)
 43.744,superpathway of Clostridium... (PWY-6590)
 42.008,superpathway of Clostridium... (PWY-6590)
 34.053,superpathway of Clostridium... (PWY-6590)
 34.573,superpathway of L-alanine b... (PWY0-1061)
 30.862,superpathway of L-alanine b... (PWY0-1061)
 28.130,superpathway of L-alanine b... (PWY0-1061)
 23.182,superpathway of L-alanine b... (PWY0-1061)
 22.215,superpathway of L-alanine b... (PWY0-1061)
 19.522,superpathway of L-alanine b... (PWY0-1061)
 18.587,superpathway of L-alanine b... (PWY0-1061)
 15.624,superpathway of L-alanine b... (PWY0-1061)
 14.733,superpathway of L-alanine b... (PWY0-1061)
  8.264,superpathway of L-alanine b... (PWY0-1061)
