feature,term.clean,PVE,is.sig
Anaerotruncus,Batch,0.02820387,TRUE
Anaerotruncus,Cage,0.02204350,FALSE
Anaerotruncus,Cohort,0.01055993,FALSE
Anaerotruncus,Diet,0.06262090,TRUE
Anaerotruncus,Genetics,0.07463774,TRUE
Anaerotruncus,Mouse,0.09356738,TRUE
Anaerotruncus,Time,0.00298552,FALSE
AnaerovoracaceaeNOV,Age,0.01601073,TRUE
AnaerovoracaceaeNOV,Batch,0.06514400,TRUE
AnaerovoracaceaeNOV,Cage,0.01025293,FALSE
AnaerovoracaceaeNOV,Cohort,0.03751974,TRUE
AnaerovoracaceaeNOV,Diet,0.00501328,FALSE
AnaerovoracaceaeNOV,Genetics,0.03721429,FALSE
AnaerovoracaceaeNOV,Mouse,0.06235337,TRUE
AnaerovoracaceaeNOV,Time,0.00512474,FALSE
Angelakisella,Age,0.03711456,TRUE
Angelakisella,Batch,0.06058724,TRUE
Angelakisella,Cage,0.01126843,FALSE
Angelakisella,Cohort,0.01348955,FALSE
Angelakisella,Diet,0.03011167,TRUE
Angelakisella,Genetics,0.05528402,FALSE
Angelakisella,Mouse,0.06149301,FALSE
Angelakisella,Time,0.01338586,FALSE
ASF356,Age,0.14478729,TRUE
ASF356,Batch,0.01609448,TRUE
ASF356,Cage,0.01939456,FALSE
ASF356,Cohort,0.00000006,FALSE
ASF356,Diet,0.05616335,TRUE
ASF356,Genetics,0.13561240,TRUE
ASF356,Mouse,0.06596798,TRUE
ASF356,Time,0.00498000,FALSE
Bacteroides,Age,0.15317905,TRUE
Bacteroides,Batch,0.04621260,TRUE
Bacteroides,Cage,0.02840283,TRUE
Bacteroides,Cohort,0.01265854,FALSE
Bacteroides,Diet,0.04587850,TRUE
Bacteroides,Genetics,0.07517010,TRUE
Bacteroides,Mouse,0.01594780,FALSE
Bacteroides,Time,0.06703283,TRUE
Bifidobacterium,Age,0.36542187,TRUE
Bifidobacterium,Batch,0.04883213,TRUE
Bifidobacterium,Cage,0.05605828,TRUE
Bifidobacterium,Cohort,0.00000003,FALSE
Bifidobacterium,Diet,0.06201300,TRUE
Bifidobacterium,Genetics,0.05694069,TRUE
Bifidobacterium,Mouse,0.02617289,FALSE
Bifidobacterium,Time,0.04516201,FALSE
BorkfalkiaceaeNOV,Age,0.02271979,TRUE
BorkfalkiaceaeNOV,Batch,0.02952626,TRUE
BorkfalkiaceaeNOV,Cage,0.04356284,TRUE
BorkfalkiaceaeNOV,Cohort,0.00000006,FALSE
BorkfalkiaceaeNOV,Diet,0.06044060,TRUE
BorkfalkiaceaeNOV,Genetics,0.07700776,TRUE
BorkfalkiaceaeNOV,Mouse,0.14543145,TRUE
BorkfalkiaceaeNOV,Time,0.01940150,TRUE
ButyricicoccaceaeNOV,Age,0.02396221,TRUE
ButyricicoccaceaeNOV,Batch,0.01395816,FALSE
ButyricicoccaceaeNOV,Cage,0.01432532,FALSE
ButyricicoccaceaeNOV,Cohort,0.01890362,FALSE
ButyricicoccaceaeNOV,Diet,0.02812528,TRUE
ButyricicoccaceaeNOV,Genetics,0.08772570,TRUE
ButyricicoccaceaeNOV,Mouse,0.03495022,FALSE
ButyricicoccaceaeNOV,Time,0.00000008,FALSE
CAG115,Age,0.03024122,TRUE
CAG115,Batch,0.07931544,TRUE
CAG115,Cage,0.04056949,TRUE
CAG115,Cohort,0.17257114,TRUE
CAG115,Diet,0.01445235,TRUE
CAG115,Genetics,0.07058755,TRUE
CAG115,Mouse,0.03112693,FALSE
CAG115,Time,0.12915786,TRUE
CAG145,Age,0.03452272,TRUE
CAG145,Batch,0.01083036,FALSE
CAG145,Cage,0.00743185,FALSE
CAG145,Cohort,0.04028685,TRUE
CAG145,Diet,0.00720976,FALSE
CAG145,Genetics,0.11711578,TRUE
CAG145,Mouse,0.11696119,TRUE
CAG145,Time,0.00107615,FALSE
CAG273,Age,0.07654506,TRUE
CAG273,Batch,0.03952614,TRUE
CAG273,Cage,0.04949044,TRUE
CAG273,Cohort,0.00588554,FALSE
CAG273,Diet,0.00000007,FALSE
CAG273,Genetics,0.02949426,FALSE
CAG273,Mouse,0.08885890,TRUE
CAG273,Time,0.00344545,FALSE
CAG274NOV,Age,0.01471961,FALSE
CAG274NOV,Batch,0.04686008,TRUE
CAG274NOV,Cage,0.04041027,TRUE
CAG274NOV,Cohort,0.00000006,FALSE
CAG274NOV,Diet,0.15403758,TRUE
CAG274NOV,Genetics,0.00754274,FALSE
CAG274NOV,Mouse,0.11546745,TRUE
CAG274NOV,Time,0.00984460,FALSE
CAG303,Age,0.02503460,FALSE
CAG303,Batch,0.04360687,TRUE
CAG303,Cage,0.05099364,TRUE
CAG303,Cohort,0.00852597,FALSE
CAG303,Diet,0.04966339,TRUE
CAG303,Genetics,0.04313591,FALSE
CAG303,Mouse,0.09202334,TRUE
CAG303,Time,0.03304006,TRUE
CAG41,Age,0.00486897,FALSE
CAG41,Batch,0.05910140,TRUE
CAG41,Cage,0.11815702,TRUE
CAG41,Cohort,0.00304228,FALSE
CAG41,Diet,0.10132033,TRUE
CAG41,Genetics,0.00000019,FALSE
CAG41,Mouse,0.04308111,TRUE
CAG41,Time,0.04830257,TRUE
CAG475,Age,0.06633066,TRUE
CAG475,Batch,0.01729895,TRUE
CAG475,Cage,0.02596630,FALSE
CAG475,Cohort,0.01086983,FALSE
CAG475,Diet,0.02587838,TRUE
CAG475,Genetics,0.12996936,TRUE
CAG475,Mouse,0.14958474,TRUE
CAG475,Time,0.00075959,FALSE
CAG485,Age,0.01863764,TRUE
CAG485,Batch,0.05441598,TRUE
CAG485,Cage,0.00000009,FALSE
CAG485,Cohort,0.01519988,FALSE
CAG485,Diet,0.08651877,TRUE
CAG485,Genetics,0.08206622,TRUE
CAG485,Mouse,0.09431847,TRUE
CAG485,Time,0.01695583,FALSE
CAG510,Age,0.02106377,TRUE
CAG510,Batch,0.11230140,TRUE
CAG510,Cage,0.08957423,TRUE
CAG510,Cohort,0.15756566,TRUE
CAG510,Diet,0.05825940,TRUE
CAG510,Genetics,0.02529798,TRUE
CAG510,Mouse,0.00000002,FALSE
CAG510,Time,0.13682389,TRUE
CAG552NOV,Age,0.04029282,TRUE
CAG552NOV,Batch,0.01659260,TRUE
CAG552NOV,Cage,0.02632486,FALSE
CAG552NOV,Cohort,0.00668647,FALSE
CAG552NOV,Diet,0.00101829,FALSE
CAG552NOV,Genetics,0.14758228,TRUE
CAG552NOV,Mouse,0.15995285,TRUE
CAG552NOV,Time,0.01023670,TRUE
CAG56,Age,0.00646344,FALSE
CAG56,Batch,0.01176278,FALSE
CAG56,Cage,0.02682652,TRUE
CAG56,Cohort,0.00643561,FALSE
CAG56,Diet,0.06992733,TRUE
CAG56,Genetics,0.06803861,TRUE
CAG56,Mouse,0.10451516,TRUE
CAG56,Time,0.05146252,TRUE
CAG582,Age,0.09362407,TRUE
CAG582,Batch,0.01165006,FALSE
CAG582,Cage,0.02463605,TRUE
CAG582,Cohort,0.00000014,FALSE
CAG582,Diet,0.01227263,TRUE
CAG582,Genetics,0.07901017,TRUE
CAG582,Mouse,0.11205381,TRUE
CAG582,Time,0.10890379,TRUE
CAG776,Age,0.01435654,FALSE
CAG776,Batch,0.02139618,TRUE
CAG776,Cage,0.02885880,TRUE
CAG776,Cohort,0.00155882,FALSE
CAG776,Diet,0.01404477,TRUE
CAG776,Genetics,0.06406857,FALSE
CAG776,Mouse,0.14197811,TRUE
CAG776,Time,0.05380198,TRUE
CAG81,Age,0.00244436,FALSE
CAG81,Batch,0.01806413,TRUE
CAG81,Cage,0.04746376,TRUE
CAG81,Cohort,0.02003318,FALSE
CAG81,Diet,0.01717335,TRUE
CAG81,Genetics,0.04262057,FALSE
CAG81,Mouse,0.09575595,TRUE
CAG81,Time,0.00562514,FALSE
CAG873,Age,0.00927510,FALSE
CAG873,Batch,0.03727111,TRUE
CAG873,Cage,0.00000027,FALSE
CAG873,Cohort,0.00266209,FALSE
CAG873,Diet,0.05534863,TRUE
CAG873,Genetics,0.12505847,TRUE
CAG873,Mouse,0.05868143,FALSE
CAG873,Time,0.00283545,FALSE
CAG95,Age,0.06838177,TRUE
CAG95,Batch,0.03871422,TRUE
CAG95,Cage,0.00807227,FALSE
CAG95,Cohort,0.00389297,FALSE
CAG95,Diet,0.01504394,TRUE
CAG95,Genetics,0.04967503,FALSE
CAG95,Mouse,0.09935997,TRUE
CAG95,Time,0.00528925,FALSE
Chao1,Age,0.01209593,FALSE
Chao1,Batch,0.05293094,TRUE
Chao1,Cage,0.00000009,FALSE
Chao1,Cohort,0.02663111,FALSE
Chao1,Diet,0.00513342,FALSE
Chao1,Genetics,0.00330418,FALSE
Chao1,Mouse,0.00596275,FALSE
Chao1,Time,0.00306601,FALSE
Clostridium,Age,0.04734884,FALSE
Clostridium,Batch,0.05150074,TRUE
Clostridium,Cage,0.05407710,TRUE
Clostridium,Cohort,0.01711607,FALSE
Clostridium,Diet,0.11502453,TRUE
Clostridium,Genetics,0.02874800,FALSE
Clostridium,Mouse,0.00544907,FALSE
Clostridium,Time,0.00882825,FALSE
ClostridiumQ,Age,0.00526439,FALSE
ClostridiumQ,Batch,0.01251058,FALSE
ClostridiumQ,Cage,0.01624331,FALSE
ClostridiumQ,Cohort,0.00176445,FALSE
ClostridiumQ,Diet,0.11980446,TRUE
ClostridiumQ,Genetics,0.10366127,TRUE
ClostridiumQ,Mouse,0.05982831,FALSE
ClostridiumQ,Time,0.00380315,FALSE
COE1,Age,0.04559959,TRUE
COE1,Batch,0.00707996,FALSE
COE1,Cage,0.00777339,FALSE
COE1,Cohort,0.00000007,FALSE
COE1,Diet,0.13516816,TRUE
COE1,Genetics,0.09619138,TRUE
COE1,Mouse,0.04654946,FALSE
COE1,Time,0.00992269,TRUE
D1663,Age,0.01301174,FALSE
D1663,Batch,0.06419345,TRUE
D1663,Cage,0.01152061,FALSE
D1663,Cohort,0.09656627,TRUE
D1663,Diet,0.09007640,TRUE
D1663,Genetics,0.02453157,FALSE
D1663,Mouse,0.02662588,FALSE
D1663,Time,0.02399647,FALSE
Desulfovibrio,Age,0.03429122,TRUE
Desulfovibrio,Batch,0.05491945,TRUE
Desulfovibrio,Cage,0.05260580,TRUE
Desulfovibrio,Cohort,0.00000004,FALSE
Desulfovibrio,Diet,0.00742871,FALSE
Desulfovibrio,Genetics,0.08786266,TRUE
Desulfovibrio,Mouse,0.12490752,TRUE
Desulfovibrio,Time,0.21202811,TRUE
Dorea,Age,0.03267636,FALSE
Dorea,Batch,0.04428086,TRUE
Dorea,Cage,0.01847970,FALSE
Dorea,Cohort,0.02576451,FALSE
Dorea,Diet,0.06323018,TRUE
Dorea,Genetics,0.10385726,TRUE
Dorea,Mouse,0.03264311,FALSE
Dorea,Time,0.00236492,FALSE
Dubosiella,Age,0.12559894,TRUE
Dubosiella,Batch,0.04075493,TRUE
Dubosiella,Cage,0.06413138,TRUE
Dubosiella,Cohort,0.00932957,FALSE
Dubosiella,Diet,0.09781683,TRUE
Dubosiella,Genetics,0.01621286,FALSE
Dubosiella,Mouse,0.05242047,TRUE
Dubosiella,Time,0.04850849,TRUE
Duncaniella,Age,0.00536323,FALSE
Duncaniella,Batch,0.04960812,TRUE
Duncaniella,Cage,0.01605461,FALSE
Duncaniella,Cohort,0.00000007,FALSE
Duncaniella,Diet,0.02979308,TRUE
Duncaniella,Genetics,0.13376330,TRUE
Duncaniella,Mouse,0.04214503,FALSE
Duncaniella,Time,0.01509289,FALSE
Emergencia,Age,0.04174709,TRUE
Emergencia,Batch,0.04816271,TRUE
Emergencia,Cage,0.01625345,TRUE
Emergencia,Cohort,0.00707934,FALSE
Emergencia,Diet,0.28217944,TRUE
Emergencia,Genetics,0.02879349,FALSE
Emergencia,Mouse,0.02640213,FALSE
Emergencia,Time,0.01425457,FALSE
EnterococcusD,Age,0.14667454,TRUE
EnterococcusD,Batch,0.03461195,TRUE
EnterococcusD,Cage,0.02680985,TRUE
EnterococcusD,Cohort,0.00000006,FALSE
EnterococcusD,Diet,0.01188600,TRUE
EnterococcusD,Genetics,0.13020963,TRUE
EnterococcusD,Mouse,0.03309359,FALSE
EnterococcusD,Time,0.00000023,FALSE
ErysipelatoclostridiaceaeNOV,Age,0.00000007,FALSE
ErysipelatoclostridiaceaeNOV,Batch,0.01833700,TRUE
ErysipelatoclostridiaceaeNOV,Cage,0.00000034,FALSE
ErysipelatoclostridiaceaeNOV,Cohort,0.01443430,FALSE
ErysipelatoclostridiaceaeNOV,Diet,0.02418082,TRUE
ErysipelatoclostridiaceaeNOV,Genetics,0.17740620,TRUE
ErysipelatoclostridiaceaeNOV,Mouse,0.07048998,TRUE
ErysipelatoclostridiaceaeNOV,Time,0.02657917,TRUE
Erysipelatoclostridium,Age,0.01330051,FALSE
Erysipelatoclostridium,Batch,0.03249913,TRUE
Erysipelatoclostridium,Cage,0.03318528,TRUE
Erysipelatoclostridium,Cohort,0.02593776,FALSE
Erysipelatoclostridium,Diet,0.01817653,TRUE
Erysipelatoclostridium,Genetics,0.12494653,TRUE
Erysipelatoclostridium,Mouse,0.05324118,FALSE
Erysipelatoclostridium,Time,0.00559076,FALSE
ErysipelotrichaceaeNOV,Age,0.06636913,TRUE
ErysipelotrichaceaeNOV,Batch,0.02199343,TRUE
ErysipelotrichaceaeNOV,Cage,0.03396114,TRUE
ErysipelotrichaceaeNOV,Cohort,0.00635085,FALSE
ErysipelotrichaceaeNOV,Diet,0.17844082,TRUE
ErysipelotrichaceaeNOV,Genetics,0.01970773,FALSE
ErysipelotrichaceaeNOV,Mouse,0.02378734,FALSE
ErysipelotrichaceaeNOV,Time,0.01836612,TRUE
Escherichia,Age,0.07834500,TRUE
Escherichia,Batch,0.04844154,TRUE
Escherichia,Cage,0.02662879,TRUE
Escherichia,Cohort,0.00000006,FALSE
Escherichia,Diet,0.03901345,TRUE
Escherichia,Genetics,0.10292239,TRUE
Escherichia,Mouse,0.05961653,FALSE
Escherichia,Time,0.00386956,FALSE
EubacteriumF,Age,0.10395280,FALSE
EubacteriumF,Batch,0.02808074,TRUE
EubacteriumF,Cage,0.01837728,FALSE
EubacteriumF,Cohort,0.00885736,FALSE
EubacteriumF,Diet,0.01094074,TRUE
EubacteriumF,Genetics,0.05348785,FALSE
EubacteriumF,Mouse,0.07306655,TRUE
EubacteriumF,Time,0.02101003,TRUE
EubacteriumG,Age,0.05691643,TRUE
EubacteriumG,Batch,0.02840627,TRUE
EubacteriumG,Cage,0.05621867,TRUE
EubacteriumG,Cohort,0.00161903,FALSE
EubacteriumG,Diet,0.03775900,TRUE
EubacteriumG,Genetics,0.06000597,FALSE
EubacteriumG,Mouse,0.05182523,FALSE
EubacteriumG,Time,0.00885449,FALSE
EubacteriumJ,Age,0.01402893,FALSE
EubacteriumJ,Batch,0.02640090,TRUE
EubacteriumJ,Cage,0.01169886,FALSE
EubacteriumJ,Cohort,0.00711208,FALSE
EubacteriumJ,Diet,0.11438157,TRUE
EubacteriumJ,Genetics,0.06716142,TRUE
EubacteriumJ,Mouse,0.06698862,TRUE
EubacteriumJ,Time,0.01165755,FALSE
Evtepia,Age,0.00751773,FALSE
Evtepia,Batch,0.04889572,TRUE
Evtepia,Cage,0.02142465,TRUE
Evtepia,Cohort,0.02192785,FALSE
Evtepia,Diet,0.11211484,TRUE
Evtepia,Genetics,0.04611194,FALSE
Evtepia,Mouse,0.00000004,FALSE
Evtepia,Time,0.00940786,FALSE
Flavonifractor,Age,0.00177050,FALSE
Flavonifractor,Batch,0.02634846,TRUE
Flavonifractor,Cage,0.02036203,FALSE
Flavonifractor,Cohort,0.02867945,TRUE
Flavonifractor,Diet,0.05658688,TRUE
Flavonifractor,Genetics,0.06311895,FALSE
Flavonifractor,Mouse,0.07971516,TRUE
Flavonifractor,Time,0.00671666,FALSE
HungatellaA,Age,0.06857105,TRUE
HungatellaA,Batch,0.02494378,TRUE
HungatellaA,Cage,0.00625376,FALSE
HungatellaA,Cohort,0.01392377,FALSE
HungatellaA,Diet,0.01202517,TRUE
HungatellaA,Genetics,0.10176207,TRUE
HungatellaA,Mouse,0.05916392,FALSE
HungatellaA,Time,0.00000007,FALSE
Ileibacterium,Age,0.31956303,TRUE
Ileibacterium,Batch,0.04498288,TRUE
Ileibacterium,Cage,0.00807618,FALSE
Ileibacterium,Cohort,0.00713117,FALSE
Ileibacterium,Diet,0.05381081,TRUE
Ileibacterium,Genetics,0.09779030,TRUE
Ileibacterium,Mouse,0.02901014,FALSE
Ileibacterium,Time,0.03007951,TRUE
Kineothrix,Age,0.03219288,TRUE
Kineothrix,Batch,0.02821893,TRUE
Kineothrix,Cage,0.01857999,FALSE
Kineothrix,Cohort,0.00000006,FALSE
Kineothrix,Diet,0.10817573,TRUE
Kineothrix,Genetics,0.07911949,TRUE
Kineothrix,Mouse,0.08091095,TRUE
Kineothrix,Time,0.04068516,TRUE
Lachnospira,Age,0.05392445,TRUE
Lachnospira,Batch,0.02531601,TRUE
Lachnospira,Cage,0.01473490,FALSE
Lachnospira,Cohort,0.05130592,TRUE
Lachnospira,Diet,0.11010571,TRUE
Lachnospira,Genetics,0.06546047,TRUE
Lachnospira,Mouse,0.05627127,TRUE
Lachnospira,Time,0.00833800,FALSE
LachnospiraceaeNOV,Age,0.03930535,TRUE
LachnospiraceaeNOV,Batch,0.03871955,TRUE
LachnospiraceaeNOV,Cage,0.01760105,FALSE
LachnospiraceaeNOV,Cohort,0.02881942,TRUE
LachnospiraceaeNOV,Diet,0.01010147,FALSE
LachnospiraceaeNOV,Genetics,0.03443374,FALSE
LachnospiraceaeNOV,Mouse,0.08065211,TRUE
LachnospiraceaeNOV,Time,0.00000008,FALSE
Lactobacillus,Age,0.01692676,FALSE
Lactobacillus,Batch,0.02868742,TRUE
Lactobacillus,Cage,0.00926925,FALSE
Lactobacillus,Cohort,0.00832171,FALSE
Lactobacillus,Diet,0.11516698,TRUE
Lactobacillus,Genetics,0.17569702,TRUE
Lactobacillus,Mouse,0.07827157,TRUE
Lactobacillus,Time,0.00000006,FALSE
Lawsonibacter,Age,0.00763127,FALSE
Lawsonibacter,Batch,0.06230619,TRUE
Lawsonibacter,Cage,0.01184945,FALSE
Lawsonibacter,Cohort,0.01582583,FALSE
Lawsonibacter,Diet,0.03551261,TRUE
Lawsonibacter,Genetics,0.03074396,FALSE
Lawsonibacter,Mouse,0.06576996,TRUE
Lawsonibacter,Time,0.01135791,FALSE
Ligilactobacillus,Age,0.42406505,TRUE
Ligilactobacillus,Batch,0.06088838,TRUE
Ligilactobacillus,Cage,0.06640278,TRUE
Ligilactobacillus,Cohort,0.00000003,FALSE
Ligilactobacillus,Diet,0.09639363,TRUE
Ligilactobacillus,Genetics,0.00406628,FALSE
Ligilactobacillus,Mouse,0.00000004,FALSE
Ligilactobacillus,Time,0.06693872,TRUE
Limosilactobacillus,Age,0.00713624,FALSE
Limosilactobacillus,Batch,0.04815617,TRUE
Limosilactobacillus,Cage,0.03514333,TRUE
Limosilactobacillus,Cohort,0.01527151,FALSE
Limosilactobacillus,Diet,0.10752230,TRUE
Limosilactobacillus,Genetics,0.10474714,TRUE
Limosilactobacillus,Mouse,0.07978348,TRUE
Limosilactobacillus,Time,0.00000006,FALSE
Mailhella,Age,0.00177866,FALSE
Mailhella,Batch,0.04935329,TRUE
Mailhella,Cage,0.04640897,TRUE
Mailhella,Cohort,0.10407743,TRUE
Mailhella,Diet,0.03425458,TRUE
Mailhella,Genetics,0.10481872,TRUE
Mailhella,Mouse,0.02312370,FALSE
Mailhella,Time,0.00878512,FALSE
MarseilleP3106,Age,0.02817532,TRUE
MarseilleP3106,Batch,0.03898233,TRUE
MarseilleP3106,Cage,0.01482697,FALSE
MarseilleP3106,Cohort,0.01355300,FALSE
MarseilleP3106,Diet,0.00608778,FALSE
MarseilleP3106,Genetics,0.03570735,FALSE
MarseilleP3106,Mouse,0.02549226,FALSE
MarseilleP3106,Time,0.00816091,FALSE
MuribaculaceaeNOV,Age,0.06837823,FALSE
MuribaculaceaeNOV,Batch,0.04664453,TRUE
MuribaculaceaeNOV,Cage,0.05243659,TRUE
MuribaculaceaeNOV,Cohort,0.03043885,FALSE
MuribaculaceaeNOV,Diet,0.02101100,TRUE
MuribaculaceaeNOV,Genetics,0.07945765,TRUE
MuribaculaceaeNOV,Mouse,0.13681531,TRUE
MuribaculaceaeNOV,Time,0.19311705,TRUE
Muribaculum,Age,0.00031923,FALSE
Muribaculum,Batch,0.03977647,TRUE
Muribaculum,Cage,0.00866167,FALSE
Muribaculum,Cohort,0.00000006,FALSE
Muribaculum,Diet,0.03707545,TRUE
Muribaculum,Genetics,0.13318994,TRUE
Muribaculum,Mouse,0.10105419,TRUE
Muribaculum,Time,0.10327910,TRUE
Oscillibacter,Age,0.05036477,TRUE
Oscillibacter,Batch,0.05919481,TRUE
Oscillibacter,Cage,0.00131640,FALSE
Oscillibacter,Cohort,0.00494169,FALSE
Oscillibacter,Diet,0.01732337,TRUE
Oscillibacter,Genetics,0.03812768,FALSE
Oscillibacter,Mouse,0.05541674,FALSE
Oscillibacter,Time,0.00225375,FALSE
OscillospiraceaeNOV,Age,0.06254902,TRUE
OscillospiraceaeNOV,Batch,0.05015050,TRUE
OscillospiraceaeNOV,Cage,0.00000009,FALSE
OscillospiraceaeNOV,Cohort,0.01796069,FALSE
OscillospiraceaeNOV,Diet,0.04237005,TRUE
OscillospiraceaeNOV,Genetics,0.08093445,TRUE
OscillospiraceaeNOV,Mouse,0.08649738,TRUE
OscillospiraceaeNOV,Time,0.01113189,FALSE
Paramuribaculum,Age,0.00652571,FALSE
Paramuribaculum,Batch,0.03664689,TRUE
Paramuribaculum,Cage,0.01446974,FALSE
Paramuribaculum,Cohort,0.00000007,FALSE
Paramuribaculum,Diet,0.11989849,TRUE
Paramuribaculum,Genetics,0.10823211,TRUE
Paramuribaculum,Mouse,0.04017989,FALSE
Paramuribaculum,Time,0.00873849,FALSE
Parvibacter,Age,0.00196511,FALSE
Parvibacter,Batch,0.03804052,TRUE
Parvibacter,Cage,0.00996469,FALSE
Parvibacter,Cohort,0.06099581,TRUE
Parvibacter,Diet,0.06850003,TRUE
Parvibacter,Genetics,0.16973794,TRUE
Parvibacter,Mouse,0.05547285,FALSE
Parvibacter,Time,0.01810473,TRUE
PCoA1,Age,0.01859118,TRUE
PCoA1,Batch,0.02867333,TRUE
PCoA1,Cage,0.00000005,FALSE
PCoA1,Cohort,0.00437174,FALSE
PCoA1,Diet,0.14071296,TRUE
PCoA1,Genetics,0.10386576,TRUE
PCoA1,Mouse,0.04319277,FALSE
PCoA1,Time,0.01255196,FALSE
PCoA2,Age,0.06525517,TRUE
PCoA2,Batch,0.04255359,TRUE
PCoA2,Cage,0.01263815,FALSE
PCoA2,Cohort,0.00367965,FALSE
PCoA2,Diet,0.16739763,TRUE
PCoA2,Genetics,0.07146965,TRUE
PCoA2,Mouse,0.00000015,FALSE
PCoA2,Time,0.01922416,TRUE
PCoA3,Age,0.06591077,TRUE
PCoA3,Batch,0.02607619,TRUE
PCoA3,Cage,0.03619895,TRUE
PCoA3,Cohort,0.00000005,FALSE
PCoA3,Diet,0.00478692,FALSE
PCoA3,Genetics,0.09526764,TRUE
PCoA3,Mouse,0.08976808,TRUE
PCoA3,Time,0.19417343,TRUE
Prevotella,Age,0.02037399,TRUE
Prevotella,Batch,0.04197834,TRUE
Prevotella,Cage,0.03905319,TRUE
Prevotella,Cohort,0.00526661,FALSE
Prevotella,Diet,0.03961998,TRUE
Prevotella,Genetics,0.13748250,TRUE
Prevotella,Mouse,0.03338140,FALSE
Prevotella,Time,0.01990878,TRUE
Romboutsia,Age,0.12416602,TRUE
Romboutsia,Batch,0.05257010,TRUE
Romboutsia,Cage,0.07514958,TRUE
Romboutsia,Cohort,0.00529145,FALSE
Romboutsia,Diet,0.17652305,TRUE
Romboutsia,Genetics,0.04588000,TRUE
Romboutsia,Mouse,0.00000013,FALSE
Romboutsia,Time,0.00050371,FALSE
Roseburia,Age,0.00000003,FALSE
Roseburia,Batch,0.06565690,TRUE
Roseburia,Cage,0.06578384,TRUE
Roseburia,Cohort,0.02779710,FALSE
Roseburia,Diet,0.07365963,TRUE
Roseburia,Genetics,0.00837750,FALSE
Roseburia,Mouse,0.05444884,TRUE
Roseburia,Time,0.03274078,TRUE
RuminiclostridiumE,Age,0.03466319,TRUE
RuminiclostridiumE,Batch,0.06936927,TRUE
RuminiclostridiumE,Cage,0.06766583,TRUE
RuminiclostridiumE,Cohort,0.03628645,FALSE
RuminiclostridiumE,Diet,0.07650692,TRUE
RuminiclostridiumE,Genetics,0.03884188,FALSE
RuminiclostridiumE,Mouse,0.05975040,TRUE
RuminiclostridiumE,Time,0.00924656,FALSE
Schaedlerella,Age,0.01843469,FALSE
Schaedlerella,Batch,0.04345531,TRUE
Schaedlerella,Cage,0.01858642,FALSE
