Pathway	02-01	02-02	02-03	02-04	02-05	02-06	02-07	02-08	02-09	02-10	02-11	02-12	02-13	02-14	02-15	08-01	08-02	08-03	08-04	08-05	08-06	08-07	08-08	08-09	08-10	08-11	08-12	08-13	08-14	08-15	12-01	12-02	12-03	12-04	12-05	12-06	12-07	12-08	12-09	12-10	12-11	12-12	12-13	12-14	12-15	14-01	14-02	14-03	14-04	14-05	14-06	14-07	14-08	14-09	14-10	14-11	14-12	14-13	14-14	14-15	16-01	16-02	16-03	16-04	16-05	16-06	16-07	16-08	16-09	16-10	16-11	16-12	16-13	16-15	18-01	18-02	18-03	18-04	18-05	18-06	18-07	18-08	18-09	18-10	18-11	18-12	18-13	18-14	18-15	20-01	20-02	20-03	20-04	20-05	20-06	20-07	20-10	20-11	20-12	20-13	20-15	23-01	23-02	23-03	23-04	23-05	23-06	23-07	23-08	23-09	23-10	23-11	23-15	24-01	24-02	24-03	24-04	24-05	24-07	24-08	24-09	24-10	24-13	24-15	26-02	26-03	26-07	26-08	26-10	26-11	26-12	26-13	26-15	28-04	28-09	28-10	28-11	28-12	30-11	30-12	30-15
LIPASYN-PWY: phospholipases	0	0	0	0	0	0	0	12.5392387185	0	0	14.1262678208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.4166916827	0	0	0	0	0	0	0	0	0	0	0	0	18.8014802557	0	0	0	0	0	0	0	0	0	0	7.8443723764	0	0	0	15.6789867338	0	0	0	12.5490273274	0	0	0	0	0	0	0	9.4142310891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.8479130302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.3636345381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.5596994914	0	0	0	0	0	0	0	0	0	0	127.2442995990	0	0	0	0	0	0	0
METH-ACETATE-PWY: methanogenesis from acetate	0	0	0	0	59.9545160311	0	0	0	0	0	0	0	39.7671555927	64.4696673845	0	0	49.8819931665	0	0	0	0	0	0	0	0	0	0	0	31.3048053101	0	0	0	0	0	0	0	0	0	72.5841879237	0	0	97.5440991418	0	0	0	0	0	0	0	0	0	0	0	0	0	50.1022372413	0	0	0	0	0	0	0	0	0	0	0	0	0	50.6181946864	0	0	0	0	0	0	70.0461823198	42.7145749574	0	69.5338486785	0	0	59.3930038666	46.8014430401	0	0	0	0	63.0812415259	0	0	0	0	51.2903182436	42.2144094639	0	0	46.7117719950	0	43.6393539727	0	0	0	0	0	375.9244555053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7254388346	0	0	0	0	0	0	0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.0276027076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.6124390836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.7829515715	0	0	0	0	0	0	0	0	0	0	114.1909109931	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.5296633279	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	199.6873415793	268.5062537135	146.4076260860	29.3625875116	111.9809495566	128.7032885517	390.4074780903	404.6981162187	414.7615606807	281.1842418724	298.6725431835	224.8219556842	113.4543849565	121.5487096551	341.7061990835	72.1101618440	55.0332144626	149.4846234327	0	84.2932411951	60.9163390786	83.2521654829	96.1216851363	80.3568578350	30.7705064218	70.8954573989	126.7824777330	88.5188379073	87.5095237296	73.8959177918	0	58.1514186323	109.5192767360	72.6995521070	113.9119795150	55.5479338652	77.5450830789	37.0266557434	45.6612797415	65.1552703950	0	0	141.5265069185	95.6703757165	187.8802923389	72.8272625722	90.5085793160	52.9909587000	47.2986081119	39.6871459912	0	81.3426270844	42.7689823658	106.6228925910	114.6479785622	80.8634537847	68.8263164143	178.2740333448	87.2611997415	147.4255817209	0	42.5476318681	46.3474703438	59.4683898055	27.3969781365	0	0	0	65.2395071869	0	0	0	0	54.4157585760	73.4544065187	91.5654950807	0	28.3304603195	70.2298652398	0	46.1132987019	42.2077135305	0	43.7031308971	59.6439610143	39.6103133881	83.8498635777	47.3235076114	55.9871409619	0	55.6399642364	44.9259654867	0	32.6263212990	58.3811185779	60.0273367984	0	52.8356681511	36.6923409990	68.4242658608	117.2158165178	71.9489550042	39.8518923302	41.0913401042	0	109.1860386366	75.5832686227	43.8661238440	80.1028366593	124.2914371146	35.8909784710	106.4082588193	104.8056953807	93.4076318111	81.4605462462	73.7107011618	0	115.3484159085	117.4654985176	141.6780567006	111.0240910833	241.2927284908	107.9225014278	177.2453944764	0	0	56.6541753038	91.1135780918	77.8975463431	74.9700713160	128.0939032477	118.3228183527	128.9301311065	127.2537951924	0	77.4619622588	36.3543638499	73.6382715079	81.6445046892	46.1401536898	44.0253315606
NONMEVIPP-PWY: methylerythritol phosphate pathway I	1101.9499581115	1035.5499483116	1006.5626476929	230.6929277653	777.9546828655	821.2881697324	1738.9335414031	1636.3226272946	1774.2361731334	1307.8481238486	1251.2532173166	1220.4662478816	811.4152410285	694.0318985351	1354.9395040967	725.2397302652	1105.1049849764	1005.4715291863	342.4058944411	624.5496262981	787.8117144636	1013.5024526614	1021.2945457296	1317.4912424524	697.9085691815	780.4038377286	1248.3976969275	1215.7344041927	768.2272679113	923.5909033607	630.4691735641	918.6155387507	1362.7089015882	1199.7420850892	1010.1085267019	990.5024589757	1072.1098187509	499.9423921612	1295.6298141685	1012.8483068685	620.6223289185	1019.8310986576	1512.9510487754	1028.9614881342	1637.2440008858	1078.5702484555	1115.3601531062	850.4179367440	763.9023224213	885.9325743504	593.3740191956	1150.1081302419	845.8203944799	1332.4325750430	1318.6953611031	1157.2258020322	1014.4392960094	1459.7694522796	1021.8978355319	1313.9614643376	425.0572515465	935.7658353215	829.5492343525	982.4647231175	745.7454832452	605.0534078188	638.3726468547	769.3750787654	1266.6659630477	589.0882965611	414.9915467493	718.0921275120	721.4066958992	851.1114160379	1864.1281239971	1564.0515855337	989.4865632746	680.1481974090	1559.2614641021	1079.4426939728	900.0819696499	1428.6245926210	1443.7972133311	1299.7430530560	825.7179083553	658.8181645209	1065.6472684477	863.0469328283	1563.6487551331	313.7932488534	740.6370585089	550.0079857802	825.6859585129	514.9495648739	779.1510137574	754.6391539543	788.0723125504	906.6939881136	688.2495158771	677.3302641114	1613.4219158119	659.6630729695	567.6586161820	897.5569624185	650.8552218802	4760.9946327284	940.0180569627	717.1321371675	1362.7217674524	1563.6266739587	966.6358023991	945.7809999705	1299.4226152479	943.1893698122	742.7638926668	602.5366659260	430.1021475408	737.5286467023	1052.5578756112	1142.8015294974	1041.9831072770	1831.9215197452	779.9702107466	1511.1889469438	704.6540591776	538.1963216040	959.9663871108	1082.9750895042	856.9157155289	747.1410805796	976.9450479542	768.5982285877	1166.1068714953	768.7519038356	627.8665913809	1053.7660716853	935.8772867765	1079.3039847517	792.3861331350	478.3335080741	580.1982148438
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	640.3028677304	460.6969961593	605.5832441275	133.4398975447	443.1565476223	506.1912276785	1035.5898796176	923.2722674000	980.8277856809	729.8988940978	696.2857954790	711.2912812335	457.1932044306	338.1486659487	788.8179201680	400.7067423300	618.1685963245	402.5560533627	132.0524183485	373.1675172816	553.3790470723	526.4474480066	552.3336762739	658.9546331277	361.3624326839	332.0042948885	372.5856820084	614.5413003521	340.6384715568	403.9811828665	236.3833865805	395.0597051257	482.0008220511	343.9733564264	378.8664432360	461.1792120461	442.3202936698	191.6450684036	520.7224766714	411.8099633182	341.5557423529	635.2704377416	614.4556405712	437.7115382619	517.1156843608	427.2861930274	450.6776336123	293.3813488632	266.4056311617	315.4793942696	202.0184991683	449.1628599961	226.7420961544	464.7391595607	338.2807147558	645.2871202575	512.9062612984	295.4193643727	367.8466129211	263.3666231069	85.8876387062	357.6860624053	309.7533405999	208.6784058146	257.3983417391	316.9196894299	368.6384671006	320.6934599668	643.5377098744	329.6472385736	196.4263256061	393.7159593283	377.7351324491	494.4429586230	1040.4654405327	893.7500117201	506.3792210850	285.8507893718	823.7193389450	558.4910195124	567.5301297523	839.6377794666	706.9214865682	732.6893447262	482.4918841553	373.7160226625	591.4982456653	487.9799029723	818.4097359559	181.6124094716	387.9972600355	272.2205189094	228.1118419380	270.1864056390	449.9788936829	452.1873707827	389.2338521295	492.2529595565	335.7944103177	366.1989771729	786.8306841852	423.5332726478	370.1328246750	629.4971931211	348.6554931997	2732.1943086286	549.5128860278	288.1658996010	775.8080037927	772.6234793126	372.7668699667	470.7721453252	780.6098981691	500.9084699982	318.3083128657	341.9974956217	234.4270524687	417.3450034494	456.5960798614	543.9248271966	478.7467114309	794.4891142584	344.1388391745	891.1738439940	274.9731716569	224.2884360674	284.4969338965	466.2604019230	365.5852912047	250.2048951929	378.4995257814	308.6357177895	417.9954213460	341.7377080759	210.7098118035	501.3076501871	182.3210290407	573.2328094866	188.1402618262	273.6844449061	323.7014438557
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	1366.0029259869	1316.9858088418	1115.2449728734	448.6613252321	1244.1133503502	938.5834982220	2169.2118025029	2166.8381733262	2188.7000600379	1896.4209807183	1403.1619910967	1499.0454851635	901.8089322492	727.2381942057	1553.3016079784	463.3222962368	506.2243428660	878.4086537824	286.2533503864	390.2795928809	538.2688913955	707.7090689598	883.5793636234	908.3453219804	660.3653115509	588.8580985048	912.2180621742	590.2403111831	599.3202264669	501.0267162411	279.0889455566	717.9158793518	1268.6229050710	1078.2336459051	807.4697414658	452.2501654077	377.1333796788	204.3543976966	508.0343684574	424.3715499410	704.4976583931	681.0917558673	1144.1759229455	907.3384426630	1273.9579825055	914.3750100972	946.5025089397	818.7227473876	1005.0089451669	650.0364134220	351.7292777672	1167.4287989894	700.7323892935	1481.3340593529	1306.0555742383	965.0625325815	1043.2387713021	1542.2065006801	928.4990123757	1175.3765566702	166.1538441161	766.8671450552	656.0600767664	1167.4595110419	596.6045763282	94.7056545938	521.8893734489	242.6116434392	1214.3979453297	287.8520598485	193.1308741639	507.1011812146	499.2565094382	601.1872368151	1408.1829037111	1220.6002452422	599.8806986963	562.7980706110	1252.5193518420	552.9769317112	490.7894089343	1101.6946917206	717.3637462144	895.6672537270	813.6881109585	505.6957417847	955.2077228753	701.2822715225	1064.3736656987	302.2459216103	848.3184207052	420.8943001483	406.4325319281	443.6220031714	467.1265601435	394.8632714756	328.3370820196	495.7977319422	454.8017054108	427.9713630138	923.9243724538	715.8785980225	491.1801281218	831.6472133322	428.9838109551	2791.1497432346	512.6233536340	380.2658135695	879.8443081916	1119.7066313077	500.7358466723	766.9915519078	679.5885507325	939.5372971420	359.4089606001	445.5452239863	359.4973033852	792.0469793482	996.0043301211	922.7701781047	814.1046448453	1413.6021659633	696.8256608806	1220.1791868526	385.0571483388	492.3274418600	837.6906031909	846.9844873808	632.4711381342	667.3882735720	747.1522042799	686.3353152773	856.2573508975	745.5283890009	577.3356182427	903.3709917360	333.2385196731	701.7636490832	302.4826060327	171.2425713894	190.1983628689
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.9164381271	0	0	0	0	0	0	0
ORNDEG-PWY: superpathway of ornithine degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104.2571128899	0	0	0	0	0	0	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.2894494502	41.4628060676	0	39.4092109476	29.7447705670	0	0	0	0	10.8962231100	0	0	0	30.4982176961	36.3194009116	31.5496985867	0	36.4473962509	0	0	0	0	31.8570551508	0	0	0	0	0	0	0	0	31.6306515763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.0800737867	0	0	6.1812272470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.8216216129	19.3337268246	0	0	0	0	0	0
P108-PWY: pyruvate fermentation to propanoate I	81.0190296190	0	0	0	0	0	0	93.0013081050	0	98.7041151952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.5236920020	0	0	0	0	0	0	0	0	0	0	0	0	149.0703685365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P122-PWY: heterolactic fermentation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.2989827943	140.0802222133	307.1864235265	200.4840519740	215.2764280504	92.2885391779	84.6921212195	60.1932029385	125.4938510006	127.3744052261	203.7405388859	61.4365046393	308.6906703351	307.1671298083	286.9649892492	289.1757582888	284.6979168600	176.3262960991	138.4430642619	120.7293063235	71.0149993284	277.6096758166	176.7504530498	313.3042614247	246.6479452186	262.2422222476	254.5345170863	298.0375937061	296.6270559622	278.5692033784	0	194.5698428997	134.2588396413	160.6915249111	93.9738892954	0	107.4752926629	0	272.4163542746	0	19.3105413724	87.7106157458	115.8788199703	156.8691177368	291.9483044295	277.3377220969	80.2719614366	51.6276936141	185.4915966981	93.3235065457	84.0318141144	152.9013836654	120.6133906354	169.0733802178	172.7764317608	89.7055572197	194.0621867747	112.8879714131	174.5318049164	71.8297679601	80.9724590760	44.6010473873	0	30.0377412710	71.4668829844	0	0	0	0	0	0	80.6553258519	42.8419368766	44.4085495827	0	278.9980149078	59.1297031067	0	46.7588304745	142.8868502733	33.4320775324	0	0	58.1020739379	0	0	0	0	0	0	0	49.1889011094	0	0	0	0	39.7070158221	50.0267779454	39.7381839601	0	0	0	0	111.5972886152	0	51.9396645276	0	0	0	0	0
P124-PWY: Bifidobacterium shunt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.8395501691	146.6526832360	514.7299614528	263.3997138719	227.6859789454	97.7373908335	92.4310966544	83.9267935192	147.2599695659	137.9675838671	323.8098266333	69.8292883857	516.4523300068	457.5851571780	572.4865714887	321.2321112959	353.3652928781	230.1184934186	163.0194889550	158.5362392822	73.7056070634	377.6707306329	289.1603069155	497.8012394089	406.9797552518	435.4368112725	397.1779823516	571.4782376914	430.0954294617	505.3085616732	0	384.5298462303	187.2178920777	286.5294241104	158.4650912807	0	120.7220104289	0	496.1000186044	0	35.4884431367	156.2589163063	143.2137303252	182.0605834565	458.3623270008	324.5572239355	88.5255885158	53.4129329616	231.5115675299	113.4733259511	102.8565484724	261.5543710098	177.4092129186	206.5146856782	210.0091917807	156.2781060428	389.0734967476	191.2576417082	334.3219921131	114.6251917807	309.4315507178	91.1376698469	23.8547930033	62.9756557065	117.2374053976	65.5556334699	0	97.8386943172	84.0376499131	76.8308168975	265.4571938906	163.2425655711	180.2403902090	275.4393540971	32.7661557346	445.7887451242	116.8926920391	40.7171654802	215.0302047280	376.0805371388	70.8927628801	255.4983840734	204.8049072459	258.4847682436	37.8192146312	100.1613657439	53.0241660767	261.5624943858	422.0151384287	370.2436604193	375.0041411783	528.6905619859	241.6062238349	389.6922360980	0	42.5349226506	362.0921083599	309.9719347967	216.5089026632	248.8185061037	214.9952498024	209.0271822478	211.0526209293	119.4266427229	142.0295663673	181.9269323124	31.1435762468	311.0186146408	0	49.3964839851	50.1010238038
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4962410448	0	0	0	0	0	0	0
P161-PWY: acetylene degradation (anaerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.2913970808	130.3483103634	452.5570259729	197.0109794875	204.5716274395	92.3920248853	64.6505121524	78.9199680683	97.4167181508	110.3343140843	145.4782390095	49.1704010613	300.9056258956	234.9988862836	332.9031330267	260.1735877830	247.8182491769	177.8021578189	118.9248554677	128.9702717595	59.6194054353	349.1142310668	211.9566720283	419.6454140370	378.4831741504	330.2641845185	300.2085827047	627.9441699888	318.2226355207	379.2935874318	0	282.6012393330	150.4269496432	389.1036401984	144.0249766008	0	79.7358977529	0	439.7839938414	21.5189351197	11.2005022774	55.0295557909	75.4632077848	86.2003161450	434.3432901017	252.6375191487	43.3088898295	25.6973729807	253.1476478892	76.2605264744	83.5184627870	257.5285465482	125.7899327949	179.7839551911	131.7593445272	67.2791500072	206.7284245913	60.4052484514	177.8097510164	100.6350243134	271.3288420277	73.7143835773	29.0865804133	86.1126614290	87.6203923582	86.5964066759	0	59.6636599439	27.6545970184	21.9682276717	133.2073793466	143.6868726586	184.0266998775	319.2301973767	45.3977754442	392.8862234628	148.0480679456	45.6053720604	256.9502092205	362.2810269587	71.7717012149	131.0246479412	223.7110758283	233.9467615038	39.8149251721	112.1273318382	59.5275273822	250.3623745883	413.9543006283	327.9097671129	278.0818007583	542.2823561426	163.8812187099	430.5723221463	0	30.1289926539	350.5583299053	281.8143640605	202.6638220674	62.8629648439	124.4056040584	105.7528626814	218.7692617024	100.5171746287	114.2654527821	183.9572074077	25.5768693337	149.4652511318	0	48.1176954831	85.5857846335
P164-PWY: purine nucleobases degradation I (anaerobic)	0	68.0896054897	0	0	0	0	0	45.6740618410	0	53.3265309237	34.0151020331	48.2254136590	46.2408894746	0	0	15.9201882033	0	0	0	0	21.3019710706	0	0	14.0500028423	0	0	0	0	0	16.6396107537	35.3316262163	29.2832958038	48.0985046516	0	0	0	0	0	52.1266385511	0	26.1667725656	0	38.8423616952	0	0	0	42.9641669377	0	0	0	0	0	0	0	0	0	35.6748341262	0	0	0	0	22.6208923807	35.8754075390	0	35.6804318179	0	19.9472816640	0	0	0	0	0	42.2021924611	0	0	41.1199240055	33.8524565333	0	0	38.6046055041	16.8613466613	0	0	21.9987435310	0	30.0228182405	0	44.6991031098	0	0	0	0	0	0	19.4158659096	0	27.3657691671	0	45.0565015918	0	55.5527389917	21.8755789723	0	0	18.8252192958	223.5215491449	22.7562819188	0	0	0	52.8024384142	0	0	44.9955090120	0	26.2874214697	0	0	0	0	0	22.2129530206	0	0	31.6463712320	42.7218474163	0	0	0	0	0	0	0	0	0	29.7635067012	0	0	0	0	0
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.7714103911	0	0	0	0	0	0	0
P221-PWY: octane oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.0257882550	0	0	0	0	0	0	0
P23-PWY: reductive TCA cycle I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.3076088136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116.9485906643	0	0	0	0	0	0	0
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	997.6053036612	1083.1385376949	919.3717525738	365.6585344312	1150.5430320559	658.2413505755	1688.3748999928	1721.9398819829	1629.4652869786	1559.1522948383	962.8644486860	1142.3226302255	699.8573834106	584.7538510152	1129.3669174270	527.3687929759	473.8149346138	725.1890496705	288.9748196032	389.3252894995	319.3289027387	418.7159688927	606.0849850030	668.3876255787	601.6155722760	518.3469581115	592.9185567795	360.2278492178	492.8000929693	404.8210969954	394.7043863115	671.3126382825	808.5627193899	775.4375414552	446.6661723207	491.6683290272	526.8048289385	155.5289097110	600.3334120876	389.5769939680	590.7476772970	661.5526324684	752.8652513418	682.0038548167	758.9304599356	604.5372363375	667.1068556994	713.6447752812	789.3332624720	640.8727774243	315.9091102431	742.4082014820	296.4120221514	916.0616230579	737.4202488468	554.7176676090	816.2354960814	981.1643673881	614.9535110024	502.5891623511	258.0534970502	412.5929100024	522.4732788827	900.1408006182	606.1490341248	330.2444003126	467.3540803192	381.7839983362	720.4826457764	403.3050747700	306.5770444109	677.2873063832	495.6529930999	429.1422327097	915.1774851891	830.0100031118	586.7319942160	615.2297024039	1016.6458207927	623.6501946754	516.9517993922	788.2001815038	796.4532207219	805.5936449120	540.3684778851	540.6008266575	656.5148386072	724.9463536404	1140.8395281464	191.3588327574	448.0727046752	444.2537330872	546.9962424244	516.4858111041	337.2386200860	353.6840259118	483.0122446153	506.5174871825	514.3242059114	511.3742647345	690.0714583760	536.2772663414	353.7702383338	476.9073621260	517.2696546193	2596.2278282308	295.3828925585	295.7626722379	589.0146431067	503.9490187086	424.9031815168	604.1016767728	390.7485954264	584.4278348474	272.1405836288	261.6237381522	392.0715285627	525.2262114240	535.5721065216	378.7407291962	326.5490639891	663.6284445775	653.3874693985	760.1646067387	493.2943772099	529.8769285847	479.6912712152	609.0532588484	409.6876153543	615.4782678435	544.3311896707	594.8657684297	690.7973787563	692.7166323420	410.6696992576	632.3213578287	360.2521038599	482.2698229788	203.4463550727	211.0936609311	195.4497256222
P42-PWY: incomplete reductive TCA cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.3296441015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.5368908337	0	0	0	0	21.0631956809	0	0	0	0	0	0	0	0	0	0	0	0	107.9531316949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.2313054493	62.1064915646
